test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v5.12.0,binaryTrees_1_original.js 21,29336238,0.93,0.92,0.30,0.37,0.14,0.11,5.36,1.05,0.04,2.36,2.14,29336238 ns,112638886,3.866 GHz,<not,(0.00%),29.13 msec,0.993,<not,(0.00%) ,2,<not,<not,29.14 msec,0.993,264 C,<not,<not,(0.00%),<not,<not,2267,2267,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
2,v5.12.0,binaryTrees_1_original.js 21,29437378,0.94,0.90,0.31,0.37,0.14,0.11,5.37,1.05,0.05,2.40,2.15,29437378 ns,112985649,3.875 GHz,<not,(0.00%),29.15 msec,0.990,<not,(0.00%) ,1,<not,<not,29.16 msec,0.991,266 C,<not,<not,(0.00%),<not,<not,2265,2265,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
3,v5.12.0,binaryTrees_1_original.js 21,29209379,0.96,0.90,0.31,0.39,0.15,0.11,5.37,1.08,0.18,2.98,2.15,29209379 ns,116402108,4.013 GHz,<not,(0.00%),29.00 msec,0.993,<not,(0.00%) ,1,<not,<not,29.01 msec,0.993,262 C,<not,<not,(0.00%),<not,<not,2266,2266,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
4,v5.12.0,binaryTrees_1_original.js 21,29914400,0.94,0.89,0.31,0.37,0.14,0.11,5.36,1.06,0.04,2.49,2.15,29914400 ns,114717458,3.871 GHz,<not,(0.00%),29.63 msec,0.990,<not,(0.00%) ,3,<not,<not,29.64 msec,0.991,243 C,<not,<not,(0.00%),<not,<not,2266,2266,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
5,v5.12.0,binaryTrees_1_original.js 21,29214141,0.97,0.92,0.31,0.39,0.14,0.11,5.37,1.08,0.17,2.85,2.15,29214141 ns,116356934,4.016 GHz,<not,(0.00%),28.97 msec,0.992,<not,(0.00%) ,2,<not,<not,28.97 msec,0.992,253 C,<not,<not,(0.00%),<not,<not,2266,2266,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
6,v5.12.0,binaryTrees_1_original.js 21,29747037,0.92,0.91,0.31,0.37,0.14,0.11,5.37,1.05,0.04,2.41,2.14,29747037 ns,113846798,3.859 GHz,<not,(0.00%),29.49 msec,0.992,<not,(0.00%) ,2,<not,<not,29.50 msec,0.992,248 C,<not,<not,(0.00%),<not,<not,2265,2265,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
7,v5.12.0,binaryTrees_1_original.js 21,29112505,0.97,0.94,0.30,0.38,0.14,0.11,5.35,1.08,0.18,2.90,2.14,29112505 ns,116242782,4.017 GHz,<not,(0.00%),28.93 msec,0.994,<not,(0.00%) ,2,<not,<not,28.94 msec,0.994,237 C,<not,<not,(0.00%),<not,<not,2267,2267,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
8,v5.12.0,binaryTrees_1_original.js 21,30298521,0.95,0.92,0.30,0.37,0.14,0.11,5.35,1.04,0.04,2.26,2.13,30298521 ns,117008393,3.888 GHz,<not,(0.00%),30.09 msec,0.993,<not,(0.00%) ,1,<not,<not,30.10 msec,0.993,251 C,<not,<not,(0.00%),<not,<not,2267,2267,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
9,v5.12.0,binaryTrees_1_original.js 21,28740960,0.96,0.88,0.31,0.38,0.14,0.11,5.35,1.05,0.05,2.37,2.12,28740960 ns,110503846,3.881 GHz,<not,(0.00%),28.47 msec,0.991,<not,(0.00%) ,1,<not,<not,28.48 msec,0.991,250 C,<not,<not,(0.00%),<not,<not,2266,2266,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
10,v5.12.0,binaryTrees_1_original.js 21,29426727,0.92,0.93,0.30,0.36,0.14,0.11,5.36,1.06,0.04,2.50,2.14,29426727 ns,111021077,3.810 GHz,<not,(0.00%),29.13 msec,0.990,<not,(0.00%) ,2,<not,<not,29.14 msec,0.990,247 C,<not,<not,(0.00%),<not,<not,2266,2266,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
