test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v6.17.1,binaryTrees_1_original.js 21,0.045334,1156,1692876005.297349,-,-,506,14.96,3362,1907,1.10,142,0,2,54,17,23,61,0,99,0,0,0.01,8.45,1.97,1.43,10.65,0.00,62.82,0.00,0.00,28.81,0.97,7.02,48.23,57,57,81.62,300,300,111.93,98.83,17.24,16.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.45,0.01,0.04,0.00,0.00
2,v6.17.1,binaryTrees_1_original.js 21,0.040936,1103,1692876005.376054,-,-,567,15.05,3757,1899,1.09,131,0,1,69,39,24,46,0,79,0,0,0.00,5.64,8.84,1.23,9.35,0.00,59.94,0.00,0.00,31.98,0.73,6.90,45.33,59,61,83.06,300,300,115.81,99.00,17.02,16.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.52,0.01,0.04,0.00,0.00
3,v6.17.1,binaryTrees_1_original.js 21,0.039875,1098,1692876005.447407,-,-,546,14.10,3873,1895,1.12,125,0,0,12,10,21,52,0,73,0,0,0.00,0.86,1.04,2.97,13.99,0.00,66.85,0.00,0.00,17.52,2.93,12.00,53.45,61,61,80.25,300,300,109.68,98.77,19.24,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.50,0.01,0.04,0.00,0.00
4,v6.17.1,binaryTrees_1_original.js 21,0.039396,1110,1692876005.517552,-,-,575,14.70,3912,1897,1.09,146,0,3,10,33,17,43,0,80,0,0,0.01,1.64,2.36,1.79,14.12,0.00,65.38,0.00,0.00,19.71,1.86,14.05,49.68,61,61,81.23,300,300,113.91,98.93,17.53,17.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.54,0.01,0.04,0.00,0.00
5,v6.17.1,binaryTrees_1_original.js 21,0.038869,1061,1692876005.586708,-,-,556,13.98,3972,1898,1.12,127,0,0,14,4,9,52,0,86,0,0,0.00,2.39,0.10,1.53,9.55,0.00,72.30,0.00,0.00,19.86,1.79,10.62,53.75,63,63,79.76,300,300,110.59,98.53,18.00,17.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.53,0.01,0.04,0.00,0.00
6,v6.17.1,binaryTrees_1_original.js 21,0.038576,1086,1692876005.656028,-,-,557,14.01,3972,1898,1.12,109,0,0,24,15,27,24,0,77,0,2,0.00,4.74,0.52,2.99,8.49,0.00,67.11,0.00,2.08,24.73,1.50,8.09,51.66,64,64,80.36,300,300,110.92,98.93,18.23,18.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.54,0.01,0.04,0.00,0.00
7,v6.17.1,binaryTrees_1_original.js 21,0.039496,1048,1692876005.726247,-,-,553,14.15,3901,1899,1.11,118,0,0,28,16,18,30,0,96,0,0,0.00,6.07,0.58,2.47,8.08,0.00,68.67,0.00,0.00,23.16,3.17,4.63,54.88,61,61,81.02,300,300,111.57,99.14,16.99,16.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.52,0.01,0.04,0.00,0.00
8,v6.17.1,binaryTrees_1_original.js 21,0.038462,1060,1692876005.794997,-,-,560,13.78,4054,1899,1.12,122,0,0,13,6,21,39,0,82,0,0,0.00,0.63,0.57,2.51,13.94,0.00,68.30,0.00,0.00,16.87,3.35,9.69,56.31,64,66,80.60,300,300,108.33,97.66,18.52,17.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.54,0.01,0.04,0.00,0.00
9,v6.17.1,binaryTrees_1_original.js 21,0.039782,1069,1692876005.865472,-,-,570,14.62,3895,1897,1.08,128,0,1,16,23,12,40,0,80,0,0,0.01,0.61,1.26,0.95,15.24,0.00,67.22,0.00,0.00,17.39,0.41,21.22,46.37,61,61,75.41,300,300,114.09,98.81,22.51,22.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.52,0.01,0.04,0.00,0.00
10,v6.17.1,binaryTrees_1_original.js 21,0.038434,1086,1692876005.931404,-,-,567,14.16,4011,1895,1.11,118,0,3,20,26,16,36,0,73,0,0,0.02,2.27,2.06,1.06,13.71,0.00,66.52,0.00,0.00,17.44,0.73,17.68,50.00,63,63,83.26,300,300,111.20,98.80,16.65,16.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.53,0.01,0.04,0.00,0.00
