test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v0.8.28,binaryTrees_1_original.js 21,0.029150,1051,1692875036.527065,-,-,522,15.26,3399,1909,1.30,110,0,2,50,41,31,67,0,42,0,0,0.01,19.54,2.39,2.53,12.87,0.00,47.84,0.00,0.00,40.65,1.23,14.59,28.28,63,63,96.05,350,300,115.43,99.01,6.00,5.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.32,0.00,0.02,0.00,0.00
2,v0.8.28,binaryTrees_1_original.js 21,0.028584,1060,1692875036.596105,-,-,564,15.88,3536,1906,1.25,110,0,2,50,43,34,76,0,42,0,0,0.02,10.45,2.43,3.79,21.79,0.00,45.80,0.00,0.00,30.37,3.80,24.02,25.93,64,64,80.46,300,300,120.59,98.53,17.02,16.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.33,0.00,0.03,0.00,0.00
3,v0.8.28,binaryTrees_1_original.js 21,0.028595,1103,1692875036.664496,-,-,750,20.68,3562,1932,1.23,286,0,17,79,152,38,79,4,34,0,0,0.14,1.93,10.09,8.67,25.99,0.10,33.68,0.00,0.00,34.90,8.40,20.33,15.70,64,64,90.92,300,300,170.29,101.73,14.82,14.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.46,0.00,0.03,0.00,0.00
4,v0.8.28,binaryTrees_1_original.js 21,0.027561,1142,1692875036.723871,-,-,533,14.46,3676,1902,1.31,113,0,1,19,21,28,70,0,47,0,0,0.01,3.89,2.61,5.00,24.40,0.00,49.74,0.00,0.00,22.99,4.52,30.94,27.09,66,66,79.82,300,300,114.64,98.39,18.03,17.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.33,0.01,0.03,0.00,0.00
5,v0.8.28,binaryTrees_1_original.js 21,0.028651,1105,1692875036.783900,-,-,529,14.70,3590,1900,1.28,108,0,0,13,20,20,98,0,47,0,0,0.00,3.71,7.04,3.36,25.54,0.00,45.61,0.00,0.00,28.35,6.08,29.25,21.62,64,64,73.30,300,300,117.06,98.52,24.12,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.33,0.01,0.03,0.00,0.00
6,v0.8.28,binaryTrees_1_original.js 21,0.028325,1048,1692875036.842611,-,-,525,14.58,3581,1907,1.30,130,0,2,11,45,25,53,0,49,0,0,0.03,2.39,3.81,2.86,22.26,0.00,54.48,0.00,0.00,25.56,2.69,31.09,26.09,65,65,77.67,300,300,118.57,99.35,22.70,22.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.33,0.01,0.03,0.00,0.00
7,v0.8.28,binaryTrees_1_original.js 21,0.027466,1064,1692875036.900766,-,-,538,14.34,3742,1899,1.30,105,0,0,17,18,19,65,0,47,1,3,0.00,3.61,3.48,2.93,24.81,0.00,49.83,0.01,0.85,28.78,2.50,26.80,27.57,68,68,72.82,300,300,114.41,98.01,25.94,25.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.35,0.01,0.03,0.00,0.00
8,v0.8.28,binaryTrees_1_original.js 21,0.026420,1147,1692875036.958427,-,-,625,15.78,3954,1898,1.22,125,0,11,8,29,24,69,0,48,0,0,0.09,0.92,9.46,2.68,17.71,0.00,53.22,0.00,0.00,35.01,4.55,16.82,27.84,68,70,83.27,300,300,124.14,98.22,15.98,15.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.42,0.00,0.03,0.00,0.00
9,v0.8.28,binaryTrees_1_original.js 21,0.030864,4101,1692875037.020166,-,-,602,15.84,3791,1900,1.17,128,0,1,17,29,37,71,0,47,0,0,0.01,3.18,2.03,6.76,22.56,0.00,49.68,0.00,0.00,25.55,5.93,22.32,30.37,65,67,74.52,300,300,122.09,98.61,24.05,23.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.40,0.01,0.04,0.00,0.00
10,v0.8.28,binaryTrees_1_original.js 21,0.028316,2220,1692875037.079714,-,-,677,16.53,3813,2038,1.10,165,0,0,26,12,18,91,0,43,0,0,0.00,9.63,3.30,7.39,23.69,0.00,45.65,0.00,0.00,33.53,7.01,24.30,18.63,66,66,81.23,300,300,131.73,99.34,23.45,23.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.45,0.01,0.04,0.00,0.00
