test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v20.5.1,binaryTrees_1_original.js 21,15.985452,1021,1692269580.557732,-,-,636,86.28,738,1896,1.46,225592,0,1281,37412,15035,832,2093,1,3522,14,3428,0.01,1.94,0.90,0.13,0.46,0.00,2.89,0.02,6.98,10.10,0.11,0.26,3.25,69,71,98.91,300,300,372.70,99.47,0.80,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149.73,105.87,0.08,19.84,0.00,0.00
2,v20.5.1,binaryTrees_1_original.js 21,16.275076,1037,1692269596.884023,-,-,630,85.76,734,1896,1.46,221310,0,776,35181,13083,1011,2095,4,3652,40,3367,0.01,1.88,0.80,0.17,0.50,0.00,2.73,0.04,7.72,10.08,0.11,0.30,3.75,77,78,98.85,300,300,370.57,99.47,0.79,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.31,107.86,0.08,20.03,0.00,0.00
3,v20.5.1,binaryTrees_1_original.js 21,17.637741,1265,1692269614.586754,-,-,635,82.50,770,1896,1.43,295829,0,5144,55998,24196,1512,4162,1,7378,54,6184,0.02,2.95,1.58,0.23,0.76,0.00,3.64,0.03,8.00,13.66,0.11,0.35,3.39,73,73,98.84,300,300,369.74,99.42,0.78,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168.19,120.55,0.09,20.83,0.00,0.00
4,v20.5.1,binaryTrees_1_original.js 21,16.609963,1309,1692269631.289891,-,-,616,85.33,722,1896,1.47,213570,0,1153,34682,12161,937,2294,0,3944,33,3949,0.01,2.03,0.76,0.13,0.51,0.00,2.55,0.03,8.25,10.56,0.08,0.26,3.76,80,80,99.49,300,300,370.90,99.42,0.14,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153.56,108.72,0.02,20.01,0.00,0.00
5,v20.5.1,binaryTrees_1_original.js 21,16.270489,1019,1692269647.641178,-,-,637,83.11,767,1896,1.47,244226,0,1912,42449,16369,1354,3163,0,5989,37,5178,0.01,2.37,1.23,0.21,0.72,0.00,3.80,0.04,8.20,12.73,0.11,0.37,3.69,74,74,98.77,300,300,371.17,99.42,0.86,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.86,113.70,0.09,19.84,0.00,0.00
6,v20.5.1,binaryTrees_1_original.js 21,17.430434,1093,1692269665.158875,-,-,635,81.78,776,1896,1.43,283703,0,4414,50936,24685,1573,4147,1,7825,63,6653,0.02,2.93,1.74,0.22,0.79,0.00,3.66,0.04,8.56,14.07,0.08,0.37,3.70,80,82,98.87,300,300,367.93,99.43,0.79,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168.26,121.08,0.09,20.60,0.00,0.00
7,v20.5.1,binaryTrees_1_original.js 21,17.691900,1070,1692269682.935788,-,-,617,82.48,748,1896,1.45,295867,0,5047,53613,24916,1537,3994,3,7246,51,6250,0.02,2.85,1.67,0.20,0.74,0.00,3.48,0.03,8.25,14.02,0.09,0.29,3.12,80,80,98.95,300,300,372.10,99.44,0.69,0.68,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,165.47,117.74,0.07,20.80,0.00,0.00
8,v20.5.1,binaryTrees_1_original.js 21,16.479798,1113,1692269699.498766,-,-,612,85.45,716,1896,1.47,215021,0,1047,31777,11756,1016,2488,5,4104,25,4007,0.01,1.94,0.79,0.11,0.52,0.00,2.77,0.02,8.01,10.78,0.08,0.29,3.40,77,77,98.84,300,300,373.61,99.44,0.75,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.93,106.26,0.07,20.20,0.00,0.00
9,v20.5.1,binaryTrees_1_original.js 21,15.807490,1128,1692269715.398314,-,-,645,85.39,755,1896,1.45,225258,0,1177,36176,17258,1152,2459,4,4216,38,3585,0.01,1.96,1.14,0.18,0.57,0.00,3.07,0.05,7.24,9.75,0.11,0.34,4.41,77,77,98.78,300,300,368.87,99.43,0.82,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153.60,110.61,0.08,19.63,0.00,0.00
10,v20.5.1,binaryTrees_1_original.js 21,17.622600,1173,1692269733.084177,-,-,618,82.48,750,1896,1.44,296563,0,5378,61665,23122,1571,4285,2,7405,54,6440,0.02,3.06,1.49,0.21,0.79,0.00,3.67,0.04,7.97,13.95,0.10,0.35,3.12,80,80,98.87,300,300,370.75,99.46,0.76,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,165.05,117.59,0.09,20.69,0.00,0.00
