test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v11.15.0,binaryTrees_7_original.js 21,20.026207,1357,1692882582.096745,-,-,1300,34.44,3773,1896,1.74,331728,0,99,94532,1542,224,651,7,4819,58,7059,0.00,3.72,0.36,0.05,0.27,0.00,8.16,0.16,52.74,30.18,0.06,0.33,34.98,79,79,98.97,300,300,237.34,99.53,1.05,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,530.94,475.97,0.20,22.96,0.00,0.00
2,v11.15.0,binaryTrees_7_original.js 21,20.235382,1470,1692882602.366503,-,-,1275,34.68,3677,1896,1.73,338966,0,113,92504,1975,522,1412,4,6392,715,12052,0.00,2.58,0.27,0.08,0.54,0.00,8.32,1.92,51.46,27.87,0.10,0.50,36.85,81,81,98.79,300,300,234.29,99.37,1.09,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,515.55,459.25,0.23,23.08,0.00,0.00
3,v11.15.0,binaryTrees_7_original.js 21,25.050208,1570,1692882627.455582,-,-,983,34.21,2873,1896,1.80,320444,0,63,89870,1864,225,931,0,5741,129,8802,0.00,2.56,0.55,0.05,0.39,0.00,7.70,0.36,54.14,29.20,0.04,0.43,36.11,74,74,99.06,300,300,237.11,99.73,0.89,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,373.13,305.14,0.20,25.91,0.00,0.00
4,v11.15.0,binaryTrees_7_original.js 21,27.628611,1368,1692882655.122970,-,-,890,33.78,2635,1896,1.78,317027,0,64,88763,1963,394,983,2,5700,65,9039,0.00,2.31,0.47,0.05,0.27,0.00,7.42,0.20,55.47,27.56,0.05,0.27,38.34,71,71,99.00,300,300,231.21,99.77,0.96,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,328.81,254.51,0.22,27.47,0.00,0.00
5,v11.15.0,binaryTrees_7_original.js 21,28.702115,1458,1692882683.868227,-,-,909,34.45,2638,1896,1.77,316197,0,101,88724,1804,222,780,0,5441,75,9634,0.00,2.32,0.44,0.04,0.21,0.00,6.53,0.25,55.72,27.16,0.02,0.21,38.15,70,71,99.09,300,300,233.93,99.77,0.91,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,342.73,265.69,0.21,28.47,0.00,0.00
6,v11.15.0,binaryTrees_7_original.js 21,27.419917,1315,1692882711.326352,-,-,907,34.49,2629,1896,1.79,318885,0,109,89480,1889,225,660,2,5274,57,8811,0.00,2.25,0.39,0.04,0.16,0.00,6.97,0.17,55.50,28.23,0.04,0.17,37.07,71,71,99.07,300,300,236.76,99.77,0.95,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,327.57,253.81,0.20,27.46,0.00,0.00
7,v11.15.0,binaryTrees_7_original.js 21,28.235352,1570,1692882739.600190,-,-,910,34.59,2629,1896,1.78,319267,0,82,89684,2120,236,677,0,5747,53,9138,0.00,2.42,0.49,0.04,0.21,0.00,7.01,0.12,55.08,27.88,0.04,0.20,37.28,68,68,99.08,300,300,236.40,99.77,0.92,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,337.20,261.34,0.21,28.15,0.00,0.00
8,v11.15.0,binaryTrees_7_original.js 21,28.454126,1406,1692882768.093882,-,-,912,34.64,2633,1896,1.78,319289,0,64,89063,1729,208,704,0,6219,56,9471,0.00,2.44,0.44,0.03,0.20,0.00,7.76,0.14,54.33,27.52,0.03,0.20,37.61,72,73,99.05,300,300,236.26,99.77,0.94,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,339.74,263.20,0.22,28.38,0.00,0.00
9,v11.15.0,binaryTrees_7_original.js 21,27.850137,2439,1692882795.983007,-,-,907,34.67,2616,1896,1.79,320039,0,85,89121,2795,227,683,6,5949,74,9391,0.00,2.47,0.51,0.05,0.29,0.00,7.40,0.17,54.40,28.39,0.04,0.32,36.59,71,71,99.05,300,300,237.24,99.77,0.96,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,332.95,257.77,0.21,27.84,0.00,0.00
10,v11.15.0,binaryTrees_7_original.js 21,27.580368,1582,1692882823.602958,-,-,901,34.11,2641,1896,1.80,321254,0,80,89911,2365,358,865,4,5930,67,8962,0.00,2.43,0.45,0.07,0.28,0.00,7.51,0.16,54.95,28.29,0.05,0.26,37.30,72,73,99.06,300,300,234.87,99.77,0.94,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,329.93,255.70,0.21,27.60,0.00,0.00
