version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
v6.17.1,binaryTrees_7_original.js 21,23.5991,1165.7,1692191570.23356,0,0,478,13.9,3437.1,1896,2.03,82657.1,0,45.2,10595.3,21768.2,132.2,440.4,1.4,3055.9,48.5,5528.3,0,0.24,0.39,0.02,0.17,0,4.64,0.14,80.48,14.67,0.03,0.24,71.16,72.3,73.1,98.36,300,300,108.78,99.76,1.29,1.29,0,0,0,0,0,0,0,0,0,297.9,234.28,0.28,25.5,0,0
v7.10.1,binaryTrees_7_original.js 21,24.5085,1191.4,1692192219.52951,0,0,500.3,14.72,3398.6,1896,1.94,247295,0,184.2,77462.8,4507.4,157.4,488,1.5,3391.8,48,6021.1,0,1.29,0.17,0.03,0.18,0,4.88,0.15,78.58,15.82,0.03,0.26,69.17,73.6,74.4,98.38,300,300,113.26,99.61,1.24,1.24,0,0,0,0,0,0,0,0,0,308.97,242.64,0.27,26.11,0,0
v8.17.0,binaryTrees_7_original.js 21,22.0228,1229.6,1692192842.85579,0,0,487.2,13.84,3520.8,1896,1.87,182257.4,0,87.5,93245.9,549,159.1,489.1,1.6,3052.4,41.2,5291.9,0,1.35,0.1,0.03,0.2,0,4.81,0.15,79.51,15.55,0.04,0.3,70.27,73.5,74.4,98.32,300,300,108.89,99.75,1.29,1.29,0,0,0,0,0,0,0,0,0,277.94,219.95,0.28,18.78,0,0
v9.11.2,binaryTrees_7_original.js 21,22.0331,1233.6,1692193463.54067,0,0,485.9,13.8,3522,1896,1.87,173611.5,0,89.5,93274.3,624.8,167.3,529.4,1.2,3021.6,46.3,5325.8,0,1.3,0.1,0.03,0.22,0,4.72,0.15,79.68,15.44,0.04,0.32,70.4,73,74,98.38,400,320,108.6,99.74,1.21,1.2,0,0,0,0,0,0,0,0,0,278.3,220.36,0.29,18.78,0,0
v10.24.1,binaryTrees_7_original.js 21,26.8146,1386.1,1692194132.09971,0,0,968.5,35.38,2736.9,1896,1.69,319989.9,0,101.5,90469.2,4089.7,266.1,888.1,1.8,5804,67.8,9387.8,0,2.71,0.54,0.05,0.27,0,7.14,0.18,53.67,28.15,0.05,0.28,36.14,69.9,70.2,98.88,398.3,308.3,238.84,99.75,1.12,1.12,0,0,0,0,0,0,0,0,0,355.39,282.94,0.29,27.69,0,0
v11.15.0,binaryTrees_7_original.js 21,25.552,1339.6,1692194788.91041,0,0,1023.7,34.17,2994.2,1896,1.76,321367,0,82.9,91254.3,2861.2,278.6,1011.4,1.8,6001.4,256.8,9918.9,0,2.64,0.47,0.05,0.36,0,7.53,0.73,53.99,28.34,0.06,0.39,37.05,77.1,77.5,98.76,398.3,318.3,234.17,99.67,1.15,1.15,0,0,0,0,0,0,0,0,0,399.27,329.76,0.3,26.7,0,0
v12.22.12,binaryTrees_7_original.js 21,19.3892,1273.5,1692195383.47103,0,0,736.4,21.94,3389.8,1896,1.7,523416.1,0,1686.1,164981.8,2257.9,556.6,1431.3,4,4608.7,523.1,8259.1,0.01,2.02,0.21,0.1,0.53,0,7.65,1.95,65.58,21.58,0.1,0.56,55.8,78.6,78.8,98.4,400,300,162.47,99.49,1.33,1.32,0,0,0,0,0,0,0,0,0,315.12,262.15,0.28,19.46,0,0
v13.14.0,binaryTrees_7_original.js 21,18.615,1214.4,1692195965.08346,0,0,791.7,23.27,3399.6,1896,1.63,529331,0,1424.2,164483,871.3,200.5,699.3,2.2,3937.9,438.1,7424.7,0.01,2.07,0.14,0.05,0.39,0,7.01,1.7,65.35,20.82,0.07,0.5,55.35,78.9,79.2,98.36,400,300,164.4,99.52,1.37,1.35,0,0,0,0,0,0,0,0,0,308.09,257.4,0.28,18.57,0,0
v14.21.3,binaryTrees_7_original.js 21,25.6746,1175.8,1692196615.25124,0,0,563.1,15.42,3651.1,1896,1.85,614967.8,0,747.3,181319.3,906.9,274.8,878.9,1.3,4775.7,762.9,11675.6,0,1.95,0.12,0.05,0.33,0,5.87,1.95,74.3,16.84,0.07,0.46,67.22,80.8,81.3,98.5,398.3,308.3,117.84,99.48,1.14,1.13,0,0,0,0,0,0,0,0,0,393.28,324.8,0.31,22.79,0,0
v15.14.0,binaryTrees_7_original.js 21,26.8346,1160.8,1692197291.66278,0,0,563.9,15.32,3677.7,1896,1.73,608435,0,1932.5,184462.2,588.2,257.4,890.7,1.5,4624,900,11816.9,0.01,1.75,0.09,0.04,0.31,0,5.45,2.11,74.9,16.24,0.05,0.44,67.95,81.1,81.6,98.52,398.3,328.3,116.52,99.48,1.12,1.1,0,0,0,0,0,0,0,0,0,411.02,339.7,0.31,23.47,0,0
v16.20.2,binaryTrees_7_original.js 21,27.4749,1148,1692197976.8464,0,0,559.5,15.26,3665.7,1896,1.76,452587.8,0,223.6,174085.8,75355.6,636.7,1514.6,2,5654.2,720.7,12070.5,0,2.62,1.84,0.1,0.44,0,5.84,1.81,72.09,19.89,0.15,0.61,64.09,80.3,81.2,98.52,400,330,116.9,99.49,1.11,1.1,0,0,0,0,0,0,0,0,0,419.6,346.65,0.32,23.8,0,0
v17.9.1,binaryTrees_7_original.js 21,28.481,1183,1692198673.48453,0,0,550.7,15.14,3637.1,1896,1.73,455753.3,0,196.3,171290.1,78660.8,666.3,1617.7,3.1,6007.6,845.4,12927.2,0,2.54,1.75,0.1,0.44,0,5.93,2.11,72,19.88,0.15,0.62,64.22,80.4,80.8,98.53,398.3,318.3,116.51,99.47,1.11,1.1,0,0,0,0,0,0,0,0,0,431.12,355.6,0.32,24.4,0,0
v18.17.1,binaryTrees_7_original.js 21,25.3736,1175.8,1692199340.69005,0,0,604.2,17.18,3514.5,1896,1.72,383253,0,388.8,153168.2,69040.9,1474.1,2823.6,2.4,7565.5,644.9,11337.5,0,2.63,1.96,0.14,0.49,0,6.96,1.96,68.67,22.16,0.22,0.6,59.84,78.5,79.2,98.48,350,310,131.93,99.44,1.21,1.2,0,0,0,0,0,0,0,0,0,389.84,320.32,0.3,27.09,0,0
v19.9.0,binaryTrees_7_original.js 21,26.1585,1174.4,1692200007.94013,0,0,557.8,15.13,3687,1896,1.72,581862.3,0,438.7,114941.2,58855.7,409.4,1140.7,2.3,4711.7,427.7,9739.1,0,2.58,1.14,0.08,0.34,0,5.51,1.12,74.11,18.66,0.11,0.48,65.61,80.6,81.1,98.43,300,300,115.11,99.56,1.23,1.21,0,0,0,0,0,0,0,0,0,394.89,325.24,0.3,23.13,0,0
v20.5.1,binaryTrees_7_original.js 21,23.917,1176,1692200656.95681,0,0,636.4,18.04,3527.1,1896,1.66,458904.4,0,219.1,155744.9,99650.7,636.3,1644.9,2.1,5973.8,604.2,11348.9,0,3.46,1.99,0.12,0.45,0,7.11,1.67,67.16,23.71,0.17,0.6,57.47,79,79,98.42,300,300,136.43,99.46,1.29,1.27,0,0,0,0,0,0,0,0,0,373.37,309.27,0.29,21.98,0,0
