,time_elapsed,Pkg_J,Cor_J,RAM_J,GFX_J
time_elapsed_sec,0.9997655692234441,0.9968315412794134,0.9949103802888954,0.9833786223401316,0.977042107130714
Pkg_J,0.9964956418982533,,0.9997293361657864,0.9853563963228243,0.9763820868486893
Cor_J,0.9945037979043629,0.9997293361657864,,0.9834182257171741,0.9751425745888148
dTLB_loads,0.9900575761816947,0.9942674162313656,0.9932123052672703,0.9959522282283243,0.9744833982167217
L1_dcache_loads,0.9899832944936731,0.9941339497906375,0.9930522653950911,0.9960089723193819,0.9745808669538802
branches,0.9867531337899001,0.9924607373884821,0.9915522444224947,0.9974957865052011,0.9740823096245842
instructions,0.9821598429707296,0.9887222818228495,0.9878200271907438,0.9971177488234686,0.9743285885364755
RAM_J,0.9815047026249341,0.9853563963228243,0.9834182257171741,,0.9615501879463549
GFX_J,0.9757541542148498,0.9763820868486893,0.9751425745888148,0.9615501879463549,
mem_stores,0.9453843570880975,0.9587536086911588,0.9583841931985706,0.9866059696716603,0.9488189736116942
cpu_cycles,0.9177053876298186,0.9332768183408962,0.9327480279178417,0.9750039582378232,0.9141994826121154
cycles,0.9176115352822469,0.9331863120693438,0.9326555177767412,0.9749555714191049,0.9141168199051236
branch_misses,0.9075893424784911,0.9257146234151262,0.9259855533889214,0.9658203070070838,0.8780666787979035
cache_references,0.8826779825039538,0.8974905452123267,0.8959281060132591,0.955852846597146,0.8685402998963067
L1_dcache_load_misses,0.8717018695547467,0.8869958348915311,0.8853256135803075,0.9490316559839186,0.8596337811076571
cache_misses,0.852276074206697,0.8704448133189802,0.8692346443224521,0.93648994355055,0.8384603510321967
bus_cycles,0.8210541511634141,0.8358915079458227,0.8334250289790984,0.9095954786219123,0.8374915527469431
ref_cycles,0.8209634121088328,0.8358262917784924,0.8333642096920335,0.9095510963476279,0.8373728778893053
cpu_clock_msec,0.8146090888803484,0.8299556301753983,0.8275249318373841,0.9052380383274142,0.8314813842869447
task_clock_msec,0.8144405635364058,0.8297902560780694,0.8273581445734984,0.9051140940437171,0.8313367259474708
time,0.7708327031536216,0.7913858192017482,0.7897693600832126,0.8759579468719388,0.7865599314742252
GFX%C0,-0.917425839008335,-0.9260730413773935,-0.924553329299915,-0.9479658990038671,-0.9472372490611739
CPUGFX%,-0.9295294525530292,-0.9359992355516425,-0.9343125096123542,-0.9513337039966757,-0.9576853016294887
time_elapsed,,0.9964956418982533,0.9945037979043629,0.9815047026249341,0.9757541542148498
Frontend_Bound,,0.7109060000650631,0.7185064391931185,0.7312621278315332,0.7566132874615309
Backend_Bound,,,,,-0.751566402892879
