path,version,release_date,time_elapsed,Pkg_J,Cor_J,RAM_J,GFX_J,Avg_MHz,Busy%,IPC,IRQ,POLL,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,Totl%C0,Any%C0,GFX%C0,CPUGFX%,time_elapsed_sec,CPU_Utilization,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,TotalSlots,FetchBubbles,SlotsRetired,SlotsIssued+RecoveryBubbles,SlotsBackend,CPI,ILP,IPC_perf,cycles,freq_cycles_GHz,instructions,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,cycles,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses,time,virt,res,shr,percent_cpu,percent_mem,nTH,P,SWAP,CODE,DATA,nMaj,nDRT,USED
binaryTrees_original_v1,11.15.0,2019-04-30,5.4943875,150.95499999999998,133.10500000000002,12.3,0.04,2253.0,74.04499999999999,1.42,208717.0,816.0,4.154999999999999,0.43999999999999995,0.16499999999999998,0.8300000000000001,0.0,5.705,0.175,13.86,17.189999999999998,0.08,0.48,8.605,90.0,92.0,99.19,349.525,99.465,0.835,0.83,6.8580424395,0.99,0.37,0.15,0.01,0.46499999999999997,385986613914.0,57897992087.1,141521639620.78,3859866139.1400003,180999611864.42,0.705,3.73,1.435,96496653478.5,2.519,137430090980.5,0.08,10.925,1.36,96496653478.5,137430090980.5,1.43,39675.63,5.843999999999999,96518421086.0,2.519,4424.0,73538720597.0,928841321.0,39685.065,5.845000000000001,327.0,25901989939.0,51844833.0,1288.0,21874419959.0,1479350.0,1479350.0,0.0,2329924758.0,1239524356.5,53.1765,36696366363.5,1133378507.0,83143137.5,24349280.5,146623917.5,36790023461.0,10708086.0,2045230.5,6475755.0,19.965,2178136064.0,519403520.0,26791936.0,481.79999999999995,3.1,12.5,3.5,0.0,34381824.0,582389760.0,0.0,0.0,519403520.0
binaryTrees_original_v1,12.22.12,2022-04-05,5.763649,115.515,96.445,12.19,0.04,1803.5,68.945,1.46,244199.0,1963.5,6.32,0.95,0.245,0.995,0.0,4.955,0.14500000000000002,15.98,19.445,0.11499999999999999,0.635,9.875,76.0,77.5,99.24000000000001,337.30499999999995,99.64500000000001,0.86,0.855,5.0107404035,0.99,0.375,0.14,0.01,0.48,313665070372.0,43337355877.18001,117128960336.70001,3136650703.7200003,150559233778.56,0.6799999999999999,4.015000000000001,1.43,78416267593.0,3.013,113069125923.0,0.12,13.445,1.65,78416267593.0,113069125923.0,1.435,26055.545,5.352,78319022444.5,3.0095,4892.5,47552642249.5,601112034.5,26066.04,5.3535,288.5,22441782244.0,46095682.0,820.0,19846773635.0,1500853.0,1500853.0,0.0,2014860246.5,1127303704.0,55.5595,32132257017.0,1049872979.0,69815920.0,21167071.0,161410603.5,32120556917.5,8731907.5,1323005.5,6231054.5,18.07,2838929408.0,701358080.0,29290496.0,412.5,4.2,15.0,2.0,0.0,40587264.0,769855488.0,0.0,0.0,701358080.0
binaryTrees_original_v1,13.14.0,2020-04-29,5.549222,127.19500000000001,109.74499999999999,11.915,0.04,1941.5,69.64500000000001,1.45,242841.5,1801.0,6.65,0.92,0.29000000000000004,1.1,0.0,5.245,0.215,15.685,20.15,0.15000000000000002,0.675,9.780000000000001,75.5,76.5,99.25999999999999,336.95500000000004,99.58500000000001,0.87,0.865,5.2258251905,0.99,0.365,0.14,0.015,0.475,319797604636.0,44771664649.04001,116679248915.62,4744426339.940001,148754982505.68,0.695,4.005,1.4449999999999998,79949401159.0,2.8594999999999997,114352238174.5,0.11499999999999999,12.945,1.56,79949401159.0,114352238174.5,1.4449999999999998,27793.75,5.3345,79841847511.0,2.871,4759.0,51040883303.0,643544034.5,27804.695,5.3365,302.0,22874239142.5,49369318.0,771.0,20196963448.0,1495127.5,1495127.5,0.0,2118371730.0,1154008910.5,54.3625,32716284511.0,1063235043.0,75748715.0,23745552.0,168467240.5,32758678771.5,8669853.0,1630138.0,6670937.5,18.1,2560589824.0,643643392.0,29286400.0,436.4,3.8499999999999996,13.5,3.0,0.0,65282048.0,706476032.0,0.0,0.0,643643392.0
binaryTrees_original_v1,14.21.3,2023-02-16,13.3254395,169.61,126.94999999999999,23.69,0.07,1202.0,56.085,1.61,242473.0,656.0,6.300000000000001,1.24,0.27,0.925,0.0,5.72,0.14,28.42,25.43,0.2,0.7,17.28,73.0,73.0,99.33,292.62,99.775,0.745,0.74,14.3358881945,0.99,0.41,0.17,0.01,0.41,523883491304.0,88593743887.3,212311264754.34,5270323576.98,215210213527.02,0.61,4.27,1.63,130970872826.0,2.02,214350715478.5,0.07500000000000001,8.265,1.085,130970872826.0,214350715478.5,1.63,64698.104999999996,4.458500000000001,130934222985.0,2.021,7039.0,120228178311.5,1521591877.5,64731.100000000006,4.461,539.0,43294597112.0,56796639.0,602.0,36951780400.5,1474436.5,1474436.0,0.0,3612589285.5,1786929112.0,49.9245,59947346157.5,1873646440.5,168288673.5,61164255.5,311089740.5,59548210009.0,15794990.0,6159885.0,8878765.0,35.7,2034378752.0,529600512.0,30695424.0,339.35,3.2,9.0,2.0,0.0,66723840.0,591591424.0,0.0,0.0,529600512.0
binaryTrees_original_v1,15.14.0,2021-04-06,11.6327785,140.47,103.86500000000001,22.68,0.06,1395.0,71.57,1.5950000000000002,264579.0,1905.0,4.975,0.875,0.195,0.605,0.0,5.42,0.08,15.254999999999999,21.740000000000002,0.125,0.35,5.8,69.5,70.0,99.47999999999999,354.975,99.78,0.745,0.745,12.304694636,0.98,0.4,0.13,0.01,0.46,527797786244.0,68471412010.04,210005896102.86002,5277977862.440001,244399109922.04004,0.64,4.135,1.585,131949446561.0,1.8955,210025910461.5,0.09,10.125,1.02,131949446561.0,210025910461.5,1.585,69173.68,5.609999999999999,131798678667.5,1.8944999999999999,6456.5,128823303034.0,1631483241.5,69216.43,5.614000000000001,556.0,42453081525.0,52295366.5,434.5,36662443327.0,1475620.0,1475620.0,0.0,3924629610.0,1822390245.0,46.388000000000005,57733114391.5,1945846140.0,181798211.0,60381510.5,356405500.0,57274839249.0,17680980.0,12879898.0,9961685.0,35.94,2032230400.0,505901056.0,31240192.0,518.8,3.1,9.0,4.0,0.0,66609152.0,562126848.0,0.0,0.0,505901056.0
binaryTrees_original_v1,16.20.2,2023-08-08,9.265655500000001,207.09,178.25,20.125,0.05,1981.5,71.025,1.5,204134.0,2253.0,4.140000000000001,0.55,0.19,0.76,0.0,6.52,0.025,16.09,21.95,0.10500000000000001,0.455,6.23,82.5,82.5,99.33,355.825,99.75999999999999,0.835,0.835,9.694993581999999,0.99,0.37,0.15,0.01,0.47,587893719612.0,87440612171.09999,218969112726.88,5878937196.120001,273980584802.77997,0.675,3.96,1.49,146973429903.0,2.6995,219696237839.0,0.08,12.969999999999999,1.45,146973429903.0,219696237839.0,1.4849999999999999,54098.785,5.564,146753865340.0,2.6955,5848.0,100715632921.0,1274130455.5,54121.01,5.5665,279.0,44791682619.0,100731404.0,4616.5,37972247202.0,1484860.0,1484860.0,0.0,3921089178.5,1824382928.0,46.8025,59709317317.0,1945268174.5,183342970.5,61498021.5,300987171.5,59859657842.5,18108971.5,6266608.5,9490121.0,31.65,2059866112.0,549085184.0,33783808.0,518.8,3.3,9.0,3.0,0.0,72847360.0,603975680.0,0.0,0.0,549085184.0
binaryTrees_original_v1,17.9.1,2022-06-01,8.9917055,186.63,160.48000000000002,19.825000000000003,0.055,1893.0,71.2,1.51,204198.0,1978.0,3.7199999999999998,0.605,0.19,0.8,0.0,6.415,0.05500000000000001,17.505,21.200000000000003,0.10500000000000001,0.49,7.42,86.5,85.5,99.33500000000001,353.29999999999995,99.75,0.825,0.825,11.594261661,0.98,0.38,0.15,0.01,0.455,572939205510.0,86545860128.4,217716898093.8,5729392055.1,260689716437.38,0.655,4.0,1.52,143234801377.5,2.2475,218187979440.5,0.08,11.075,1.21,143234801377.5,218187979440.5,1.5150000000000001,64731.405,5.554,143313236488.0,2.2504999999999997,5920.5,120688853585.0,1528203837.5,64761.05,5.5555,372.0,44999304384.0,58917128.0,3117.5,38024326128.0,1478423.0,1478423.0,0.0,3942089766.0,1824499336.5,45.817,60109819405.5,1953681208.5,182181951.0,61245052.0,294031554.5,59874140298.0,17647286.5,6840004.5,9475307.0,36.61,2027024384.0,503975936.0,35414016.0,511.8,3.0,9.0,3.0,0.0,71958528.0,555900928.0,0.0,0.0,503975936.0
binaryTrees_original_v1,18.17.1,2023-08-08,5.391038,133.20499999999998,116.895,11.254999999999999,0.04,1938.0,64.025,1.46,199654.0,902.0,4.605,1.745,0.35,1.27,0.0,6.695,0.13,20.2,20.475,0.265,0.8049999999999999,13.67,80.5,80.5,99.18,317.145,99.465,0.875,0.87,5.1948527855,0.99,0.37,0.16,0.01,0.45,319647379312.0,50843542200.32,117266436206.7,3196473793.12,143841320690.40002,0.675,4.045,1.49,79911844828.0,3.052,117440292690.0,0.11,12.805,1.6749999999999998,79911844828.0,117440292690.0,1.48,25883.815,4.984,80055231790.0,3.0635,5676.5,47573636403.5,601199499.5,25896.225,4.9864999999999995,257.5,24302135679.0,54268645.0,14403.5,21043590231.0,1517834.5,1517834.5,0.0,2113790805.0,1133062493.5,53.1785,33753460343.5,1032919320.0,75515739.0,23602799.5,239547801.5,33703833326.0,9172755.5,4878844.0,7617788.0,17.81,2276618240.0,585601024.0,40562688.0,368.8,3.5,10.0,4.0,0.0,81170432.0,634511360.0,0.0,0.0,585338880.0
binaryTrees_original_v1,19.9.0,2023-04-10,5.288074,144.305,128.075,11.14,0.04,1902.0,59.965,1.495,213049.0,1292.5,4.315,1.0550000000000002,0.26,1.2650000000000001,0.0,7.119999999999999,0.445,24.049999999999997,20.525,0.19,0.8049999999999999,18.04,82.0,82.0,99.13,304.615,99.35499999999999,0.89,0.875,5.3576732525,0.98,0.385,0.16,0.01,0.445,310466308534.0,49674609365.44,119393112529.86002,3104663085.34,137861377020.0,0.66,4.1850000000000005,1.525,77616577133.5,3.0635000000000003,116969722975.0,0.11,12.315000000000001,1.6749999999999998,77616577133.5,116969722975.0,1.51,24963.925,4.696,77642565037.5,3.0675,4746.5,45471921752.0,576557377.0,24972.415,4.699,236.5,24542108215.5,49045118.5,5799.0,21359067834.5,1517257.5,1517257.5,0.0,2004345465.5,1126872485.0,56.2325,34370039248.5,1028015323.5,69971449.0,23757348.0,220811842.0,34435465615.5,9013097.0,3360663.5,8279104.5,17.94,3416383488.0,640319488.0,42446848.0,262.5,3.9,9.0,4.0,0.0,81756160.0,698814464.0,0.0,0.0,640319488.0
binaryTrees_original_v1,20.5.1,2023-08-09,5.1310675,136.76,121.25,11.08,0.04,1983.0,64.35,1.495,194955.0,1327.0,5.029999999999999,1.705,0.335,1.3399999999999999,0.0,6.925,0.30500000000000005,19.015,21.43,0.26,0.865,12.465,87.5,88.0,99.09,319.105,99.41999999999999,0.925,0.905,5.5215847315,0.99,0.385,0.15,0.01,0.45,302267326652.0,45222797052.3,116514971425.32,3022673266.5200005,135359643250.8,0.655,4.17,1.5350000000000001,75566831663.0,2.9505,116071534418.0,0.12,12.004999999999999,1.62,75566831663.0,116071534418.0,1.53,26908.07,4.9719999999999995,75414883424.0,2.955,3843.0,49084744090.0,621763549.0,26921.55,4.9745,551.5,24212133479.0,43034789.0,11280.5,21157253575.0,1501893.0,1501893.0,0.0,2075126065.5,1124000062.0,54.701,34758379399.5,1019770904.5,71771187.5,23245442.0,208298970.0,34911503058.5,8793762.0,3725070.5,6727265.5,17.49,3884617728.0,599031808.0,42700800.0,373.35,3.6,16.0,4.0,0.0,27901952.0,653631488.0,0.0,0.0,599031808.0
