test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v2.5.0,nbody_6.js 50000000,1.00,0.42,0.54,0.03,0.00,0.43,5.35,2.37,0.00,0.06,2.16,5502643899 ns,22420895109,4.075 GHz,53160555444,2.37,5501.41 msec,1.000,22408775895,4.073 GHz,4,10395491987,131592352,5501.43 msec,1.000,211 C,6889482021,1350946,0.02%,17,3833021973,2993,2993,0,704260,110082,15.631,21085479138,316731,0.00%,46904,9715,20.71%,775161,21129412406,1070,0.00%,7283,9159,125.76%,0,0
2,v2.5.0,nbody_6.js 50000000,1.00,0.42,0.53,0.03,0.00,0.43,5.36,2.35,0.01,0.07,2.16,5537973427 ns,22592899586,4.080 GHz,53097632490,2.35,5537.41 msec,1.000,22589769184,4.079 GHz,2,10474016423,132607922,5537.42 msec,1.000,214 C,6902771500,1158987,0.02%,13,3861091490,2994,2994,0,2665296,829327,31.116,20962325767,786708,0.00%,29595,3964,13.39%,570377,21043323042,204,0.00%,6182,4853,78.50%,0,0
3,v2.5.0,nbody_6.js 50000000,1.00,0.42,0.54,0.03,0.00,0.43,5.35,2.38,0.00,0.07,2.16,5495519580 ns,22400844055,4.077 GHz,53205163451,2.38,5495.03 msec,1.000,22407125807,4.078 GHz,2,10391382802,131507883,5495.04 msec,1.000,203 C,6912566150,1171264,0.02%,13,3837999961,2994,2994,0,418088,62884,15.041,21095839896,238172,0.00%,27326,1849,6.77%,580759,21135508085,85,0.00%,5385,2216,41.15%,0,0
4,v2.5.0,nbody_6.js 50000000,1.00,0.42,0.53,0.03,0.00,0.44,5.33,2.35,0.00,0.06,2.16,5554919661 ns,22643337499,4.077 GHz,53171376579,2.35,5554.41 msec,1.000,22629505227,4.074 GHz,3,10490639805,132840570,5554.42 msec,1.000,143 C,6906988060,1157322,0.02%,13,3837773339,2991,2991,0,203335,37737,18.559,21109099981,209349,0.00%,216712,92753,42.80%,1840188,21055451762,331,0.00%,7431,4134,55.63%,0,0
5,v2.5.0,nbody_6.js 50000000,1.00,0.42,0.54,0.03,0.00,0.44,5.34,2.36,0.01,0.08,2.16,5531219602 ns,22553089873,4.078 GHz,52972960661,2.35,5530.63 msec,1.000,22558335129,4.079 GHz,1,10458195820,132394867,5530.65 msec,1.000,173 C,6912428532,2676718,0.04%,52,3846646573,2994,2994,0,2493456,774576,31.064,21205200557,252612,0.00%,25090,3833,15.28%,573620,21167096422,141,0.00%,4579,5286,115.44%,0,0
6,v2.5.0,nbody_6.js 50000000,1.00,0.42,0.54,0.03,0.00,0.43,5.32,2.36,0.00,0.06,2.16,5528785577 ns,22542941285,4.078 GHz,52951801906,2.35,5528.11 msec,1.000,22543545467,4.078 GHz,2,10450227031,132235177,5528.13 msec,1.000,169 C,6886029697,1248339,0.02%,13,3825333922,3001,3001,0,2768369,333558,12.049,21038835178,246288,0.00%,27530,4593,16.68%,565436,21212371852,141,0.00%,3965,3777,95.26%,0,0
7,v2.5.0,nbody_6.js 50000000,0.99,0.42,0.54,0.03,0.00,0.43,5.36,2.37,0.00,0.07,2.15,5545541067 ns,22434561007,4.046 GHz,53173282119,2.37,5544.25 msec,1.000,22432196049,4.046 GHz,3,10409263061,131800092,5544.30 msec,1.000,162 C,6905510692,1468533,0.02%,17,3837170608,2994,2994,0,944758,170727,18.071,21038086334,873898,0.00%,266035,91629,34.44%,831281,21136942422,181,0.00%,20132,9341,46.40%,0,0
8,v2.5.0,nbody_6.js 50000000,1.00,0.42,0.54,0.03,0.00,0.43,5.36,2.38,0.00,0.07,2.16,5494195770 ns,22373777182,4.073 GHz,53105976835,2.37,5493.47 msec,1.000,22369603573,4.072 GHz,2,10365214667,131219231,5493.48 msec,1.000,143 C,6894127351,1224606,0.02%,17,3838228182,2994,2994,0,221679,56454,25.467,21109225257,220070,0.00%,16472,3862,23.45%,500889,21107819901,273,0.00%,4408,4408,100.00%,0,0
9,v2.5.0,nbody_6.js 50000000,0.99,0.42,0.54,0.03,0.00,0.43,5.34,2.37,0.00,0.06,2.14,5583871363 ns,22464416173,4.024 GHz,53163351545,2.37,5582.26 msec,1.000,22441944902,4.020 GHz,4,10477344361,132673425,5582.29 msec,1.000,161 C,6908235718,1355424,0.02%,17,3845335537,2994,2994,0,739284,56491,7.641,21117339721,332194,0.00%,57507,8079,14.05%,784976,21132792744,54,0.00%,20711,8025,38.75%,0,0
10,v2.5.0,nbody_6.js 50000000,1.00,0.42,0.53,0.03,0.00,0.43,5.36,2.37,0.01,0.06,2.16,5522472346 ns,22520846368,4.078 GHz,53198416775,2.37,5521.93 msec,1.000,22518866633,4.078 GHz,1,10437565394,132142267,5521.94 msec,1.000,160 C,6908372447,1298950,0.02%,17,3828708863,2994,2994,0,509641,62007,12.167,21055058059,232042,0.00%,25256,2557,10.12%,548422,21142078235,478,0.00%,5912,4085,69.10%,0,0
