test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v12.22.12,nbody_6.js 50000000,4.104654,1038,1692107656.427560,-,-,520,12.71,4095,1896,2.48,2511,0,1,164,79,41,93,0,549,2,752,0.00,0.26,0.13,0.02,0.21,0.00,4.67,0.02,81.92,13.53,0.03,0.27,73.46,71,71,99.13,300,300,101.76,99.58,0.99,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.61,53.38,0.03,2.49,0.00,0.00
2,v12.22.12,nbody_6.js 50000000,4.103834,1096,1692107660.570039,-,-,521,12.73,4098,1896,2.47,2453,0,0,157,86,36,91,0,422,1,890,0.00,0.10,0.08,0.03,0.31,0.00,3.55,0.02,83.12,13.27,0.03,0.37,73.60,73,76,98.74,300,300,101.85,99.62,1.12,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.80,54.58,0.04,2.50,0.00,0.00
3,v12.22.12,nbody_6.js 50000000,4.145447,1046,1692107664.752350,-,-,521,12.73,4095,1896,2.46,2683,0,0,92,83,54,145,0,708,6,902,0.00,0.18,0.11,0.03,0.28,0.00,5.69,0.08,80.83,13.44,0.04,0.39,73.40,78,78,98.59,300,300,101.36,99.54,1.25,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.78,55.30,0.04,2.53,0.00,0.00
4,v12.22.12,nbody_6.js 50000000,4.126635,1036,1692107668.917356,-,-,520,12.69,4096,1896,2.47,2787,0,130,107,57,41,140,2,600,4,1009,0.01,0.28,0.10,0.03,0.25,0.01,4.79,0.02,81.77,13.28,0.04,0.30,73.69,77,77,98.58,300,300,101.22,99.57,1.24,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.32,55.96,0.04,2.51,0.00,0.00
5,v12.22.12,nbody_6.js 50000000,4.110059,1052,1692107673.059271,-,-,526,12.84,4094,1896,2.46,2769,0,1,138,280,203,334,0,744,1,900,0.00,0.12,0.17,0.11,0.49,0.00,6.06,0.00,80.16,13.31,0.17,0.34,73.33,81,81,98.59,300,300,101.87,99.61,1.24,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.25,57.03,0.04,2.50,0.00,0.00
6,v12.22.12,nbody_6.js 50000000,4.111613,1052,1692107677.212845,-,-,520,12.70,4096,1896,2.48,2483,0,4,108,80,18,92,0,521,3,936,0.00,0.25,0.10,0.03,0.25,0.00,3.95,0.04,82.62,13.51,0.03,0.26,73.50,80,80,98.62,300,300,101.64,99.54,1.23,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.24,55.99,0.04,2.50,0.00,0.00
7,v12.22.12,nbody_6.js 50000000,4.111060,1052,1692107681.362600,-,-,520,12.69,4096,1896,2.48,2541,0,0,82,51,35,115,1,513,4,926,0.00,0.18,0.06,0.03,0.22,0.01,4.46,0.05,82.25,13.45,0.04,0.30,73.52,80,82,98.51,300,300,101.64,99.58,1.26,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.65,57.34,0.05,2.50,0.00,0.00
8,v12.22.12,nbody_6.js 50000000,4.106135,1050,1692107685.504430,-,-,521,12.73,4093,1896,2.48,2838,0,76,257,134,53,138,4,611,2,761,0.00,0.32,0.12,0.04,0.26,0.00,4.96,0.05,81.44,13.61,0.04,0.35,73.27,81,81,98.68,300,300,101.85,99.56,1.18,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.53,57.21,0.05,2.50,0.00,0.00
9,v12.22.12,nbody_6.js 50000000,4.204142,1014,1692107689.745315,-,-,521,12.73,4097,1896,2.42,2650,0,3,191,84,28,109,0,590,5,999,0.00,0.28,0.16,0.03,0.23,0.00,4.49,0.10,81.92,13.17,0.02,0.37,73.71,85,85,98.50,300,300,101.11,99.55,1.25,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.31,58.70,0.05,2.56,0.00,0.00
10,v12.22.12,nbody_6.js 50000000,4.110868,1089,1692107693.891133,-,-,522,12.73,4098,1896,2.47,2536,0,0,101,47,36,139,0,534,5,912,0.00,0.16,0.02,0.05,0.30,0.00,4.32,0.10,82.26,12.85,0.08,0.39,73.95,85,88,98.50,300,300,100.87,99.66,1.25,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.97,57.45,0.05,2.50,0.00,0.00
