test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v19.9.0,nbody_6.js 50000000,5.168184,1150,1692110598.948772,-,-,1024,25.08,4084,1896,2.20,5343,0,6,283,120,55,139,0,1497,6,1510,0.00,0.25,0.05,0.04,0.46,0.00,11.44,0.02,62.37,26.16,0.07,0.71,47.98,82,83,98.47,300,300,200.42,99.00,1.09,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149.62,136.33,0.04,4.07,0.00,0.00
2,v19.9.0,nbody_6.js 50000000,5.458381,1050,1692110604.447829,-,-,942,23.87,3946,1896,1.85,16475,0,1274,18679,8405,3606,5922,40,1992,7,1028,0.04,3.36,2.24,1.54,4.90,0.01,8.35,0.13,55.48,22.07,0.76,2.22,51.08,84,84,98.66,300,300,162.67,99.33,1.14,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,128.84,113.75,0.05,4.28,0.00,0.00
3,v19.9.0,nbody_6.js 50000000,5.109420,1046,1692110609.597201,-,-,524,12.79,4095,1896,2.51,3649,0,233,457,54,32,137,1,692,9,1246,0.01,0.28,0.02,0.02,0.23,0.01,4.37,0.10,82.14,13.52,0.02,0.24,73.43,84,84,98.54,300,300,101.93,99.61,1.15,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.83,74.92,0.05,3.10,0.00,0.00
4,v19.9.0,nbody_6.js 50000000,5.147788,1061,1692110614.780051,-,-,517,12.61,4098,1896,2.52,2959,0,9,80,48,50,113,0,648,6,946,0.00,0.08,0.06,0.03,0.20,0.00,4.53,0.09,82.36,13.09,0.04,0.25,74.00,84,84,98.70,300,300,100.94,99.61,1.07,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.50,75.53,0.05,3.12,0.00,0.00
5,v19.9.0,nbody_6.js 50000000,5.194181,1081,1692110620.010042,-,-,518,12.64,4098,1896,2.50,2919,0,0,89,59,24,102,0,596,6,947,0.00,0.17,0.02,0.03,0.19,0.00,3.81,0.15,82.93,13.02,0.02,0.27,74.04,85,88,98.75,300,300,100.97,99.64,0.95,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.62,77.33,0.04,3.14,0.00,0.00
6,v19.9.0,nbody_6.js 50000000,5.103613,1125,1692110625.154189,-,-,520,12.68,4097,1896,2.53,2767,0,3,51,36,40,108,0,549,3,1013,0.00,0.07,0.04,0.01,0.19,0.00,3.46,0.07,83.41,13.06,0.01,0.23,74.02,85,85,98.68,300,300,101.45,99.65,1.04,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.55,76.46,0.05,3.08,0.00,0.00
7,v19.9.0,nbody_6.js 50000000,5.267167,1052,1692110630.461121,-,-,517,12.63,4098,1896,2.46,3066,0,1,70,52,21,121,0,655,3,1036,0.00,0.12,0.04,0.01,0.22,0.00,4.23,0.05,82.63,13.04,0.02,0.36,73.96,87,91,98.52,300,300,100.99,99.59,1.10,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.09,78.60,0.05,3.19,0.00,0.00
8,v19.9.0,nbody_6.js 50000000,5.179075,2010,1692110635.683748,-,-,518,12.63,4098,1896,2.51,2933,0,2,92,70,49,147,0,614,6,913,0.00,0.09,0.11,0.04,0.23,0.00,4.28,0.15,82.40,13.33,0.04,0.31,73.69,85,87,98.63,300,300,101.15,99.58,1.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.30,78.98,0.04,3.13,0.00,0.00
9,v19.9.0,nbody_6.js 50000000,5.116649,1061,1692110640.837682,-,-,521,12.70,4097,1896,2.52,3238,0,49,290,69,20,80,0,642,9,1038,0.00,0.43,0.04,0.02,0.13,0.00,4.48,0.16,81.98,13.21,0.02,0.20,73.87,89,89,98.40,300,300,100.85,99.61,1.22,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.38,78.05,0.05,3.10,0.00,0.00
10,v19.9.0,nbody_6.js 50000000,5.174512,1084,1692110646.054501,-,-,518,12.66,4090,1896,2.51,14494,0,48,165,102,56,405,7,2061,926,8283,0.00,0.14,0.03,0.04,0.81,0.00,9.15,7.02,69.99,14.32,0.06,1.14,71.83,91,91,98.75,300,300,101.37,98.69,0.83,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.79,79.54,0.04,3.13,0.00,0.00
