test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v10.24.1,nbody_6.js 50000000,1.00,0.40,0.55,0.03,0.00,0.41,5.23,2.47,0.00,0.07,2.16,4143554738 ns,16893283632,4.075 GHz,41840511046,2.48,4145.50 msec,1.000,16889083351,4.074 GHz,3,7828706481,99105819,4145.53 msec,1.000,280 C,5564752740,794373,0.01%,0,3093515573,3372,3372,0,243095,39431,16.220,10310229380,162128,0.00%,19869,564,2.84%,388804,10354797384,109,0.00%,17334,4620,26.65%,0,0
2,v10.24.1,nbody_6.js 50000000,1.00,0.40,0.55,0.03,0.00,0.41,5.20,2.47,0.00,0.07,2.15,4152049290 ns,16900148078,4.068 GHz,41942234796,2.49,4153.94 msec,1.000,16923195230,4.074 GHz,4,7852425805,99404694,4153.97 msec,1.000,244 C,5584785995,854375,0.02%,4,3102775077,3363,3363,0,422674,122994,29.099,10353080193,178622,0.00%,24592,794,3.23%,434795,10345156234,7,0.00%,4064,3514,86.47%,0,0
3,v10.24.1,nbody_6.js 50000000,1.00,0.40,0.56,0.03,0.00,0.41,5.23,2.43,0.02,0.06,2.15,4165227665 ns,16921345329,4.060 GHz,41639474599,2.45,4167.42 msec,1.001,16928611853,4.062 GHz,8,7864881254,99569931,4167.48 msec,1.001,233 C,5548283678,1256999,0.02%,4,3114170398,3332,3332,0,2457356,385378,15.683,10261557471,178310,0.00%,30868,2523,8.17%,442683,10227947582,212,0.00%,4344,4707,108.36%,0,0
4,v10.24.1,nbody_6.js 50000000,1.00,0.40,0.55,0.04,0.00,0.40,5.24,2.48,0.01,0.07,2.16,4164442639 ns,16967008560,4.072 GHz,41861696159,2.47,4166.36 msec,1.000,16972313687,4.074 GHz,4,7871851432,99655047,4166.38 msec,1.000,244 C,5587154423,843865,0.02%,0,3103379041,3385,3385,0,2695546,140970,5.230,10346248347,166137,0.00%,19550,819,4.19%,445235,10343447062,55,0.00%,3200,4028,125.88%,0,0
5,v10.24.1,nbody_6.js 50000000,1.00,0.40,0.56,0.03,0.00,0.41,5.23,2.48,0.00,0.09,2.16,4128008707 ns,16825711005,4.074 GHz,41782218513,2.48,4129.64 msec,1.000,16820928112,4.073 GHz,5,7798584082,98754391,4129.69 msec,1.000,203 C,5571173838,835507,0.01%,0,3091485351,3373,3373,0,412283,51879,12.583,10320194365,213686,0.00%,33261,2868,8.62%,514178,10321049315,171,0.00%,3743,5440,145.34%,0,0
6,v10.24.1,nbody_6.js 50000000,1.00,0.41,0.54,0.03,0.00,0.43,5.18,2.44,0.00,0.07,2.16,4202844923 ns,17126224030,4.073 GHz,41932699198,2.45,4205.01 msec,1.001,17125729558,4.073 GHz,10,7941022195,100515470,4205.04 msec,1.001,203 C,5575343488,667894,0.01%,0,3083091769,3366,3366,0,229297,41411,18.060,10328722140,158427,0.00%,11406,1629,14.28%,388653,10286696058,17091,0.00%,43869,36289,82.72%,0,0
7,v10.24.1,nbody_6.js 50000000,1.00,0.40,0.55,0.05,0.00,0.41,5.22,2.48,0.00,0.07,2.16,4162826649 ns,16879183123,4.053 GHz,41999063870,2.50,4165.04 msec,1.001,16904067213,4.059 GHz,6,7843609101,99410858,4165.07 msec,1.001,190 C,5559570224,799735,0.01%,21,3062950542,3374,3374,0,2424357,48568,2.003,10083556226,161387,0.00%,16323,1241,7.60%,386981,10055986148,69,0.00%,3011,5433,180.44%,0,0
8,v10.24.1,nbody_6.js 50000000,1.00,0.41,0.54,0.03,0.00,0.42,5.20,2.43,0.00,0.07,2.16,4219056997 ns,17185926389,4.072 GHz,41901273785,2.44,4221.00 msec,1.000,17179364206,4.070 GHz,2,7966570704,100831894,4221.03 msec,1.000,184 C,5567103083,671164,0.01%,0,3086025766,3384,3383,1,225065,51566,22.912,10327684060,142690,0.00%,13155,2573,19.56%,390724,10314500721,201,0.00%,4162,5612,134.84%,0,0
9,v10.24.1,nbody_6.js 50000000,1.00,0.40,0.55,0.03,0.00,0.41,5.22,2.48,0.00,0.07,2.16,4142318728 ns,16852954872,4.066 GHz,41733146350,2.49,4145.15 msec,1.001,16859011556,4.067 GHz,6,7813999988,98919970,4145.17 msec,1.001,192 C,5551451694,823927,0.01%,4,3091044478,3284,3283,1,169605,44738,26.378,10136263903,141895,0.00%,8634,1858,21.52%,376525,10173192490,23,0.00%,3096,4563,147.38%,0,0
10,v10.24.1,nbody_6.js 50000000,1.00,0.41,0.54,0.04,0.00,0.42,5.16,2.40,0.00,0.07,2.16,4268142645 ns,17388783432,4.072 GHz,41848967849,2.41,4270.23 msec,1.000,17394732503,4.073 GHz,4,8063096610,102068826,4270.26 msec,1.000,189 C,5565153879,813613,0.01%,4,3083810598,3370,3370,0,198929,50439,25.355,10326540717,156112,0.00%,8901,1082,12.16%,384628,10329545180,78,0.00%,1694,4219,249.06%,0,0
