test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v12.22.12,nbody_6.js 50000000,4.144247,1098,1695058873.756127,-,-,519,12.67,4097,1896,2.47,2388,0,3,90,84,44,125,0,554,6,811,0.00,0.16,0.03,0.03,0.27,0.00,4.50,0.08,82.19,13.34,0.04,0.37,73.59,69,69,99.17,450,300,101.43,99.56,0.89,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.92,54.33,0.03,1.24,0.00,0.00
2,v12.22.12,nbody_6.js 50000000,4.130681,1137,1695058877.928112,-,-,521,12.71,4096,1896,2.46,2347,0,4,125,121,59,117,2,496,7,854,0.00,0.13,0.17,0.06,0.25,0.01,3.99,0.06,82.54,13.40,0.07,0.38,73.44,75,75,99.06,450,300,101.81,99.57,1.01,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.66,54.95,0.04,1.23,0.00,0.00
3,v12.22.12,nbody_6.js 50000000,4.111569,1099,1695058882.073241,-,-,526,12.84,4092,1896,2.46,2537,0,6,225,376,175,293,0,573,6,902,0.00,0.19,0.13,0.12,0.42,0.00,4.60,0.14,81.49,13.57,0.17,0.44,72.98,75,75,99.16,450,300,102.52,99.54,0.86,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.48,55.91,0.03,1.23,0.00,0.00
4,v12.22.12,nbody_6.js 50000000,4.107623,1395,1695058886.216734,-,-,522,12.74,4095,1896,2.47,2533,0,26,116,119,59,80,0,568,16,916,0.00,0.15,0.10,0.04,0.20,0.00,4.30,0.84,81.53,13.49,0.17,0.26,73.33,80,80,98.89,450,300,101.92,99.57,1.03,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.62,55.94,0.04,1.23,0.00,0.00
5,v12.22.12,nbody_6.js 50000000,4.122063,1106,1695058890.371223,-,-,526,12.86,4091,1896,2.45,2561,0,32,552,372,185,282,0,503,8,753,0.00,0.10,0.30,0.14,0.46,0.00,4.10,0.13,81.84,13.68,0.21,0.40,72.84,79,79,99.03,450,300,102.51,99.55,0.99,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.15,56.56,0.04,1.24,0.00,0.00
6,v12.22.12,nbody_6.js 50000000,4.110899,1098,1695058894.516703,-,-,521,12.73,4095,1896,2.47,2436,0,12,125,84,56,108,0,509,3,921,0.00,0.11,0.04,0.04,0.22,0.00,4.29,0.06,82.43,13.19,0.14,0.26,73.68,86,86,98.88,450,300,101.69,99.56,0.98,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.25,57.61,0.04,1.23,0.00,0.00
7,v12.22.12,nbody_6.js 50000000,4.326077,1443,1695058898.878951,-,-,519,12.66,4098,1896,2.36,2552,0,0,84,90,51,88,0,522,5,860,0.00,0.12,0.03,0.04,0.21,0.00,4.14,0.06,82.67,13.07,0.04,0.32,73.91,82,82,99.00,450,300,101.06,99.61,0.93,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.01,58.84,0.03,1.29,0.00,0.00
8,v12.22.12,nbody_6.js 50000000,4.141257,1109,1695058903.055658,-,-,518,12.66,4096,1896,2.47,2612,0,59,180,128,70,125,1,539,6,788,0.00,0.17,0.11,0.05,0.30,0.00,4.18,0.09,82.39,13.35,0.06,0.42,73.51,83,83,98.86,450,300,101.30,99.59,1.04,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.41,57.62,0.04,1.24,0.00,0.00
9,v12.22.12,nbody_6.js 50000000,4.139806,1378,1695058907.230541,-,-,518,12.64,4097,1896,2.47,2457,0,0,95,94,56,105,0,563,9,705,0.00,0.09,0.07,0.02,0.32,0.00,4.38,0.15,82.27,13.23,0.03,0.44,73.65,83,85,98.89,450,300,101.27,99.58,0.99,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.57,57.63,0.04,1.24,0.00,0.00
10,v12.22.12,nbody_6.js 50000000,4.109500,1100,1695058911.375855,-,-,520,12.70,4096,1896,2.48,2326,0,1,95,81,59,111,0,518,2,710,0.00,0.08,0.15,0.03,0.25,0.00,4.30,0.00,82.41,13.26,0.08,0.30,73.66,91,91,98.84,450,300,101.60,99.55,0.95,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.00,58.17,0.03,1.22,0.00,0.00
