test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v3.3.1,nbody_6.js 50000000,4.476326,1084,1693262163.742881,-,-,525,12.83,4094,1896,2.36,2778,0,15,236,282,138,235,0,654,3,800,0.00,0.18,0.11,0.08,0.30,0.00,5.17,0.06,81.19,13.22,0.07,0.24,73.64,75,75,98.85,300,300,101.23,99.54,1.11,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.13,62.85,0.04,1.36,0.00,0.00
2,v3.3.1,nbody_6.js 50000000,4.453717,1528,1693262168.234402,-,-,526,12.86,4094,1896,2.37,2883,0,118,352,210,73,181,0,756,1,884,0.00,0.21,0.11,0.06,0.37,0.00,6.05,0.00,80.26,13.63,0.05,0.39,73.07,79,79,98.97,300,300,102.74,99.55,0.96,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.56,63.09,0.03,1.34,0.00,0.00
3,v3.3.1,nbody_6.js 50000000,4.466225,1111,1693262172.734766,-,-,522,12.74,4098,1896,2.37,2551,0,1,144,91,59,107,0,509,4,843,0.00,0.10,0.02,0.04,0.22,0.00,4.28,0.05,82.48,12.95,0.04,0.24,74.04,82,82,98.83,300,300,100.90,99.56,1.09,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.82,64.53,0.04,1.33,0.00,0.00
4,v3.3.1,nbody_6.js 50000000,4.464634,1100,1693262177.237187,-,-,521,12.72,4097,1896,2.38,2719,0,110,254,93,47,87,0,490,3,762,0.00,0.33,0.02,0.04,0.19,0.00,3.86,0.02,82.75,13.28,0.06,0.18,73.76,83,83,99.02,300,300,100.71,99.59,0.91,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.42,65.05,0.03,1.32,0.00,0.00
5,v3.3.1,nbody_6.js 50000000,4.533371,1410,1693262181.802899,-,-,522,12.75,4097,1896,2.34,2616,0,1,206,98,43,104,0,472,1,765,0.00,0.17,0.05,0.04,0.18,0.00,3.75,0.01,83.01,13.36,0.02,0.18,73.69,86,86,98.87,300,300,102.00,99.65,1.06,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.90,66.33,0.04,1.35,0.00,0.00
6,v3.3.1,nbody_6.js 50000000,4.456419,1422,1693262186.292287,-,-,520,12.70,4098,1896,2.38,2625,0,3,169,97,64,106,0,529,4,813,0.00,0.11,0.03,0.06,0.26,0.00,4.32,0.04,82.42,13.23,0.07,0.32,73.68,91,91,98.94,300,300,101.57,99.57,0.92,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.14,66.62,0.03,1.32,0.00,0.00
7,v3.3.1,nbody_6.js 50000000,4.454729,1171,1693262190.779841,-,-,520,12.70,4098,1896,2.39,2465,0,8,99,80,26,111,0,530,9,830,0.00,0.13,0.03,0.02,0.20,0.00,4.17,0.00,82.70,13.04,0.03,0.15,74.09,88,88,98.93,300,300,101.05,99.64,0.97,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.29,66.62,0.04,1.32,0.00,0.00
8,v3.3.1,nbody_6.js 50000000,4.452066,1122,1693262195.265276,-,-,518,12.65,4098,1896,2.40,2508,0,0,92,80,44,121,0,586,6,888,0.00,0.09,0.03,0.04,0.22,0.00,4.79,0.01,82.10,13.23,0.04,0.29,73.78,90,92,98.83,300,300,101.22,99.54,0.97,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.31,66.72,0.04,1.33,0.00,0.00
9,v3.3.1,nbody_6.js 50000000,4.451735,1410,1693262199.750400,-,-,521,12.72,4096,1896,2.39,2545,0,98,237,111,51,157,2,619,1,746,0.00,0.11,0.11,0.05,0.31,0.01,4.16,0.01,82.47,13.17,0.05,0.41,73.64,91,91,98.77,300,300,101.35,99.64,1.05,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.44,66.75,0.04,1.33,0.00,0.00
10,v3.3.1,nbody_6.js 50000000,4.451359,1086,1693262204.235565,-,-,518,12.64,4098,1896,2.40,2543,0,0,92,89,46,73,0,529,9,861,0.00,0.05,0.04,0.06,0.19,0.00,4.17,0.03,82.76,13.09,0.07,0.20,73.99,93,94,98.89,300,300,101.15,99.61,0.90,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.39,66.74,0.03,1.32,0.00,0.00
