test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v16.20.2,nbody_6.js 50000000,5.099731,1101,1692109327.626977,-,-,519,12.66,4097,1896,2.35,2820,0,1,51,54,23,89,0,584,0,901,0.00,0.18,0.09,0.02,0.15,0.00,4.10,0.00,82.74,13.30,0.03,0.18,73.83,69,69,99.20,400,300,101.41,99.60,0.92,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.68,70.02,0.04,3.08,0.00,0.00
2,v16.20.2,nbody_6.js 50000000,5.131201,1034,1692109332.803491,-,-,520,12.69,4097,1896,2.33,2886,0,0,59,44,31,117,0,592,7,1036,0.00,0.05,0.02,0.03,0.21,0.00,3.97,0.10,82.87,13.11,0.04,0.29,73.87,76,76,98.81,400,300,101.55,99.60,0.99,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,72.17,0.04,3.11,0.00,0.00
3,v16.20.2,nbody_6.js 50000000,5.157228,1114,1692109338.000704,-,-,519,12.68,4096,1896,2.32,3159,0,23,171,64,16,113,0,677,5,859,0.00,0.24,0.05,0.01,0.18,0.00,4.59,0.15,82.04,13.36,0.01,0.22,73.73,78,78,98.99,400,300,101.47,99.58,0.92,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.90,73.03,0.04,3.12,0.00,0.00
4,v16.20.2,nbody_6.js 50000000,5.125150,1064,1692109343.166247,-,-,519,12.68,4096,1896,2.33,2943,0,1,98,80,33,110,0,615,3,963,0.00,0.16,0.08,0.02,0.15,0.00,4.10,0.08,82.66,13.21,0.04,0.22,73.86,79,79,98.83,400,300,101.52,99.59,1.06,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.38,73.65,0.05,3.10,0.00,0.00
5,v16.20.2,nbody_6.js 50000000,5.128519,1211,1692109348.336134,-,-,519,12.67,4098,1896,2.33,3040,0,0,83,53,32,123,0,711,2,1060,0.00,0.24,0.07,0.02,0.17,0.00,4.82,0.03,81.90,13.10,0.03,0.25,73.94,85,85,98.80,400,300,100.98,99.58,1.01,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.39,74.60,0.05,3.11,0.00,0.00
6,v16.20.2,nbody_6.js 50000000,5.198746,1043,1692109353.576502,-,-,521,12.71,4095,1896,2.29,3102,0,41,110,70,29,114,0,654,8,1023,0.00,0.16,0.08,0.03,0.16,0.00,3.90,0.15,82.75,13.34,0.03,0.20,73.72,83,83,98.72,400,300,101.55,99.62,0.99,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.93,75.87,0.05,3.15,0.00,0.00
7,v16.20.2,nbody_6.js 50000000,5.210206,1027,1692109358.829201,-,-,516,12.60,4098,1896,2.31,2840,0,0,61,32,36,70,0,515,9,850,0.00,0.08,0.04,0.01,0.12,0.00,3.32,0.20,83.58,13.03,0.02,0.17,74.18,85,88,98.71,400,300,100.90,99.65,1.06,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.77,75.70,0.05,3.15,0.00,0.00
8,v16.20.2,nbody_6.js 50000000,5.220048,1038,1692109364.091569,-,-,520,12.68,4098,1896,2.29,3022,0,1,60,48,31,114,0,608,16,1074,0.00,0.17,0.03,0.03,0.18,0.00,4.30,0.29,82.26,12.89,0.04,0.25,74.13,86,86,98.58,400,300,100.91,99.63,1.08,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.25,77.82,0.05,3.16,0.00,0.00
9,v16.20.2,nbody_6.js 50000000,5.109425,1049,1692109369.241045,-,-,519,12.67,4097,1896,2.34,3081,0,72,112,69,47,106,0,687,5,822,0.00,0.12,0.05,0.03,0.18,0.00,4.73,0.00,82.16,13.24,0.04,0.24,73.81,88,88,98.78,400,300,101.41,99.62,0.98,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.14,76.09,0.05,3.09,0.00,0.00
10,v16.20.2,nbody_6.js 50000000,5.195442,1091,1692109374.477239,-,-,518,12.64,4098,1896,2.31,2667,0,2,68,53,31,95,0,591,6,868,0.00,0.10,0.02,0.03,0.13,0.00,3.45,0.13,83.44,13.01,0.03,0.20,74.10,87,89,98.72,400,300,101.04,99.66,0.90,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.86,77.60,0.05,3.14,0.00,0.00
