version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
v0.8.28,nbody_6.js 50000000,23.3614,1190.6,1692101613.300890,0.00,0.00,465.00,12.83,3624.40,1896.00,2.90,50275.10,0.00,54.30,447.20,1443.70,3231.30,26272.90,2.20,6548.40,917.90,11652.30,0.00,0.09,0.10,0.17,11.29,0.00,7.27,2.53,65.65,14.86,0.20,20.71,51.40,85.70,86.30,99.00,350.00,300.00,103.54,99.38,0.68,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,356.44,294.68,0.12,20.76,0.00,0.00
v0.10.48,nbody_6.js 50000000,22.8441,1171,1692102244.250435,0.00,0.00,470.50,12.79,3678.50,1896.00,2.94,51707.70,0.00,51.80,407.70,1718.60,3391.50,25801.10,1.60,6240.40,1007.60,12753.70,0.00,0.06,0.11,0.17,11.34,0.00,7.11,2.89,65.44,14.83,0.18,20.61,51.58,86.20,86.90,99.05,300.00,300.00,103.19,99.24,0.63,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,361.73,301.36,0.10,20.24,0.00,0.00
v0.12.18,nbody_6.js 50000000,5.65475,1078.6,1692102703.081415,0.00,0.00,518.50,12.66,4097.00,1896.00,2.46,3193.80,0.00,14.70,88.80,67.20,42.70,108.20,0.40,706.70,7.50,1034.90,0.00,0.12,0.08,0.02,0.17,0.00,4.38,0.09,82.42,13.19,0.03,0.25,73.88,86.80,87.60,98.66,300.00,300.00,101.13,99.61,1.09,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.27,82.92,0.05,3.44,0.00,0.00
v1.8.4,nbody_6.js 50000000,5.6543,1086.5,1692103132.044228,0.00,0.00,518.70,12.65,4097.70,1896.00,2.46,3160.30,0.00,11.60,97.20,62.70,36.00,118.20,0.30,668.30,6.60,981.00,0.00,0.10,0.06,0.03,0.18,0.00,4.10,0.13,82.70,13.10,0.02,0.23,73.99,85.90,87.20,98.68,300.00,300.00,101.03,99.63,1.06,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.92,82.62,0.05,3.43,0.00,0.00
v2.5.0,nbody_6.js 50000000,5.50951,1081.9,1692103559.541948,0.00,0.00,519.90,12.69,4097.00,1896.00,2.35,3123.60,0.00,16.20,158.70,97.40,61.10,136.40,1.00,610.10,8.20,947.90,0.00,0.12,0.07,0.04,0.20,0.00,3.86,0.13,82.83,13.16,0.05,0.23,73.87,86.00,86.50,98.68,300.00,300.00,101.25,99.62,1.05,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.29,80.34,0.05,3.35,0.00,0.00
v3.3.1,nbody_6.js 50000000,4.45514,1103.1,1692103976.371820,0.00,0.00,519.90,12.69,4096.40,1896.00,2.39,2628.10,0.00,10.40,115.90,64.90,47.70,105.10,0.30,612.50,7.80,845.30,0.00,0.17,0.07,0.03,0.21,0.00,4.76,0.15,81.85,13.29,0.03,0.24,73.75,84.70,85.30,98.61,300.00,300.00,101.35,99.62,1.16,1.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.98,64.76,0.05,2.71,0.00,0.00
v4.9.1,nbody_6.js 50000000,4.46873,1066.7,1692104391.104155,0.00,0.00,522.00,12.74,4096.10,1896.00,2.38,2755.50,0.00,20.30,201.60,131.70,64.10,128.00,0.90,574.20,5.40,863.50,0.00,0.16,0.09,0.05,0.25,0.00,4.52,0.12,82.02,13.36,0.06,0.28,73.56,82.20,82.60,98.61,300.00,300.00,101.66,99.59,1.20,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.81,64.55,0.05,2.72,0.00,0.00
v5.12.0,nbody_6.js 50000000,4.45791,1104.1,1692104805.672785,0.00,0.00,519.30,12.67,4096.90,1896.00,2.39,2747.20,0.00,8.10,112.90,67.60,50.80,123.90,0.20,576.30,7.70,1006.00,0.00,0.14,0.07,0.03,0.25,0.00,4.43,0.13,82.22,13.29,0.03,0.31,73.70,83.10,84.10,98.64,300.00,300.00,101.30,99.57,1.15,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.46,64.23,0.04,2.71,0.00,0.00
v6.17.1,nbody_6.js 50000000,4.43457,1064.3,1692105220.095393,0.00,0.00,520.20,12.69,4097.20,1896.00,2.40,2753.60,0.00,12.60,140.70,68.40,35.60,88.70,0.40,595.60,11.20,965.70,0.00,0.18,0.06,0.03,0.19,0.00,4.76,0.23,81.80,13.24,0.03,0.23,73.81,82.20,82.50,98.60,300.00,300.00,101.15,99.59,1.19,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.34,64.16,0.05,2.69,0.00,0.00
v7.10.1,nbody_6.js 50000000,4.45488,1074.3,1692105634.671274,0.00,0.00,520.70,12.71,4095.60,1896.10,2.40,2752.50,0.00,12.10,124.50,141.80,66.30,133.50,0.40,606.50,7.40,978.10,0.00,0.10,0.10,0.05,0.25,0.00,4.61,0.16,81.97,13.30,0.04,0.29,73.66,81.70,82.70,98.63,300.00,300.00,101.50,99.58,1.20,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.60,64.40,0.05,2.72,0.00,0.00
v8.17.0,nbody_6.js 50000000,4.26288,1062.1,1692106047.383090,0.00,0.00,519.90,12.69,4096.40,1896.10,2.56,2643.90,0.00,12.20,111.40,85.30,41.00,110.10,0.70,555.50,9.10,971.20,0.00,0.11,0.07,0.03,0.23,0.00,4.44,0.17,82.20,13.26,0.03,0.29,73.73,81.80,82.60,98.60,300.00,300.00,101.48,99.59,1.21,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.03,62.30,0.05,2.60,0.00,0.00
v9.11.2,nbody_6.js 50000000,4.24886,1061,1692106459.789924,0.00,0.00,520.50,12.71,4095.50,1896.10,2.57,2676.90,0.00,21.20,179.60,100.60,55.80,108.10,0.50,602.70,7.70,912.40,0.00,0.19,0.09,0.04,0.23,0.00,4.77,0.13,81.78,13.42,0.05,0.27,73.54,81.80,82.10,98.63,300.00,300.00,101.60,99.58,1.20,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.95,60.24,0.04,2.59,0.00,0.00
v10.24.1,nbody_6.js 50000000,4.15328,1074.2,1692106871.242838,0.00,0.00,520.80,12.72,4094.70,1896.00,2.44,2644.80,0.00,16.40,166.70,135.90,66.90,139.70,0.40,566.80,5.40,862.20,0.00,0.15,0.11,0.06,0.27,0.00,4.55,0.07,82.01,13.43,0.06,0.35,73.44,81.40,82.00,98.68,300.00,300.00,101.72,99.58,1.11,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.08,59.58,0.04,2.53,0.00,0.00
