test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v14.21.3,nbody_6_original.js 50000000,1.00,0.40,0.57,0.05,0.01,0.38,5.53,2.49,0.02,0.04,2.16,5228181572 ns,21311223634,4.074 GHz,53717504848,2.52,5231.10 msec,1.001,21309960176,4.074 GHz,3,9878280950,125047433,5231.13 msec,1.001,264 C,4999196015,35172,0.00%,0,4854416200,2959,2959,0,592040,29161,4.926,20713220822,225486,0.00%,35614,762,2.14%,540151,20795707326,132,0.00%,2815,5031,178.72%,0,0
2,v14.21.3,nbody_6_original.js 50000000,1.00,0.39,0.58,0.04,0.00,0.38,5.61,2.58,0.00,0.03,2.16,5115595726 ns,20862585676,4.076 GHz,54008838284,2.59,5118.36 msec,1.001,20857775484,4.075 GHz,7,9668038849,122371978,5118.38 msec,1.001,239 C,4987907079,31360,0.00%,0,4888337620,2945,2945,0,319894,45441,14.205,20859070845,217184,0.00%,31074,2533,8.15%,526125,20683654065,218,0.00%,3577,6780,189.54%,0,0
3,v14.21.3,nbody_6_original.js 50000000,1.00,0.39,0.58,0.03,0.00,0.38,5.57,2.55,0.00,0.05,2.15,5121461690 ns,20794372623,4.059 GHz,53541971080,2.57,5123.35 msec,1.000,20816315145,4.063 GHz,9,9662308810,122358586,5123.39 msec,1.000,216 C,4987193240,45629,0.00%,0,4885709363,2940,2940,0,752771,97167,12.908,20781245955,299890,0.00%,40442,4190,10.36%,795796,20749656101,163,0.00%,6749,10057,149.01%,0,0
4,v14.21.3,nbody_6_original.js 50000000,1.00,0.39,0.59,0.04,0.00,0.37,5.62,2.56,0.00,0.06,2.16,5104040495 ns,20774864318,4.069 GHz,53735164711,2.59,5105.51 msec,1.000,20776379652,4.069 GHz,5,9636128485,122004064,5105.55 msec,1.000,228 C,4988393148,44081,0.00%,0,4887166444,3009,3009,0,735946,88155,11.978,20749491575,322920,0.00%,50139,4752,9.48%,768745,20766624846,38,0.00%,3865,10490,271.41%,0,0
5,v14.21.3,nbody_6_original.js 50000000,1.00,0.39,0.58,0.04,0.00,0.38,5.63,2.56,0.00,0.06,2.16,5103531850 ns,20813108048,4.076 GHz,53800338560,2.59,5106.06 msec,1.000,20810506771,4.076 GHz,4,9646658575,122109708,5106.09 msec,1.001,215 C,4989094057,26539,0.00%,0,4883390216,2930,2930,0,259889,42831,16.480,20721968935,202054,0.00%,21795,2597,11.92%,497082,20754433713,31,0.00%,4097,5124,125.07%,0,0
6,v14.21.3,nbody_6_original.js 50000000,1.00,0.39,0.58,0.02,0.00,0.39,5.54,2.54,0.00,0.06,2.16,5151674234 ns,21002157564,4.075 GHz,53783853960,2.56,5153.35 msec,1.000,20994523377,4.074 GHz,5,9729843340,123192868,5153.37 msec,1.000,202 C,4982396148,186007,0.00%,4,4884239275,2941,2941,0,687363,174518,25.389,20761607815,301376,0.00%,46446,5086,10.95%,714643,20786330555,282,0.00%,3995,10439,261.30%,0,0
7,v14.21.3,nbody_6_original.js 50000000,0.99,0.39,0.58,0.03,0.00,0.39,5.48,2.53,0.00,0.06,2.15,5219913683 ns,21082889630,4.037 GHz,53731825553,2.55,5221.83 msec,1.000,21089074404,4.039 GHz,4,9798299587,124060345,5221.87 msec,1.000,170 C,4977040101,48847,0.00%,0,4885884181,2935,2935,0,679216,47929,7.057,20780951755,272257,0.00%,39524,2034,5.15%,701274,20791828907,644,0.00%,18363,10132,55.18%,0,0
8,v14.21.3,nbody_6_original.js 50000000,1.00,0.39,0.58,0.04,0.00,0.38,5.62,2.57,0.00,0.06,2.16,5100514735 ns,20772342063,4.070 GHz,53692087994,2.58,5103.14 msec,1.001,20784903698,4.073 GHz,1,9636658859,121987492,5103.15 msec,1.001,196 C,4987100420,27733,0.00%,0,4892945828,2934,2934,0,223060,42564,19.082,20742269507,189185,0.00%,14936,1585,10.61%,515510,20790340323,38,0.00%,3761,4624,122.95%,0,0
9,v14.21.3,nbody_6_original.js 50000000,1.00,0.39,0.58,0.04,0.00,0.38,5.62,2.56,0.00,0.06,2.16,5099530308 ns,20771400160,4.071 GHz,53756824738,2.59,5102.31 msec,1.001,20770545723,4.071 GHz,4,9632076575,121965661,5102.34 msec,1.001,196 C,4987832472,29589,0.00%,0,4890089705,2936,2936,0,276697,46605,16.843,20724891893,225420,0.00%,20777,2354,11.33%,540011,20742927258,139,0.00%,5610,5897,105.12%,0,0
10,v14.21.3,nbody_6_original.js 50000000,1.00,0.40,0.57,0.04,0.00,0.38,5.55,2.53,0.00,0.06,2.16,5194005902 ns,21191679310,4.078 GHz,53854731755,2.54,5196.48 msec,1.000,21183595288,4.077 GHz,3,9816919446,124274200,5196.52 msec,1.000,192 C,4991673784,30107,0.00%,0,4885162795,2986,2986,0,409493,28228,6.893,20736564351,217370,0.00%,22543,2139,9.49%,1398782,20723979460,28355,0.00%,52169,25801,49.46%,0,0
