test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v2.5.0,nbody_6_original.js 50000000,45295499,0.95,0.93,0.31,0.38,0.14,0.08,5.67,1.34,0.06,2.68,2.16,45295499 ns,176727081,3.913 GHz,213751156,1.21,45.16 msec,0.997,177139338,3.922 GHz,2,81397326,1030382,45.17 msec,0.997,314 C,34005073,1275553,3.75%,<not,<not,2439,2439,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
2,v2.5.0,nbody_6_original.js 50000000,45513284,0.95,0.94,0.31,0.39,0.13,0.08,5.67,1.34,0.06,2.70,2.16,45513284 ns,181690587,4.004 GHz,219233193,1.22,45.37 msec,0.997,181427696,3.999 GHz,3,82725848,1047142,45.38 msec,0.997,321 C,35410254,862575,2.44%,<not,<not,2438,2438,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
3,v2.5.0,nbody_6_original.js 50000000,46342964,0.96,0.91,0.31,0.38,0.13,0.09,5.66,1.33,0.07,2.54,2.16,46342964 ns,179477181,3.891 GHz,216269209,1.23,46.12 msec,0.995,179186458,3.885 GHz,3,82106580,1039301,46.13 msec,0.995,322 C,34680911,1352515,3.90%,<not,<not,2439,2439,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
4,v2.5.0,nbody_6_original.js 50000000,45574267,0.97,0.92,0.31,0.40,0.14,0.09,5.66,1.34,0.06,2.61,2.16,45574267 ns,181772698,4.004 GHz,219463335,1.24,45.39 msec,0.996,181498022,3.998 GHz,3,82788687,1047958,45.40 msec,0.996,306 C,35664257,929055,2.61%,<not,<not,2439,2439,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
5,v2.5.0,nbody_6_original.js 50000000,44828250,0.94,0.92,0.31,0.40,0.13,0.08,5.67,1.34,0.06,2.80,2.16,44828250 ns,178814938,4.003 GHz,218504180,1.23,44.67 msec,0.996,178507735,3.996 GHz,1,80375369,1017409,44.68 msec,0.997,294 C,35006143,657766,1.88%,<not,<not,2439,2439,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
6,v2.5.0,nbody_6_original.js 50000000,45609636,0.96,0.91,0.31,0.39,0.13,0.08,5.68,1.34,0.07,2.53,2.15,45609636 ns,178298536,3.924 GHz,213503653,1.21,45.43 msec,0.996,178615946,3.931 GHz,4,81938796,1037199,45.44 msec,0.996,297 C,34641527,1298205,3.75%,<not,<not,2439,2439,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
7,v2.5.0,nbody_6_original.js 50000000,45759753,0.96,0.91,0.31,0.38,0.13,0.08,5.65,1.33,0.07,2.46,2.15,45759753 ns,173860075,3.820 GHz,208268239,1.17,45.51 msec,0.994,171594564,3.770 GHz,2,80750582,1022159,45.52 msec,0.995,316 C,34504542,1278877,3.71%,<not,<not,2439,2439,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
8,v2.5.0,nbody_6_original.js 50000000,47390519,0.97,1.00,0.28,0.33,0.14,0.09,5.68,1.32,0.07,3.13,2.16,47390519 ns,190170290,4.023 GHz,233630871,1.26,47.27 msec,0.997,189783229,4.015 GHz,1,87385478,1106145,47.28 msec,0.998,316 C,36891104,1358082,3.68%,0,<not,2440,2440,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
9,v2.5.0,nbody_6_original.js 50000000,46272888,0.90,0.93,0.31,0.38,0.13,0.08,5.53,1.32,0.06,2.54,2.16,46272888 ns,179725728,3.901 GHz,216981778,1.22,46.07 msec,0.996,179463005,3.895 GHz,2,81546286,1032206,46.08 msec,0.996,308 C,34914792,1318734,3.78%,<not,<not,2438,2438,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
10,v2.5.0,nbody_6_original.js 50000000,45630044,0.91,0.93,0.31,0.38,0.14,0.08,5.68,1.34,0.06,2.70,2.16,45630044 ns,177076210,3.893 GHz,214285120,1.22,45.48 msec,0.997,176794056,3.887 GHz,3,79350013,1004430,45.49 msec,0.997,290 C,33482749,1278242,3.82%,<not,<not,2438,2438,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
