test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v5.12.0,nbody_6_original.js 50000000,0.029863,1035,1692970441.622930,-,-,577,14.26,4036,1899,1.08,234,0,0,14,19,23,44,0,53,0,0,0.00,1.54,2.05,5.56,17.26,0.00,59.17,0.00,0.00,18.89,4.32,16.80,45.73,61,64,70.32,300,300,108.62,98.00,27.07,26.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.42,0.01,0.03,0.00,0.00
2,v5.12.0,nbody_6_original.js 50000000,0.029382,1084,1692970441.685261,-,-,566,14.01,4036,1898,1.11,218,0,1,13,27,17,25,0,62,0,0,0.01,1.57,0.78,2.99,12.91,0.00,67.63,0.00,0.00,18.31,2.88,18.97,45.84,65,65,85.09,300,300,108.00,98.31,14.03,13.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.42,0.00,0.03,0.00,0.00
3,v5.12.0,nbody_6_original.js 50000000,0.029729,1050,1692970441.754138,-,-,569,14.12,4029,1897,1.10,224,0,0,4,18,11,24,0,83,0,0,0.00,0.08,3.29,2.90,7.66,0.00,71.61,0.00,0.00,21.57,3.79,7.91,52.60,62,62,84.09,300,300,111.17,97.87,17.44,16.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.43,0.01,0.03,0.00,0.00
4,v5.12.0,nbody_6_original.js 50000000,0.029457,1043,1692970441.815693,-,-,570,14.05,4040,1902,1.11,211,0,0,12,16,6,40,0,63,0,0,0.00,3.33,0.80,0.90,14.15,0.00,66.81,0.00,0.00,22.17,0.27,12.88,50.63,64,64,81.47,300,300,109.96,98.47,16.02,15.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.43,0.01,0.03,0.00,0.00
5,v5.12.0,nbody_6_original.js 50000000,0.029997,1039,1692970441.876153,-,-,574,14.14,4051,1902,1.08,226,0,1,8,4,4,49,0,72,0,0,0.01,0.68,0.28,0.36,15.88,0.00,68.67,0.00,0.00,17.09,0.07,17.39,51.31,61,61,73.34,300,300,110.56,98.06,26.17,25.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.44,0.01,0.03,0.00,0.00
6,v5.12.0,nbody_6_original.js 50000000,0.029956,1084,1692970441.937612,-,-,572,14.12,4040,1901,1.09,223,0,0,13,22,20,29,0,63,0,0,0.00,1.33,4.37,1.10,13.10,0.00,65.85,0.00,0.00,24.25,0.53,11.44,49.66,63,63,63.43,300,300,110.72,97.76,32.80,31.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.44,0.01,0.03,0.00,0.00
7,v5.12.0,nbody_6_original.js 50000000,0.030102,1046,1692970441.999233,-,-,559,13.84,4031,1900,1.10,220,0,0,10,5,10,51,0,63,0,0,0.00,1.70,1.00,2.53,18.08,0.00,62.61,0.00,0.00,20.66,0.67,14.17,50.66,62,62,83.05,300,300,108.20,97.72,16.89,16.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.43,0.00,0.03,0.00,0.00
8,v5.12.0,nbody_6_original.js 50000000,0.030031,1034,1692970442.059680,-,-,573,14.13,4047,1898,1.09,229,0,0,16,9,11,36,0,65,0,0,0.00,2.84,1.01,3.78,10.76,0.00,67.19,0.00,0.00,18.05,4.54,10.21,53.06,63,65,73.26,300,300,110.41,97.98,25.11,24.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.44,0.01,0.03,0.00,0.00
9,v5.12.0,nbody_6_original.js 50000000,0.029645,1033,1692970442.119449,-,-,544,13.36,4067,1898,1.13,224,0,1,3,5,4,16,0,66,0,0,0.01,0.98,0.88,0.95,8.12,0.00,75.45,0.00,0.00,18.00,1.66,11.25,55.74,63,63,74.21,300,300,106.91,97.87,25.34,24.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.42,0.01,0.03,0.00,0.00
10,v5.12.0,nbody_6_original.js 50000000,0.029727,1010,1692970442.179877,-,-,552,13.59,4056,1899,1.12,230,0,0,9,2,8,20,0,70,0,0,0.00,1.94,0.30,1.59,13.09,0.00,69.33,0.00,0.00,19.33,2.48,24.30,40.31,62,66,63.91,300,300,108.20,98.18,33.28,32.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.43,0.01,0.03,0.00,0.00
