test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v7.10.1,nbody_6_original.js 50000000,128.397760,1052,1692970961.054988,-,-,502,12.62,3981,1896,2.49,124670,0,275,1319,916,508,2516,4,15541,3873,69404,0.00,0.05,0.02,0.01,0.16,0.00,3.52,2.97,80.56,13.16,0.01,0.25,73.97,90,90,99.42,300,300,100.63,99.32,0.30,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2388.97,2038.65,0.26,139.07,0.00,0.00
2,v7.10.1,nbody_6_original.js 50000000,152.573090,1249,1692971113.734273,-,-,418,12.65,3304,1896,2.52,77616,0,204,2313,1427,400,1698,13,11410,1001,30670,0.00,0.07,0.04,0.01,0.09,0.00,2.42,0.28,84.42,13.08,0.01,0.14,74.13,74,75,99.33,300,300,101.26,99.76,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1842.66,1433.68,0.21,155.62,0.00,0.00
3,v7.10.1,nbody_6_original.js 50000000,153.020263,1228,1692971266.797722,-,-,417,12.65,3297,1896,2.52,68833,0,395,2634,1291,372,1390,23,9425,139,24756,0.00,0.11,0.02,0.01,0.06,0.00,2.17,0.08,84.89,13.09,0.01,0.10,74.15,75,75,99.34,300,300,101.25,99.79,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1828.17,1419.82,0.22,156.01,0.00,0.00
4,v7.10.1,nbody_6_original.js 50000000,153.418337,1246,1692971420.282404,-,-,417,12.64,3300,1896,2.51,70598,0,270,2239,1068,643,1827,14,10387,139,27699,0.00,0.05,0.02,0.01,0.09,0.00,2.33,0.05,84.78,12.87,0.01,0.13,74.35,75,75,99.35,300,300,100.88,99.79,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1833.01,1423.36,0.20,156.55,0.00,0.00
5,v7.10.1,nbody_6_original.js 50000000,154.064473,1215,1692971574.386266,-,-,416,12.60,3303,1896,2.51,69268,0,371,1354,651,442,1938,25,9304,82,24906,0.00,0.03,0.01,0.01,0.10,0.00,2.23,0.04,84.95,12.89,0.01,0.17,74.33,76,76,99.35,300,300,100.86,99.79,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1840.62,1428.50,0.21,156.70,0.00,0.00
6,v7.10.1,nbody_6_original.js 50000000,153.066040,1199,1692971727.503326,-,-,418,12.65,3301,1896,2.51,69410,0,369,2355,1428,561,1730,17,9774,133,24742,0.00,0.07,0.02,0.01,0.08,0.00,2.30,0.04,84.80,13.01,0.01,0.11,74.22,73,73,99.37,300,300,101.19,99.79,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1828.56,1418.30,0.21,156.22,0.00,0.00
7,v7.10.1,nbody_6_original.js 50000000,152.996913,1238,1692971880.540670,-,-,417,12.65,3297,1896,2.52,68630,0,454,2248,1317,754,1515,14,10060,153,25423,0.00,0.07,0.02,0.01,0.07,0.00,2.32,0.07,84.77,13.03,0.01,0.10,74.21,74,75,99.33,300,300,101.22,99.79,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1827.85,1418.76,0.21,155.83,0.00,0.00
8,v7.10.1,nbody_6_original.js 50000000,153.168519,1208,1692972033.774683,-,-,417,12.62,3301,1896,2.52,70335,0,449,1524,1059,563,1859,33,9910,110,26988,0.00,0.03,0.02,0.01,0.08,0.00,2.35,0.06,84.80,12.90,0.01,0.13,74.33,76,78,99.34,300,300,100.92,99.79,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1830.24,1420.56,0.20,156.01,0.00,0.00
9,v7.10.1,nbody_6_original.js 50000000,153.438951,1196,1692972187.250459,-,-,417,12.62,3302,1896,2.51,69458,0,388,1500,891,510,1739,12,10405,156,25907,0.00,0.04,0.01,0.01,0.08,0.00,2.45,0.09,84.68,12.88,0.01,0.12,74.37,76,78,99.33,300,300,100.88,99.79,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1833.19,1423.07,0.20,156.24,0.00,0.00
10,v7.10.1,nbody_6_original.js 50000000,153.387314,1913,1692972340.702741,-,-,416,12.62,3300,1896,2.52,69279,0,601,1675,1011,392,1562,8,10481,124,25607,0.00,0.03,0.02,0.01,0.08,0.00,2.41,0.05,84.76,12.89,0.01,0.12,74.36,76,77,99.34,300,300,100.89,99.79,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1832.53,1421.68,0.20,156.20,0.00,0.00
