test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v3.3.1,nbody_6_original.js 50000000,0.047539,1048,1692180069.497043,-,-,554,13.63,4057,1899,1.17,265,0,0,10,22,16,47,0,80,0,8,0.00,0.69,0.93,1.98,12.98,0.00,66.31,0.00,3.38,17.10,2.31,13.41,53.55,57,57,75.73,300,300,107.71,98.49,23.46,23.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.66,0.01,0.04,0.00,0.00
2,v3.3.1,nbody_6_original.js 50000000,0.048830,1031,1692180069.577392,-,-,673,16.97,3961,1898,1.10,380,0,21,87,40,20,40,0,98,0,0,0.04,9.00,2.69,2.47,8.14,0.00,60.68,0.00,0.00,28.94,1.51,8.92,43.65,58,58,90.11,300,300,122.31,98.95,10.25,10.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.75,0.01,0.05,0.00,0.00
3,v3.3.1,nbody_6_original.js 50000000,0.047825,1132,1692180069.655922,-,-,559,13.75,4064,1898,1.16,257,0,0,16,2,15,58,0,94,0,1,0.00,1.09,0.15,2.31,12.78,0.00,68.24,0.00,1.47,16.10,3.45,12.79,53.91,56,59,83.64,300,300,107.47,98.26,15.60,15.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.67,0.01,0.05,0.00,0.00
4,v3.3.1,nbody_6_original.js 50000000,0.047507,1042,1692180069.734303,-,-,558,13.73,4058,1898,1.16,256,0,0,17,23,9,29,0,104,0,0,0.00,1.04,0.51,0.52,12.12,0.00,71.88,0.00,0.00,16.73,0.19,15.00,54.34,58,60,82.09,300,300,107.43,98.30,16.01,15.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.66,0.01,0.04,0.00,0.00
5,v3.3.1,nbody_6_original.js 50000000,0.047186,1038,1692180069.809451,-,-,576,14.23,4037,1899,1.16,260,0,0,17,22,21,25,0,90,0,0,0.00,2.33,2.33,1.90,6.46,0.00,72.72,0.00,0.00,20.27,2.63,7.57,55.30,61,61,84.77,300,300,111.60,98.66,14.34,14.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.68,0.01,0.05,0.00,0.00
6,v3.3.1,nbody_6_original.js 50000000,0.047683,1089,1692180069.887885,-,-,552,13.58,4063,1897,1.17,262,0,0,2,12,13,49,0,97,0,0,0.00,0.05,1.18,0.65,9.54,0.00,74.66,0.00,0.00,17.19,1.13,11.15,56.97,57,57,81.79,300,300,107.53,98.10,19.07,18.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.67,0.01,0.04,0.00,0.00
7,v3.3.1,nbody_6_original.js 50000000,0.047638,1072,1692180069.966257,-,-,556,13.70,4056,1897,1.16,264,0,1,25,26,7,25,0,102,0,0,0.01,4.33,0.85,0.09,6.07,0.00,74.80,0.00,0.00,20.82,0.05,9.02,56.41,60,60,86.07,300,300,107.91,98.58,13.41,13.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.68,0.01,0.04,0.00,0.00
8,v3.3.1,nbody_6_original.js 50000000,0.047417,1088,1692180070.044490,-,-,565,13.91,4056,1898,1.15,267,0,0,12,16,13,40,0,105,0,1,0.00,3.34,0.71,1.24,8.70,0.00,71.34,0.00,0.62,21.96,0.63,6.84,56.66,60,60,80.14,300,300,107.99,98.53,19.57,19.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.69,0.01,0.04,0.00,0.00
9,v3.3.1,nbody_6_original.js 50000000,0.058558,1255,1692180070.128393,-,-,1670,43.03,3855,1908,0.76,846,0,88,886,53,11,36,0,86,0,0,0.12,3.85,0.68,0.51,8.55,0.00,43.65,0.00,0.00,15.59,0.63,9.96,30.79,62,61,76.85,300,300,218.71,99.21,23.63,23.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.66,1.43,0.01,0.10,0.00,0.00
10,v3.3.1,nbody_6_original.js 50000000,0.054243,1055,1692180070.220572,-,-,1014,26.19,3865,1900,0.98,394,0,1,59,437,311,223,0,42,0,7,0.00,2.58,13.30,12.20,21.94,0.00,20.56,0.00,2.30,38.16,7.69,11.68,16.28,61,61,86.65,300,300,182.16,94.78,13.72,12.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.24,1.09,0.01,0.06,0.00,0.00
