python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
Python 2.7.18,nbody.py 50000,0.442743,1128,1685625723.273976,-,-,692,18.93,3654,1897,2.07,1294,0,21,1490,1250,264,311,3,509,6,281,0.01,3.91,3.18,1.13,4.15,0.07,24.03,0.34,44.07,22.49,0.63,3.46,54.49,72,72,96.22,300,300,135.26,98.53,3.45,3.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.13,6.92,0.01,0.36,0.00,0.00
Python 3.5.10,nbody.py 50000,0.507725,1106,1685625723.917720,-,-,815,23.55,3456,1898,1.79,1892,0,1,1213,887,238,331,0,584,4,251,0.00,2.07,2.49,1.11,4.42,0.00,26.71,0.26,39.05,20.22,0.59,4.85,50.79,76,76,81.74,300,300,156.81,98.23,17.73,17.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.06,8.54,0.17,0.54,0.00,0.00
Python 3.6.15,nbody.py 50000,0.513115,1191,1685625724.555789,-,-,682,18.22,3742,1897,1.81,2379,0,17,671,1289,725,1080,0,1098,3,332,0.01,3.52,4.61,2.65,12.35,0.00,40.47,0.03,17.58,30.19,1.52,14.67,35.40,76,76,40.54,300,300,135.61,95.89,58.11,55.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.52,8.44,0.41,0.75,0.00,0.00
Python 3.7.16,nbody.py 50000,0.507831,1086,1685625725.173100,-,-,1030,28.04,3674,1896,1.49,3028,0,102,3892,1951,762,725,0,445,0,292,0.04,3.22,4.56,3.20,5.55,0.00,20.40,0.00,34.74,23.39,2.53,3.21,42.84,78,78,95.11,300,300,170.41,98.07,4.63,4.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.21,9.74,0.02,0.51,0.00,0.00
Python 3.8.16,nbody.py 50000,0.532149,1295,1685625725.819999,-,-,675,17.79,3795,1896,1.94,1520,0,12,2634,1253,159,285,2,406,4,329,0.01,2.65,3.52,0.69,3.40,0.00,22.43,0.10,49.20,21.24,0.47,4.31,56.19,80,80,96.78,300,300,125.36,96.53,3.02,2.91,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.92,8.45,0.01,0.42,0.00,0.00
Python 3.9.16,nbody.py 50000,0.533298,1058,1685625726.469227,-,-,671,17.56,3823,1896,1.97,1548,0,29,3323,1375,137,215,3,446,4,324,0.01,3.61,2.81,0.86,3.05,0.10,23.65,0.57,47.69,21.25,0.83,4.06,56.30,80,80,96.57,300,300,126.05,96.65,3.18,3.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.03,8.58,0.01,0.42,0.00,0.00
Python 3.10.11,nbody.py 50000,0.536394,1083,1685625727.122553,-,-,665,17.43,3814,1897,1.94,1476,0,21,2799,1405,166,217,0,472,2,297,0.01,2.98,2.15,0.43,3.07,0.00,24.60,0.27,48.97,18.79,0.26,3.17,60.35,78,81,96.94,300,300,125.89,97.79,2.88,2.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.95,8.45,0.01,0.42,0.00,0.00
Python 3.11.3,nbody.py 50000,0.296022,1043,1685625727.533951,-,-,783,20.94,3736,1897,1.77,1130,0,11,2274,1266,258,228,0,324,0,119,0.01,4.74,5.11,1.49,5.13,0.00,30.22,0.00,32.27,24.38,1.33,5.15,48.21,80,82,94.25,300,300,143.81,98.66,5.24,5.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.83,5.06,0.01,0.27,0.00,0.00
Python 2.7.18,nbody.py 50000,0.457034,1253,1685625918.331233,-,-,672,19.53,3437,1897,2.08,1234,0,5,2120,1339,278,233,0,425,1,235,0.00,3.38,2.81,0.99,3.55,0.00,26.39,0.01,43.22,20.62,0.43,4.30,55.12,77,77,96.49,300,300,136.97,98.86,3.34,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.86,6.63,0.01,0.38,0.00,0.00
Python 3.5.10,nbody.py 50000,0.498342,1066,1685625918.944760,-,-,826,21.57,3830,1896,1.69,2164,0,111,2906,1422,791,620,0,424,4,254,0.02,3.21,3.56,3.28,4.82,0.00,19.14,0.39,43.81,21.76,1.96,3.51,51.20,74,78,96.72,300,300,143.54,98.43,2.95,2.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.26,8.97,0.01,0.41,0.00,0.00
Python 3.6.15,nbody.py 50000,0.478931,1020,1685625919.537311,-,-,732,18.69,3916,1896,1.87,1965,0,137,2007,1831,856,677,0,519,1,226,0.03,3.05,5.20,3.82,7.20,0.00,28.14,0.00,33.56,24.81,2.60,5.69,48.22,75,79,96.26,300,300,132.59,97.88,3.49,3.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.65,8.36,0.02,0.37,0.00,0.00
