version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
Python 2.5.6,binarytrees.py 21,0.0467278,1135.7,1692273939.646499,0.00,0.00,1255.70,32.99,3804.90,1896.70,0.73,472.00,0.00,10.10,1033.10,981.40,388.40,226.00,0.00,8.00,0.00,0.00,0.05,15.78,23.99,13.90,13.34,0.00,0.27,0.00,0.00,55.68,5.71,5.61,0.01,62.60,63.40,86.29,400.00,300.00,211.63,98.66,12.75,12.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.23,1.05,0.01,0.07,0.00,0.00
Python 2.7.18,binarytrees.py 21,0.0488336,1172.3,1692274304.683826,0.00,0.00,1161.00,30.47,3811.30,1895.90,0.75,451.40,0.00,4.60,1015.90,925.00,371.50,252.30,0.00,12.40,0.00,0.00,0.02,14.11,21.26,15.29,17.67,0.00,1.30,0.00,0.00,52.82,7.85,8.59,0.27,62.10,62.70,84.40,400.00,300.00,198.74,98.17,14.11,13.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.23,1.04,0.01,0.07,0.00,0.00
Python 3.0.1,binarytrees.py 21,0.0501239,1070.9,1692274669.775075,0.00,0.00,866.30,22.48,3866.10,1898.60,0.86,379.60,0.00,1.70,285.80,735.40,388.00,268.20,0.00,36.50,0.00,0.20,0.01,7.69,19.03,13.65,22.03,0.00,14.81,0.00,0.19,47.25,8.60,14.18,7.50,62.40,63.10,82.14,300.00,300.00,159.10,97.22,17.09,16.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.92,0.01,0.06,0.00,0.00
Python 3.4.10,binarytrees.py 21,0.0582515,1111.1,1692275034.934395,0.00,0.00,1103.00,32.25,3635.50,1896.80,0.77,531.30,0.00,12.90,792.30,929.30,402.40,258.80,0.00,21.70,0.00,0.00,0.04,11.38,19.44,13.98,16.80,0.00,6.28,0.00,0.00,47.47,7.44,8.91,3.94,61.40,62.80,81.39,300.00,300.00,202.19,98.52,17.51,17.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,1.16,0.01,0.08,0.00,0.00
Python 3.5.10,binarytrees.py 21,0.0771201,1099.1,1692275400.380296,0.00,0.00,1000.60,33.00,3549.60,1907.40,0.79,782.50,0.00,20.70,893.50,817.30,362.10,217.60,0.00,27.30,0.00,0.00,0.03,10.33,16.71,12.00,15.90,0.00,12.35,0.00,0.00,43.23,7.27,10.13,6.37,59.40,61.10,80.76,300.00,300.00,201.60,98.53,19.12,18.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.45,1.18,0.01,0.10,0.00,0.00
Python 3.6.15,binarytrees.py 21,358.796536,1029,1692276123.391158,-,-,527,92.42,570,1896,1.33,747059,0,44,4531,1432,377,1256,5,6537,2788,21694,0.00,0.01,0.00,0.00,0.03,0.00,0.57,0.46,6.01,2.00,0.00,0.04,5.54,75,75,99.36,300,300,375.66,99.51,0.23,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2452.96,1565.81,0.52,219.84,0.00,0.00
Python 3.7.16,binarytrees.py 21,360.244005,1100,1692277578.158687,-,-,519,92.62,561,1896,1.36,762403,0,22,2418,1843,689,1807,2,7508,3435,25760,0.00,0.01,0.01,0.00,0.04,0.00,0.60,0.55,5.69,1.98,0.00,0.05,5.36,78,78,99.27,300,300,376.35,99.50,0.22,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2416.73,1526.98,0.53,221.02,0.00,0.00
Python 3.8.16,binarytrees.py 21,342.356110,1008,1692279017.134979,-,-,523,92.65,565,1896,1.36,699641,0,54,4343,1472,246,811,7,5543,442,10333,0.00,0.01,0.01,0.00,0.02,0.00,0.58,0.09,6.16,2.11,0.00,0.02,5.22,79,79,99.25,300,300,377.12,99.54,0.23,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2305.35,1461.63,0.49,206.54,0.00,0.00
Python 3.9.16,binarytrees.py 21,328.061316,1044,1692280403.794550,-,-,522,92.72,563,1896,1.38,665604,0,57,4148,1069,217,755,0,4138,192,8101,0.00,0.01,0.01,0.00,0.02,0.00,0.47,0.03,6.26,2.14,0.00,0.01,5.12,74,76,99.24,300,300,377.55,99.55,0.23,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2206.81,1398.52,0.47,199.17,0.00,0.00
Python 3.10.11,binarytrees.py 21,361.718226,1041,1692281796.665003,-,-,535,92.86,576,1896,1.33,773823,0,1267,24138,10259,4283,7419,32,8700,2202,20434,0.00,0.06,0.04,0.03,0.10,0.00,0.69,0.35,5.38,2.08,0.02,0.07,4.97,78,80,99.29,400,300,377.54,99.51,0.21,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2491.51,1597.01,0.49,222.54,0.00,0.00
Python 3.11.3,binarytrees.py 21,192.969413,1036,1692283072.919913,-,-,515,91.65,562,1896,1.43,398266,0,55,4015,1257,278,829,0,3985,1126,11329,0.00,0.02,0.01,0.00,0.03,0.00,0.68,0.42,6.70,2.30,0.00,0.03,6.02,84,84,99.16,300,300,373.81,99.52,0.34,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1306.71,826.20,0.43,126.76,0.00,0.00
Python 3.12.0b1,binarytrees.py 21,216.888801,1048,1692284042.476397,-,-,505,91.82,550,1896,1.43,435269,0,41,1309,1898,924,1053,0,4051,30,4955,0.00,0.01,0.01,0.01,0.03,0.00,0.72,0.01,6.91,2.52,0.01,0.02,5.63,86,86,99.20,300,300,375.47,99.55,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1430.39,892.01,0.45,139.46,0.00,0.00
Python 3.13.0a0,binarytrees.py 21,211.292699,1178,1692285047.590513,-,-,514,91.74,560,1896,1.45,425068,0,47,3860,1288,204,599,3,4141,25,5027,0.00,0.01,0.01,0.00,0.02,0.00,0.75,0.00,6.98,2.45,0.00,0.02,5.79,81,81,99.17,300,300,374.85,99.55,0.35,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1419.10,894.17,0.47,136.65,0.00,0.00
