test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.0.1,binarytrees_compatible_all.py 21,200.282232,1276,1694163065.072605,-,-,481,12.60,3812,1896,2.61,226759,0,1357,1897,2845,2441,6115,9,23803,22419,117606,0.00,0.02,0.02,0.02,0.22,0.00,3.48,7.95,75.57,13.42,0.03,0.32,73.62,76,78,99.98,450,450,100.99,99.18,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3308.47,2881.23,0.02,81.06,0.00,0.00
2,Python 3.0.1,binarytrees_compatible_all.py 21,223.939611,1327,1694163289.051197,-,-,427,12.63,3380,1896,2.62,95502,0,77,3143,3064,1589,2444,11,10357,235,35800,0.00,0.06,0.04,0.01,0.07,0.00,1.59,0.09,85.48,13.04,0.01,0.10,74.22,75,76,99.88,450,450,101.09,99.77,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2690.91,2223.08,0.02,87.46,0.00,0.00
3,Python 3.0.1,binarytrees_compatible_all.py 21,217.311157,1242,1694163506.422746,-,-,441,12.60,3496,1896,2.62,113449,0,116,4479,2420,879,2493,4,12256,1482,50076,0.00,0.04,0.01,0.01,0.08,0.00,1.86,0.62,84.74,12.83,0.01,0.14,74.42,78,78,99.88,450,450,100.56,99.70,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2879.63,2420.81,0.02,85.56,0.00,0.00
4,Python 3.0.1,binarytrees_compatible_all.py 21,223.525180,1311,1694163729.992190,-,-,427,12.62,3382,1896,2.63,94353,0,43,1153,2417,1695,2950,2,12149,169,34790,0.00,0.01,0.02,0.01,0.09,0.00,1.79,0.04,85.39,12.90,0.02,0.14,74.32,75,76,99.83,450,450,101.06,99.77,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2680.82,2216.43,0.03,87.38,0.00,0.00
5,Python 3.0.1,binarytrees_compatible_all.py 21,217.116233,1284,1694163947.169576,-,-,439,12.62,3483,1896,2.63,118586,0,96,2079,3119,1831,3164,8,12867,3908,52660,0.00,0.05,0.03,0.02,0.09,0.00,1.91,1.35,83.89,13.08,0.02,0.14,74.14,73,76,99.95,450,300,101.06,99.67,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2845.58,2388.12,0.02,85.71,0.00,0.00
6,Python 3.0.1,binarytrees_compatible_all.py 21,224.435958,2319,1694164171.647194,-,-,426,12.62,3373,1896,2.62,95789,0,59,4695,3134,886,1987,8,11861,202,37113,0.00,0.06,0.03,0.01,0.07,0.00,1.76,0.08,85.35,13.02,0.01,0.12,74.23,72,75,99.85,450,300,101.12,99.77,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2681.46,2215.34,0.03,87.57,0.00,0.00
7,Python 3.0.1,binarytrees_compatible_all.py 21,219.117732,1297,1694164390.822819,-,-,436,12.61,3459,1896,2.62,106284,0,55,1774,2753,1714,2796,8,11840,1887,44977,0.00,0.04,0.02,0.02,0.08,0.00,1.79,0.73,84.67,13.03,0.02,0.13,74.21,75,77,99.94,450,450,101.06,99.71,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2824.60,2364.64,0.02,86.15,0.00,0.00
8,Python 3.0.1,binarytrees_compatible_all.py 21,223.969125,1656,1694164614.835587,-,-,426,12.63,3378,1896,2.62,95303,0,149,2644,3094,1674,2718,11,12630,169,36184,0.00,0.06,0.02,0.02,0.07,0.00,1.83,0.06,85.28,13.04,0.01,0.11,74.21,73,76,99.86,450,300,101.13,99.77,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2686.26,2221.50,0.02,87.43,0.00,0.00
9,Python 3.0.1,binarytrees_compatible_all.py 21,217.672097,1238,1694164832.569777,-,-,440,12.62,3488,1896,2.62,127359,0,82,5074,2756,1082,2824,8,15343,4994,54826,0.00,0.05,0.02,0.01,0.10,0.00,2.25,1.64,83.26,13.08,0.01,0.15,74.14,75,76,99.96,450,450,101.08,99.65,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2870.44,2412.41,0.02,85.87,0.00,0.00
10,Python 3.0.1,binarytrees_compatible_all.py 21,225.088151,1301,1694165057.697054,-,-,427,12.64,3376,1896,2.61,95956,0,63,3672,2374,1554,2562,13,10510,121,33863,0.00,0.09,0.02,0.02,0.06,0.00,1.62,0.04,85.48,12.72,0.02,0.08,74.55,77,78,99.84,450,450,100.47,99.77,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2689.50,2221.51,0.03,87.95,0.00,0.00
