test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,Python 3.5.10,binarytrees.py 21,63565570,0.99,1.27,0.23,0.30,0.10,0.14,5.20,1.19,0.31,,,63565570 ns,112081734,1.754 GHz,<not,(0.00%),63.86 msec,1.005,<not,(0.00%) ,42,<not,<not,63.92 msec,1.006,2303 C,<not,<not,(0.00%),<not,<not,8739,8739,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
2,Python 3.5.10,binarytrees.py 21,62858792,0.99,1.24,0.23,0.31,0.09,0.28,3.61,0.77,0.72,,,62858792 ns,113302506,1.783 GHz,<not,(0.00%),63.53 msec,1.011,<not,(0.00%) ,31,<not,<not,63.58 msec,1.011,2226 C,<not,<not,(0.00%),<not,<not,8749,8749,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
3,Python 3.5.10,binarytrees.py 21,57379049,0.90,1.03,0.27,0.34,0.20,,,,,,,57379049 ns,170548993,2.974 GHz,<not,(0.00%),57.32 msec,0.999,<not,(0.00%) ,12,<not,<not,57.38 msec,1.000,2320 C,<not,<not,(0.00%),<not,<not,8733,8733,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
4,Python 3.5.10,binarytrees.py 21,57767248,0.86,1.02,0.28,0.34,0.20,,,,,,,57767248 ns,165408988,2.885 GHz,<not,(0.00%),57.31 msec,0.992,<not,(0.00%) ,14,<not,<not,57.35 msec,0.993,2332 C,<not,<not,(0.00%),<not,<not,8730,8730,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
5,Python 3.5.10,binarytrees.py 21,56667502,0.96,0.99,0.28,0.34,,,,,,,,56667502 ns,206958597,3.664 GHz,<not,(0.00%),56.46 msec,0.996,<not,(0.00%) ,6,<not,<not,56.51 msec,0.997,2364 C,<not,<not,(0.00%),<not,<not,8693,8693,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
6,Python 3.5.10,binarytrees.py 21,64055106,0.99,1.25,0.24,0.31,0.17,0.35,,,,,,64055106 ns,86479490,1.346 GHz,<not,(0.00%),64.24 msec,1.003,<not,(0.00%) ,33,<not,<not,64.29 msec,1.004,2082 C,<not,<not,(0.00%),<not,<not,8730,8730,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
7,Python 3.5.10,binarytrees.py 21,63142738,0.98,1.24,0.22,0.30,0.09,0.31,,,,,,63142738 ns,136448631,2.144 GHz,<not,(0.00%),63.61 msec,1.007,<not,(0.00%) ,34,<not,<not,63.67 msec,1.008,2090 C,<not,<not,(0.00%),<not,<not,8772,8772,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
8,Python 3.5.10,binarytrees.py 21,63224064,0.96,1.25,0.23,0.31,0.08,0.32,4.02,0.72,0.76,,,63224064 ns,149496079,2.343 GHz,<not,(0.00%),63.78 msec,1.009,<not,(0.00%) ,44,<not,<not,63.83 msec,1.010,2084 C,<not,<not,(0.00%),<not,<not,8728,8728,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
9,Python 3.5.10,binarytrees.py 21,63853440,0.99,1.24,0.22,0.29,0.10,0.30,4.69,1.07,0.58,,,63853440 ns,131530342,2.052 GHz,<not,(0.00%),64.09 msec,1.004,<not,(0.00%) ,32,<not,<not,64.14 msec,1.005,2089 C,<not,<not,(0.00%),<not,<not,8712,8712,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
10,Python 3.5.10,binarytrees.py 21,70664981,0.92,1.23,0.23,0.29,0.11,0.28,,,,,,70664981 ns,78236392,1.122 GHz,<not,(0.00%),69.72 msec,0.987,<not,(0.00%) ,38,<not,<not,69.77 msec,0.987,1995 C,<not,<not,(0.00%),<not,<not,8758,8758,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
