test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.7.16,binarytrees.py 21,101.379955,1256,1694517783.650829,-,-,1796,72.42,2480,1896,1.37,194160,0,59,4212,1325,234,628,3,3922,35,6274,0.00,0.03,0.03,0.00,0.05,0.00,1.50,0.02,25.70,5.49,0.00,0.05,22.03,72,72,99.45,300,300,310.20,99.68,0.62,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1900.85,1634.89,0.43,88.36,0.00,0.00
2,Python 3.7.16,binarytrees.py 21,124.045720,1180,1694517907.735656,-,-,1473,77.63,1897,1896,1.37,214524,0,110,3869,1843,272,683,2,4026,27,5827,0.00,0.03,0.01,0.00,0.04,0.00,1.17,0.01,20.91,4.31,0.00,0.05,18.01,72,72,99.77,300,300,326.73,99.78,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1481.90,1159.79,0.28,102.79,0.00,0.00
3,Python 3.7.16,binarytrees.py 21,124.820220,1247,1694518032.586295,-,-,1463,76.80,1906,1896,1.37,214472,0,33,1155,2003,1068,1361,2,4292,48,6587,0.00,0.03,0.03,0.02,0.05,0.00,1.16,0.04,21.70,4.50,0.02,0.05,18.64,73,73,99.75,300,300,324.00,99.78,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1491.32,1167.47,0.28,102.95,0.00,0.00
4,Python 3.7.16,binarytrees.py 21,125.020975,1234,1694518157.672338,-,-,1470,77.40,1899,1896,1.36,215017,0,32,941,1744,1066,1388,1,3557,36,6543,0.00,0.01,0.02,0.02,0.06,0.00,0.97,0.02,21.32,4.16,0.02,0.05,18.36,71,72,99.76,300,300,325.21,99.78,0.32,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1493.78,1169.76,0.27,102.70,0.00,0.00
5,Python 3.7.16,binarytrees.py 21,124.643075,1175,1694518282.345463,-,-,1474,77.28,1907,1896,1.37,215579,0,31,1261,1826,1149,1444,0,4081,72,6918,0.00,0.01,0.02,0.02,0.06,0.00,1.10,0.03,21.29,4.25,0.02,0.05,18.41,72,72,99.75,300,300,325.07,99.78,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1489.28,1166.32,0.28,102.87,0.00,0.00
6,Python 3.7.16,binarytrees.py 21,126.503013,1265,1694518408.882589,-,-,1473,77.46,1901,1896,1.37,218207,0,22,2819,1638,397,658,2,3827,40,6589,0.00,0.03,0.01,0.01,0.04,0.00,1.08,0.02,21.17,4.20,0.00,0.04,18.29,71,71,99.75,300,300,325.58,99.78,0.32,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1511.34,1183.90,0.28,104.47,0.00,0.00
7,Python 3.7.16,binarytrees.py 21,126.646040,1636,1694518535.589595,-,-,1466,77.24,1898,1896,1.37,218619,0,84,1905,1909,1273,1502,0,4112,27,6714,0.00,0.04,0.03,0.02,0.06,0.00,1.13,0.01,21.29,4.48,0.02,0.05,18.21,72,72,99.76,300,300,325.70,99.78,0.32,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1513.26,1185.52,0.28,104.09,0.00,0.00
8,Python 3.7.16,binarytrees.py 21,125.358764,1278,1694518660.982860,-,-,1472,77.26,1906,1896,1.37,215692,0,34,3938,1856,289,452,0,3823,39,5832,0.00,0.05,0.03,0.00,0.02,0.00,1.18,0.02,21.26,4.27,0.00,0.03,18.44,73,73,99.74,300,300,324.84,99.78,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1497.57,1172.91,0.28,103.03,0.00,0.00
9,Python 3.7.16,binarytrees.py 21,125.450681,1209,1694518786.463917,-,-,1470,77.24,1903,1896,1.37,218036,0,1094,1965,2033,1029,1808,3,5021,39,6770,0.00,0.05,0.04,0.02,0.08,0.00,1.36,0.02,21.01,4.46,0.01,0.08,18.21,72,72,99.75,300,300,325.38,99.78,0.34,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1498.95,1173.34,0.29,103.92,0.00,0.00
10,Python 3.7.16,binarytrees.py 21,126.040288,1246,1694518912.571577,-,-,1475,77.27,1908,1896,1.37,217226,0,14,2975,1747,365,599,0,4164,49,6133,0.00,0.03,0.02,0.01,0.03,0.00,1.23,0.03,21.20,4.32,0.00,0.03,18.37,74,74,99.77,300,300,325.34,99.78,0.32,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1505.81,1179.78,0.28,103.16,0.00,0.00
