test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.7.16,binarytrees.py 21,118.365547,1274,1693180288.279467,-,-,1578,76.46,2064,1896,1.37,206460,0,154,4397,1541,363,734,14,3835,21,5362,0.00,0.03,0.02,0.01,0.04,0.00,1.17,0.01,22.05,4.53,0.01,0.06,18.94,76,76,99.34,300,300,322.75,99.73,0.60,0.60,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1633.34,1372.92,0.47,62.49,0.00,0.00
2,Python 3.7.16,binarytrees.py 21,122.899547,1230,1693180411.221431,-,-,1503,77.00,1952,1896,1.36,208135,0,103,1404,1962,1095,1395,9,3915,18,5476,0.00,0.03,0.03,0.02,0.06,0.00,1.06,0.01,21.61,4.35,0.02,0.06,18.57,74,74,99.59,300,300,324.19,99.78,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1468.36,1199.36,0.32,63.08,0.00,0.00
3,Python 3.7.16,binarytrees.py 21,122.281513,1203,1693180533.540214,-,-,1503,76.84,1956,1896,1.36,207112,0,80,3605,1946,399,787,6,4057,21,5794,0.00,0.03,0.02,0.01,0.05,0.00,1.22,0.01,21.64,4.51,0.01,0.04,18.61,73,73,99.57,300,300,324.25,99.78,0.39,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1460.90,1193.05,0.35,63.14,0.00,0.00
4,Python 3.7.16,binarytrees.py 21,121.680835,1152,1693180655.283721,-,-,1501,77.17,1945,1896,1.37,206554,0,111,4099,1934,396,649,1,3965,9,5702,0.00,0.04,0.02,0.01,0.04,0.00,1.22,0.00,21.32,4.53,0.00,0.05,18.24,73,73,99.63,300,300,325.66,99.78,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1453.66,1187.76,0.33,62.86,0.00,0.00
5,Python 3.7.16,binarytrees.py 21,122.054737,1203,1693180777.382222,-,-,1508,77.03,1958,1896,1.37,206937,0,77,3835,2087,414,773,9,4113,31,5387,0.00,0.04,0.02,0.01,0.04,0.00,1.24,0.01,21.42,4.56,0.00,0.05,18.35,74,74,99.55,300,300,325.18,99.78,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1458.20,1191.35,0.35,63.22,0.00,0.00
6,Python 3.7.16,binarytrees.py 21,122.153362,1185,1693180899.565976,-,-,1505,76.68,1963,1896,1.37,206607,0,51,1780,2140,1103,1443,7,4030,27,5607,0.00,0.05,0.04,0.02,0.06,0.00,1.17,0.01,21.79,4.68,0.02,0.06,18.56,77,77,99.58,300,300,324.10,99.78,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1459.47,1192.62,0.33,63.10,0.00,0.00
7,Python 3.7.16,binarytrees.py 21,123.723675,1279,1693181023.346108,-,-,1510,76.96,1962,1896,1.37,210281,0,105,1518,1925,1084,1410,8,4258,17,5961,0.00,0.03,0.02,0.02,0.06,0.00,1.19,0.00,21.52,4.39,0.02,0.07,18.56,75,75,99.58,300,300,324.21,99.78,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1478.21,1208.07,0.34,63.30,0.00,0.00
8,Python 3.7.16,binarytrees.py 21,123.418185,1200,1693181146.799204,-,-,1495,76.64,1950,1896,1.35,209185,0,58,1593,2061,1209,1609,6,4687,14,5842,0.00,0.02,0.03,0.02,0.07,0.00,1.33,0.00,21.70,4.45,0.02,0.06,18.83,78,79,99.57,300,300,323.22,99.78,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1474.73,1205.39,0.34,63.17,0.00,0.00
9,Python 3.7.16,binarytrees.py 21,121.594576,1163,1693181268.429072,-,-,1506,76.78,1961,1896,1.37,206262,0,56,2664,2065,583,1060,2,4620,58,5550,0.00,0.02,0.02,0.01,0.06,0.00,1.36,0.00,21.56,4.55,0.01,0.08,18.59,72,74,99.57,300,300,324.18,99.78,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1452.62,1187.05,0.34,62.32,0.00,0.00
10,Python 3.7.16,binarytrees.py 21,122.110581,1273,1693181390.598687,-,-,1508,76.85,1962,1896,1.37,206648,0,54,3888,1770,477,827,0,4296,27,5399,0.00,0.03,0.02,0.01,0.05,0.00,1.26,0.00,21.60,4.47,0.01,0.04,18.62,72,73,99.57,300,300,324.20,99.78,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1458.82,1191.98,0.33,62.97,0.00,0.00
