test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,Python 3.9.16,binarytrees_compatible_all.py 21,1.00,0.38,0.66,0.24,0.05,0.04,6.45,2.65,0.01,0.92,2.01,183549961175 ns,695870990817,3.791 GHz,1843499020870,2.65,183534.49 msec,1.000,695947605900,3.792 GHz,115,346294467211,4383571763,183534.76 msec,1.000,1979 C,362849892997,1847337019,0.51%,0,288340256008,2457055,2457055,0,3654516018,1256740572,34.389,591960791776,2663133404,0.45%,223124841,85854457,38.48%,256705580,591983539742,11592837,0.00%,3090284,52204232,1689.30%,0,0
2,Python 3.9.16,binarytrees_compatible_all.py 21,1.00,0.38,0.66,0.24,0.05,0.04,6.44,2.65,0.01,0.82,1.78,206368869572 ns,696125049279,3.373 GHz,1843195963004,2.65,206352.59 msec,1.000,696122960745,3.373 GHz,104,390604354149,4944667304,206352.87 msec,1.000,1394 C,362941132822,1871798254,0.52%,0,287727938792,2455038,2455038,0,3765879128,1272437714,33.789,591752780599,2646269526,0.45%,229158041,82445118,35.98%,279674743,592232677991,11309057,0.00%,325263,55138310,16951.92%,0,0
3,Python 3.9.16,binarytrees_compatible_all.py 21,1.00,0.38,0.66,0.24,0.05,0.04,6.45,2.65,0.01,0.84,1.83,201858849777 ns,696749269911,3.452 GHz,1846055143971,2.65,201837.31 msec,1.000,696668920407,3.452 GHz,55,381724544623,4832285284,201837.69 msec,1.000,1491 C,362548917199,1878214906,0.52%,0,287976826478,2457036,2457036,0,3642741089,1236188841,33.936,593004684770,2633812327,0.44%,225158404,81690400,36.28%,270510037,590876854033,11693410,0.00%,7217769,53641075,743.18%,0,0
4,Python 3.9.16,binarytrees_compatible_all.py 21,1.00,0.38,0.66,0.25,0.06,0.04,6.41,2.62,0.01,0.81,1.77,209730135033 ns,702060076603,3.348 GHz,1842294694213,2.62,209701.02 msec,1.000,702048489970,3.348 GHz,56,396719248166,5022086331,209701.43 msec,1.000,1463 C,363074676173,1868414284,0.51%,0,287883615124,2456980,2456980,0,3718616593,1287171456,34.614,592681757851,2666631251,0.45%,234498384,86238848,36.78%,318949254,591932746866,11374616,0.00%,1198880,60996647,5087.80%,0,0
5,Python 3.9.16,binarytrees_compatible_all.py 21,1.00,0.38,0.66,0.24,0.05,0.04,6.44,2.64,0.01,0.84,1.85,199325382726 ns,696644397660,3.495 GHz,1842924965715,2.65,199308.78 msec,1.000,696606890289,3.495 GHz,65,376803628204,4769930623,199309.01 msec,1.000,1461 C,362933350959,1871427912,0.52%,0,287666653180,2447955,2447955,0,3850331941,1259166565,32.703,592296607741,2614509680,0.44%,237517462,83618837,35.21%,263127839,591820415946,11430683,0.00%,1546078,53131770,3436.55%,0,0
6,Python 3.9.16,binarytrees_compatible_all.py 21,1.00,0.38,0.66,0.24,0.06,0.04,6.43,2.64,0.01,0.81,1.80,205471555569 ns,698588650104,3.400 GHz,1844694328847,2.64,205446.97 msec,1.000,698535012737,3.400 GHz,54,388878318594,4922783455,205447.37 msec,1.000,1435 C,363165864495,1870456232,0.52%,0,287950599792,2447967,2447967,0,3699262087,1250015344,33.791,592102087927,2615869018,0.44%,228730709,79400107,34.71%,266984837,591715796115,11197257,0.00%,1632159,53565111,3281.86%,0,0
7,Python 3.9.16,binarytrees_compatible_all.py 21,1.00,0.38,0.66,0.25,0.05,0.04,6.44,2.64,0.01,0.83,1.84,201301379728 ns,699041726085,3.473 GHz,1844169072565,2.64,201285.27 msec,1.000,699002566500,3.473 GHz,63,380864779547,4821385190,201285.59 msec,1.000,1471 C,362781574909,1875210903,0.52%,0,287717303618,2455131,2455131,0,3619091551,1263056513,34.900,592086693734,2592148713,0.44%,225455388,81067959,35.96%,260715261,591676468583,11238278,0.00%,1261241,52941230,4197.55%,0,0
8,Python 3.9.16,binarytrees_compatible_all.py 21,1.00,0.39,0.65,0.25,0.06,0.04,6.39,2.59,0.02,0.84,1.85,203795631429 ns,712637481857,3.497 GHz,1845960063199,2.59,203779.41 msec,1.000,712635034032,3.497 GHz,52,385533871248,4880417910,203779.70 msec,1.000,1458 C,363104444831,2209956539,0.61%,0,287704780612,2450011,2450011,0,3663175981,1272189980,34.729,591914267137,2674685983,0.45%,223684912,77836644,34.80%,288662654,592334402121,11230467,0.00%,2435717,55904433,2295.19%,0,0
9,Python 3.9.16,binarytrees_compatible_all.py 21,1.00,0.38,0.66,0.25,0.06,0.04,6.42,2.62,0.01,0.82,1.82,204181214032 ns,701737960268,3.437 GHz,1844139804962,2.63,204163.83 msec,1.000,701742426215,3.437 GHz,37,386413580538,4891576125,204164.14 msec,1.000,1477 C,363057986578,1854137499,0.51%,0,287621352211,2455150,2455150,0,3640858901,1268516949,34.841,592551827416,2594593994,0.44%,224560683,80910972,36.03%,273024880,591500222895,11358947,0.00%,2462919,52399642,2127.54%,0,0
10,Python 3.9.16,binarytrees_compatible_all.py 21,1.00,0.38,0.66,0.25,0.05,0.04,6.44,2.65,0.02,0.84,1.84,200447689284 ns,698204312029,3.484 GHz,1844070811255,2.64,200431.57 msec,1.000,698163096579,3.483 GHz,64,379206882625,4800334230,200431.84 msec,1.000,1444 C,362898132084,1907887603,0.53%,0,288101513294,2454812,2454812,0,3633535652,1256400618,34.578,592343667433,2622902923,0.44%,229535628,84688034,36.90%,269720598,591914712624,11329441,0.00%,1939070,52668883,2716.19%,0,0
