test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.7.16,binarytrees_compatible_all.py 21,202.938759,1219,1694632905.051705,-,-,485,12.62,3843,1896,2.55,296118,0,133,4689,2636,1626,5500,16,29298,27242,162913,0.00,0.03,0.02,0.01,0.22,0.00,4.11,9.40,73.49,13.57,0.02,0.35,73.44,79,81,99.83,450,300,101.05,99.19,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3361.90,2927.67,0.24,77.78,0.00,0.00
2,Python 3.7.16,binarytrees_compatible_all.py 21,226.590155,1275,1694633131.682588,-,-,426,12.63,3374,1896,2.57,96912,0,117,4638,2828,931,2481,5,15079,221,33019,0.00,0.04,0.02,0.01,0.08,0.00,2.21,0.05,84.92,12.99,0.01,0.15,74.23,73,76,99.91,450,300,101.16,99.77,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2711.54,2228.12,0.25,84.66,0.00,0.00
3,Python 3.7.16,binarytrees_compatible_all.py 21,225.813588,1244,1694633357.553605,-,-,426,12.62,3374,1896,2.57,94628,0,65,5450,3024,832,1558,18,9867,79,28334,0.00,0.10,0.02,0.01,0.05,0.00,1.61,0.03,85.54,13.02,0.01,0.08,74.27,76,78,99.69,450,300,101.04,99.77,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2698.01,2216.79,0.24,84.18,0.00,0.00
4,Python 3.7.16,binarytrees_compatible_all.py 21,226.349712,1214,1694633583.943817,-,-,426,12.63,3373,1896,2.57,97497,0,147,3681,3011,1348,2814,5,14277,286,32698,0.00,0.05,0.02,0.01,0.09,0.00,2.16,0.07,84.93,13.01,0.01,0.15,74.19,74,76,99.90,450,300,101.18,99.77,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2704.31,2221.80,0.25,84.57,0.00,0.00
5,Python 3.7.16,binarytrees_compatible_all.py 21,225.853874,1219,1694633809.857161,-,-,426,12.64,3375,1896,2.56,97699,0,91,4799,2338,860,2274,16,13114,146,35416,0.00,0.05,0.02,0.01,0.07,0.00,1.94,0.05,85.21,12.83,0.01,0.11,74.41,76,76,99.68,450,300,100.76,99.77,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2698.52,2215.96,0.23,84.41,0.00,0.00
6,Python 3.7.16,binarytrees_compatible_all.py 21,225.212406,1217,1694634035.105748,-,-,425,12.65,3360,1896,2.55,97773,0,1104,4851,3131,1156,2707,4,13665,209,33662,0.00,0.05,0.03,0.01,0.08,0.00,2.06,0.04,85.05,13.02,0.01,0.13,74.19,73,75,99.92,450,300,101.32,99.77,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2690.84,2210.46,0.26,84.26,0.00,0.00
7,Python 3.7.16,binarytrees_compatible_all.py 21,223.274890,1443,1694634258.446821,-,-,426,12.63,3373,1896,2.57,95943,0,37,4864,3090,947,1878,4,11671,225,33101,0.00,0.07,0.02,0.01,0.06,0.00,1.84,0.09,85.25,13.01,0.01,0.11,74.24,75,75,99.68,450,300,101.12,99.77,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2667.63,2191.49,0.25,83.63,0.00,0.00
8,Python 3.7.16,binarytrees_compatible_all.py 21,223.264618,1231,1694634481.746364,-,-,426,12.63,3371,1896,2.57,95465,0,134,4125,2899,920,2338,1,13438,138,29440,0.00,0.03,0.02,0.01,0.08,0.00,2.00,0.04,85.17,12.91,0.01,0.13,74.32,78,78,99.73,450,300,101.06,99.77,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2667.62,2191.29,0.25,83.66,0.00,0.00
9,Python 3.7.16,binarytrees_compatible_all.py 21,224.353630,1253,1694634706.163625,-,-,426,12.63,3375,1896,2.57,94965,0,34,4328,2936,851,2101,5,11750,216,31725,0.00,0.05,0.03,0.01,0.07,0.00,1.83,0.05,85.31,12.97,0.01,0.12,74.27,75,75,99.66,450,300,101.14,99.77,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2680.59,2202.68,0.24,83.95,0.00,0.00
10,Python 3.7.16,binarytrees_compatible_all.py 21,228.353653,1247,1694634934.555104,-,-,449,13.82,3251,1896,2.49,121653,0,1349,32615,13886,4897,10811,26,18151,226,36238,0.00,0.19,0.10,0.05,0.26,0.00,2.60,0.06,82.89,13.94,0.03,0.23,71.97,78,79,99.88,450,300,109.06,99.77,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2728.35,2237.18,0.25,89.99,0.00,0.00
