version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
Python 2.5.6,binarytrees_compatible_all.py 21,178.34,3291.1,1694594174.698163,0.00,0.00,460.10,12.62,3646.40,1896.00,2.71,164802.10,0.00,118.80,3885.20,2299.70,1229.40,3185.90,6.40,16027.70,5761.70,68773.00,0.00,0.04,0.02,0.01,0.14,0.00,2.74,2.04,82.34,13.10,0.01,0.23,74.03,81.50,82.90,99.47,450.00,300.00,100.97,99.56,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2704.90,2248.51,0.26,129.56,0.00,0.00
Python 2.7.18,binarytrees_compatible_all.py 21,189.395,1344.8,1694600299.185978,0.00,0.00,426.50,12.77,3340.80,1896.00,2.57,106531.60,0.00,291.20,5605.40,3511.70,1638.00,3693.80,12.40,14483.80,2097.90,48344.00,0.00,0.04,0.03,0.02,0.13,0.00,2.44,0.65,83.88,13.12,0.02,0.18,73.91,75.80,76.70,99.38,448.30,328.30,102.06,99.72,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2333.71,1850.75,0.24,136.14,0.00,0.00
Python 3.0.1,binarytrees_compatible_all.py 21,225.725,1293,1694606709.211996,0.00,0.00,430.00,12.75,3372.00,1896.00,2.60,117211.20,0.00,321.50,6920.40,4220.00,1861.00,3892.30,14.00,15748.30,1416.40,51128.00,0.00,0.05,0.03,0.02,0.11,0.00,2.29,0.50,84.21,13.11,0.01,0.15,73.97,79.50,79.80,99.74,450.00,300.00,101.90,99.74,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2755.09,2272.24,0.25,89.08,0.00,0.00
Python 3.4.10,binarytrees_compatible_all.py 21,212.034,1501.9,1694613710.438884,0.00,0.00,431.50,12.76,3384.40,1896.00,2.65,107726.90,0.00,379.60,6574.60,3842.10,1653.70,3766.90,12.80,14299.90,695.90,45241.70,0.00,0.04,0.03,0.02,0.12,0.00,2.24,0.31,84.46,13.04,0.02,0.17,74.02,77.30,78.40,99.76,448.30,388.30,101.85,99.75,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2608.76,2157.16,0.25,80.42,0.00,0.00
Python 3.5.10,binarytrees_compatible_all.py 21,226.095,1300.2,1694620611.287687,0.00,0.00,432.70,12.75,3395.00,1896.00,2.57,115865.50,0.00,333.10,6362.30,3991.40,1516.90,3460.80,18.70,14756.50,2388.70,45258.10,0.00,0.05,0.03,0.01,0.11,0.00,2.17,0.78,84.05,13.10,0.01,0.15,73.99,76.60,77.30,99.75,450.00,330.00,101.88,99.71,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2781.16,2297.71,0.25,89.78,0.00,0.00
Python 3.6.15,binarytrees_compatible_all.py 21,228.033,1255.8,1694627797.308736,0.00,0.00,434.90,12.74,3415.90,1896.00,2.47,109775.30,0.00,418.00,7112.60,4185.50,1657.60,3405.50,16.00,13809.40,711.10,42184.10,0.00,0.05,0.03,0.02,0.10,0.00,2.06,0.29,84.67,13.03,0.01,0.14,74.08,75.00,75.60,99.68,450.00,300.00,101.74,99.74,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2812.33,2325.96,0.25,85.64,0.00,0.00
Python 3.7.16,binarytrees_compatible_all.py 21,223.201,1256.2,1694634934.555104,0.00,0.00,434.10,12.75,3406.90,1896.00,2.56,118865.30,0.00,321.10,7404.00,3977.90,1436.80,3446.20,10.00,15031.00,2898.80,45654.60,0.00,0.07,0.03,0.01,0.11,0.00,2.24,0.99,83.78,13.13,0.01,0.16,73.95,75.70,76.90,99.79,450.00,300.00,101.89,99.71,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2760.93,2284.34,0.25,84.11,0.00,0.00
Python 3.8.16,binarytrees_compatible_all.py 21,208.404,1254.1,1694641842.218639,0.00,0.00,442.70,12.63,3506.60,1896.00,2.58,120749.40,0.00,191.00,3655.10,2762.40,1286.40,2738.30,7.60,14333.40,3954.40,51572.40,0.00,0.04,0.02,0.01,0.09,0.00,2.29,1.43,83.44,13.04,0.01,0.15,74.18,74.90,75.90,99.74,450.00,300.00,101.01,99.66,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2750.26,2311.71,0.24,74.69,0.00,0.00
Python 3.9.16,binarytrees_compatible_all.py 21,204.729,1255.5,1694648497.350413,0.00,0.00,432.60,12.63,3424.70,1896.00,2.61,106229.10,0.00,181.20,4020.30,2903.80,1151.30,2492.30,6.10,12835.20,2310.10,40586.80,0.00,0.05,0.02,0.01,0.09,0.00,2.13,0.90,84.12,12.97,0.01,0.14,74.24,76.80,76.90,99.71,450.00,300.00,100.97,99.73,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2526.43,2092.47,0.25,71.85,0.00,0.00
Python 3.10.11,binarytrees_compatible_all.py 21,220.229,1280,1694655103.502691,0.00,0.00,446.10,12.62,3535.70,1896.00,2.49,130874.10,0.00,91.00,4162.80,2643.70,1175.90,2844.00,6.50,15062.60,5136.30,56488.60,0.00,0.04,0.02,0.01,0.10,0.00,2.26,1.74,83.16,13.02,0.01,0.16,74.18,74.10,74.90,99.77,450.00,300.00,100.97,99.65,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2930.20,2468.43,0.25,76.55,0.00,0.00
