test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.5.10,nbody.py 50000000,481.393719,1583,1694372507.692757,-,-,459,13.01,3524,1896,2.57,270443,0,3616,42483,16402,6963,14079,58,35849,6067,97777,0.00,0.12,0.06,0.03,0.17,0.00,2.29,0.92,83.36,13.42,0.03,0.18,73.36,83,82,99.82,450,300,103.73,99.70,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6216.85,5210.71,0.28,139.09,0.00,0.00
2,Python 3.5.10,nbody.py 50000000,494.145915,1228,1694373002.024637,-,-,434,12.61,3444,1896,2.60,198233,0,143,3518,4566,2762,5067,15,25660,342,67711,0.00,0.04,0.02,0.01,0.07,0.00,1.78,0.04,85.40,12.95,0.01,0.11,74.32,80,80,99.81,450,300,100.98,99.78,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5904.48,4874.65,0.27,138.45,0.00,0.00
3,Python 3.5.10,nbody.py 50000000,501.288500,1286,1694373503.421568,-,-,435,12.61,3449,1896,2.56,201789,0,239,7781,4052,2283,3892,23,21891,94,65179,0.00,0.08,0.02,0.01,0.05,0.00,1.61,0.01,85.59,12.72,0.01,0.07,74.59,81,81,99.86,450,300,100.41,99.78,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5989.91,4946.46,0.27,140.46,0.00,0.00
4,Python 3.5.10,nbody.py 50000000,493.624127,1234,1694373997.164531,-,-,434,12.62,3442,1896,2.60,197541,0,311,7277,3789,1613,4000,24,22878,157,66382,0.00,0.04,0.02,0.01,0.06,0.00,1.60,0.03,85.60,12.74,0.01,0.09,74.55,79,79,99.85,450,300,100.51,99.79,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5898.24,4870.03,0.27,138.37,0.00,0.00
5,Python 3.5.10,nbody.py 50000000,492.492972,1264,1694374489.779618,-,-,435,12.60,3448,1896,2.61,194427,0,93,4867,4040,2336,4289,5,21403,101,63480,0.00,0.05,0.02,0.01,0.06,0.00,1.53,0.02,85.67,12.73,0.01,0.08,74.57,80,80,99.85,450,300,100.43,99.79,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5884.91,4861.28,0.26,137.92,0.00,0.00
6,Python 3.5.10,nbody.py 50000000,497.101467,1335,1694374987.001285,-,-,434,12.61,3446,1896,2.58,197262,0,389,3766,4292,2473,4786,15,24758,330,72665,0.00,0.03,0.02,0.01,0.07,0.00,1.71,0.06,85.46,12.94,0.01,0.11,74.32,82,84,99.81,450,300,100.98,99.78,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5939.93,4907.29,0.27,139.24,0.00,0.00
7,Python 3.5.10,nbody.py 50000000,491.811585,1243,1694375479.007598,-,-,435,12.62,3448,1896,2.61,197368,0,162,7177,3685,1687,3932,3,23448,163,65920,0.00,0.04,0.02,0.01,0.06,0.00,1.65,0.01,85.58,12.73,0.01,0.09,74.56,81,82,99.84,450,300,100.48,99.78,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5876.58,4852.13,0.27,137.80,0.00,0.00
8,Python 3.5.10,nbody.py 50000000,503.366370,1206,1694375982.565758,-,-,447,13.27,3370,1896,2.53,237691,0,2626,43435,24018,7670,12002,57,31766,243,74612,0.00,0.11,0.07,0.03,0.13,0.00,2.06,0.02,84.28,13.30,0.02,0.14,73.26,81,81,99.84,450,300,104.80,99.78,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6014.79,4960.82,0.27,146.72,0.00,0.00
9,Python 3.5.10,nbody.py 50000000,494.464686,1287,1694376477.159446,-,-,436,12.61,3456,1896,2.59,199192,0,218,2864,4491,2567,4786,10,26346,396,70231,0.00,0.03,0.02,0.01,0.07,0.00,1.81,0.04,85.39,12.93,0.01,0.11,74.34,80,80,99.80,450,300,100.97,99.78,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5908.53,4879.69,0.26,138.51,0.00,0.00
10,Python 3.5.10,nbody.py 50000000,491.086829,1195,1694376968.360037,-,-,434,12.61,3445,1896,2.62,193409,0,147,2765,4210,2644,5135,36,25254,298,65734,0.00,0.03,0.02,0.01,0.07,0.00,1.74,0.04,85.45,12.93,0.01,0.11,74.35,79,80,100.00,450,300,100.95,99.78,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5867.99,4846.39,0.28,137.54,0.00,0.00
