test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.9.16,nbody.py 50000000,539.197168,1193,1693044634.476018,-,-,443,12.60,3513,1896,2.60,206747,0,1121,6296,5823,2105,5517,76,27844,290,64488,0.00,0.05,0.02,0.01,0.07,0.00,1.79,0.04,85.39,12.93,0.01,0.11,74.35,80,82,99.88,300,300,100.89,99.77,0.08,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6601.17,5478.44,0.25,150.97,0.00,0.00
2,Python 3.9.16,nbody.py 50000000,546.145068,1203,1693045180.744119,-,-,439,12.61,3479,1896,2.59,216159,0,1628,7199,5821,2133,5516,64,30137,370,66909,0.00,0.05,0.02,0.01,0.07,0.00,1.96,0.03,85.22,12.91,0.01,0.09,74.37,82,82,99.81,300,300,100.87,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6526.15,5384.50,0.25,152.94,0.00,0.00
3,Python 3.9.16,nbody.py 50000000,545.474180,1183,1693045726.329568,-,-,449,13.11,3422,1896,2.58,240948,0,4265,42764,22299,7045,12741,98,34975,228,67848,0.00,0.16,0.08,0.03,0.13,0.00,2.22,0.02,84.24,13.39,0.02,0.12,73.36,82,82,99.87,300,300,104.19,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6518.26,5374.06,0.25,157.55,0.00,0.00
4,Python 3.9.16,nbody.py 50000000,539.123167,1247,1693046265.570463,-,-,437,12.61,3469,1896,2.63,209227,0,1052,8040,6045,2592,5538,64,27250,225,65259,0.00,0.06,0.02,0.01,0.07,0.00,1.78,0.03,85.40,12.95,0.01,0.11,74.33,83,83,99.80,300,300,100.91,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6442.31,5316.66,0.24,150.98,0.00,0.00
5,Python 3.9.16,nbody.py 50000000,541.887306,1344,1693046807.570523,-,-,439,12.61,3478,1896,2.61,211115,0,2147,7126,6363,2480,6016,57,29628,328,66791,0.00,0.06,0.02,0.01,0.07,0.00,1.89,0.03,85.27,12.95,0.01,0.11,74.31,82,82,99.80,300,300,100.98,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6475.41,5343.63,0.24,151.81,0.00,0.00
6,Python 3.9.16,nbody.py 50000000,553.670051,1244,1693047361.361954,-,-,434,12.61,3444,1896,2.58,215728,0,1176,11034,6691,1532,5009,65,29357,228,61843,0.00,0.09,0.03,0.01,0.07,0.00,1.91,0.01,85.25,12.99,0.01,0.10,74.29,79,79,99.80,300,300,100.96,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6616.01,5459.75,0.25,155.11,0.00,0.00
7,Python 3.9.16,nbody.py 50000000,538.910458,1211,1693047900.391990,-,-,438,12.61,3477,1896,2.63,208773,0,1177,6700,6407,2337,5478,44,29003,316,59889,0.00,0.07,0.02,0.01,0.07,0.00,1.89,0.02,85.28,12.98,0.01,0.10,74.30,81,81,99.81,300,300,100.92,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6439.58,5313.28,0.25,150.87,0.00,0.00
8,Python 3.9.16,nbody.py 50000000,543.005016,1195,1693048443.581766,-,-,439,12.61,3479,1896,2.60,210694,0,1196,6031,5774,2305,6246,74,30900,367,63702,0.00,0.04,0.03,0.01,0.08,0.00,1.94,0.03,85.24,12.90,0.01,0.12,74.36,83,84,99.81,300,300,100.92,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6488.75,5355.60,0.24,152.12,0.00,0.00
9,Python 3.9.16,nbody.py 50000000,552.311438,1253,1693048996.016160,-,-,448,13.08,3425,1896,2.55,240225,0,1976,32190,18566,7297,14566,76,36703,414,72872,0.00,0.10,0.07,0.03,0.15,0.00,2.21,0.04,84.30,13.34,0.03,0.16,73.39,80,80,99.89,300,300,104.12,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6599.87,5442.10,0.25,158.82,0.00,0.00
10,Python 3.9.16,nbody.py 50000000,539.312334,1282,1693049535.454643,-,-,439,12.60,3481,1896,2.62,215534,0,1695,5749,5508,2225,5921,49,29151,198,67720,0.00,0.04,0.02,0.01,0.07,0.00,1.90,0.01,85.31,12.85,0.01,0.11,74.43,80,81,99.79,300,300,100.69,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6444.56,5317.33,0.25,151.15,0.00,0.00
