test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,Python 3.10.11,nbody.py 50000000,1.00,0.40,0.64,0.26,0.08,0.02,6.20,2.52,0.00,0.02,1.97,521049489226 ns,1937212941479,3.718 GHz,4884077536217,2.52,521012.97 msec,1.000,1937235622669,3.718 GHz,57,985315020415,12472835293,521013.50 msec,1.000,1886 C,923050261719,8301875416,0.90%,0,769477639369,8645,8645,0,65439365,2268905,3.467,1607736422567,161840382,0.01%,4731214,77078,1.63%,84114087,1607645442203,7975,0.00%,3617855,445936171,12325.98%,0,0
2,Python 3.10.11,nbody.py 50000000,1.00,0.40,0.64,0.26,0.08,0.02,6.18,2.53,0.00,0.02,1.90,536408146704 ns,1932990508469,3.604 GHz,4884292238268,2.53,536370.93 msec,1.000,1932919005750,3.604 GHz,38,1015201782727,12851372530,536371.49 msec,1.000,1331 C,923110346136,8099875284,0.88%,0,769457627103,8646,8646,0,78194714,1672567,2.139,1607967032395,198199024,0.01%,5385443,107754,2.00%,87364655,1607634724144,11711,0.00%,1473674,23915276,1622.83%,0,0
3,Python 3.10.11,nbody.py 50000000,1.00,0.40,0.63,0.26,0.08,0.02,6.19,2.50,0.00,0.02,1.91,541644856802 ns,1956052125577,3.612 GHz,4883351667483,2.50,541600.04 msec,1.000,1955875837488,3.611 GHz,52,1025033834602,12975855786,541600.80 msec,1.000,1553 C,923030248349,7920090666,0.86%,0,769559422773,8611,8611,0,88815057,1977894,2.227,1608082743715,165694053,0.01%,7733359,128304,1.66%,95485317,1607903194561,11681,0.00%,2051167,388429149,18936.98%,0,0
4,Python 3.10.11,nbody.py 50000000,1.00,0.40,0.64,0.26,0.08,0.02,6.19,2.53,0.00,0.03,1.90,536995034484 ns,1929448235981,3.593 GHz,4884515745716,2.53,536955.55 msec,1.000,1929322376209,3.593 GHz,108,1015146870040,12850387622,536956.15 msec,1.000,1510 C,923244884772,7883379446,0.85%,0,769605933935,8636,8636,0,109384876,2213224,2.023,1608082540961,245822425,0.02%,7561888,112668,1.49%,91396829,1607616700098,15733,0.00%,5185197,9111230,175.72%,0,0
5,Python 3.10.11,nbody.py 50000000,1.00,0.39,0.64,0.26,0.07,0.02,6.21,2.54,0.00,0.03,1.90,534824837283 ns,1920096247436,3.590 GHz,4883975046742,2.54,534781.49 msec,1.000,1919968845178,3.590 GHz,83,1010912952836,12797194541,534782.18 msec,1.000,1454 C,922929478050,7442354591,0.81%,0,769448461385,8640,8640,0,105331822,2725392,2.587,1607821306009,259508124,0.02%,7029752,221685,3.15%,100398456,1608111675916,303108,0.00%,5759194,757423,13.15%,0,0
6,Python 3.10.11,nbody.py 50000000,1.00,0.41,0.62,0.26,0.09,0.03,6.14,2.44,0.00,0.02,1.91,553329638781 ns,1998282138742,3.612 GHz,4886823756088,2.45,553290.61 msec,1.000,1998237599636,3.612 GHz,55,1047328474027,13258067333,553291.08 msec,1.000,1538 C,923767899655,9997267762,1.08%,0,770291183393,8673,8673,0,90817701,2683994,2.955,1608915122679,170232498,0.01%,8062947,242659,3.01%,120220706,1609225903671,59620,0.00%,2221047,6796107,305.99%,0,0
7,Python 3.10.11,nbody.py 50000000,1.00,0.40,0.63,0.26,0.08,0.03,6.18,2.50,0.00,0.03,1.88,549014016213 ns,1952973340911,3.557 GHz,4883869106042,2.50,548978.55 msec,1.000,1952964543475,3.557 GHz,90,1039127949369,13154192696,548979.09 msec,1.000,1293 C,923160526701,8504081044,0.92%,0,769517926176,8659,8659,0,103681390,7351173,7.090,1608216144386,229201550,0.01%,8058259,755794,9.38%,166384498,1608117742871,3049135,0.00%,2774352,252307724,9094.29%,0,0
8,Python 3.10.11,nbody.py 50000000,1.00,0.40,0.64,0.26,0.08,0.02,6.20,2.53,0.00,0.02,1.92,532673249168 ns,1934099799480,3.631 GHz,4883652933520,2.52,532638.18 msec,1.000,1933912900437,3.631 GHz,45,1008076829574,12761206504,532638.72 msec,1.000,1543 C,922841295643,8203486999,0.89%,0,769326146840,8666,8666,0,74795524,1463608,1.957,1607708655356,172797867,0.01%,5027191,90644,1.80%,102455796,1607941689687,6479,0.00%,2072673,20880929,1007.44%,0,0
9,Python 3.10.11,nbody.py 50000000,1.00,0.40,0.64,0.26,0.08,0.03,6.20,2.52,0.00,0.04,1.89,541504973672 ns,1938941582789,3.581 GHz,4884217524101,2.52,541468.05 msec,1.000,1938792478248,3.581 GHz,34,1024607782733,12970553400,541468.62 msec,1.000,1386 C,923104498475,7986712013,0.87%,0,769502315262,8645,8645,0,96698013,2060745,2.131,1607783400738,308450342,0.02%,6505094,81208,1.25%,93396274,1607622132417,5410,0.00%,2143924,62031096,2893.34%,0,0
10,Python 3.10.11,nbody.py 50000000,1.00,0.40,0.64,0.26,0.08,0.03,6.20,2.52,0.00,0.02,1.90,539907829767 ns,1938958803565,3.592 GHz,4883917216624,2.52,539873.31 msec,1.000,1938950153435,3.591 GHz,94,1022051545053,12938058560,539873.81 msec,1.000,1429 C,922940910486,7650705900,0.83%,0,769741267096,8631,8631,0,87695820,2396375,2.733,1607823364268,157084711,0.01%,6916871,79519,1.15%,96912980,1607995301770,11735,0.00%,1775806,2755078,155.15%,0,0
