test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.5.10,nbody.py 50000000,463.037812,1252,1694752272.739855,-,-,474,12.59,3769,1896,2.54,496918,0,202,7642,4325,3193,8200,14,44396,42811,255030,0.00,0.05,0.02,0.01,0.14,0.00,2.88,6.92,77.32,13.38,0.01,0.23,73.79,81,82,99.91,450,300,100.85,99.34,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6915.43,5950.10,0.27,129.86,0.00,0.00
2,Python 3.5.10,nbody.py 50000000,484.232598,1262,1694752757.096205,-,-,452,12.62,3583,1896,2.55,226803,0,240,7896,4230,1963,4405,14,25832,3450,88457,0.00,0.04,0.01,0.01,0.07,0.00,1.77,0.56,84.89,12.99,0.01,0.12,74.27,76,78,99.93,450,300,101.04,99.74,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6401.45,5393.89,0.27,135.84,0.00,0.00
3,Python 3.5.10,nbody.py 50000000,472.376798,1197,1694753229.582770,-,-,457,12.61,3626,1896,2.59,232446,0,1261,7433,3698,2042,4806,25,26468,2662,91858,0.00,0.04,0.01,0.01,0.07,0.00,1.92,0.41,84.89,12.87,0.01,0.12,74.39,80,80,99.79,450,300,100.67,99.73,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6410.38,5422.78,0.28,132.59,0.00,0.00
4,Python 3.5.10,nbody.py 50000000,476.828875,1301,1694753706.531159,-,-,464,13.17,3526,1896,2.57,406905,0,1497,41138,20740,8379,14385,57,41881,28280,184223,0.00,0.13,0.07,0.03,0.18,0.00,2.73,4.17,79.46,13.64,0.02,0.22,72.94,81,82,99.85,450,300,104.67,99.56,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6373.61,5377.90,0.25,138.37,0.00,0.00
5,Python 3.5.10,nbody.py 50000000,467.957438,1689,1694754174.595694,-,-,457,12.61,3623,1896,2.61,225404,0,177,3689,4501,2139,5334,19,25787,2445,88472,0.00,0.03,0.02,0.01,0.08,0.00,1.76,0.38,85.07,12.98,0.01,0.13,74.27,93,93,99.77,450,300,100.99,99.72,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6326.28,5353.02,0.26,131.21,0.00,0.00
6,Python 3.5.10,nbody.py 50000000,466.246447,1250,1694754641.016018,-,-,457,12.60,3627,1896,2.62,242423,0,129,5232,3373,2159,4687,12,27224,5864,104597,0.00,0.02,0.02,0.01,0.08,0.00,1.91,1.05,84.28,12.99,0.01,0.14,74.26,77,78,99.92,450,300,100.97,99.69,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6331.87,5362.82,0.28,130.73,0.00,0.00
7,Python 3.5.10,nbody.py 50000000,471.754951,1259,1694755112.956017,-,-,453,12.62,3591,1896,2.61,253394,0,220,4053,4971,3123,6109,27,29646,6768,107878,0.00,0.04,0.02,0.01,0.09,0.00,2.03,1.18,83.97,13.07,0.01,0.14,74.16,78,78,99.92,450,300,101.08,99.69,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6297.31,5317.00,0.26,132.35,0.00,0.00
8,Python 3.5.10,nbody.py 50000000,482.795872,1381,1694755595.871840,-,-,453,12.61,3590,1896,2.55,257809,0,141,5459,4607,2167,4905,15,28330,4041,108514,0.00,0.04,0.02,0.01,0.07,0.00,1.91,0.61,84.68,13.04,0.01,0.13,74.21,93,93,99.78,450,300,101.01,99.70,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6593.58,5590.93,0.25,135.34,0.00,0.00
9,Python 3.5.10,nbody.py 50000000,477.403104,1312,1694756073.380327,-,-,453,12.61,3592,1896,2.58,260820,0,265,5251,3558,2184,5766,9,30705,7813,113639,0.00,0.02,0.01,0.01,0.09,0.00,2.08,1.35,83.78,13.01,0.01,0.15,74.23,77,78,99.92,450,300,100.95,99.68,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6366.50,5374.34,0.27,133.82,0.00,0.00
10,Python 3.5.10,nbody.py 50000000,466.593336,1314,1694756540.104170,-,-,456,12.62,3615,1896,2.62,254930,0,1249,5283,3645,2267,5864,19,31511,6388,115915,0.00,0.03,0.01,0.01,0.10,0.00,2.15,1.04,84.00,13.03,0.01,0.14,74.20,91,93,99.90,450,300,101.08,99.68,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6334.66,5366.50,0.27,130.94,0.00,0.00
