test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 2.5.6,nbody.py 50000000,499.457522,1207,1693078634.478671,-,-,474,12.59,3764,1896,2.64,412778,0,1210,8525,4939,2079,9364,57,45346,23259,209180,0.00,0.03,0.02,0.01,0.14,0.00,2.75,3.84,80.54,13.20,0.02,0.23,73.97,79,80,99.92,300,300,100.77,99.44,0.09,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7408.72,6365.27,0.27,141.57,0.00,0.00
2,Python 2.5.6,nbody.py 50000000,533.764731,1242,1693079168.361743,-,-,439,12.61,3480,1896,2.67,207891,0,1020,9625,6670,1608,4999,51,27952,268,63304,0.00,0.08,0.02,0.01,0.07,0.00,1.83,0.02,85.33,12.98,0.01,0.10,74.30,80,81,100.01,300,300,100.97,99.79,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6378.05,5268.19,0.26,151.07,0.00,0.00
3,Python 2.5.6,nbody.py 50000000,533.554705,1172,1693079702.018055,-,-,438,12.57,3481,1896,2.68,209283,0,978,8183,4900,1360,4696,75,26914,178,59920,0.00,0.03,0.02,0.01,0.07,0.00,1.84,0.02,85.41,12.83,0.01,0.10,74.48,82,82,99.75,300,300,100.58,99.79,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6375.46,5257.67,0.26,151.01,0.00,0.00
4,Python 2.5.6,nbody.py 50000000,533.642798,1256,1693080235.779751,-,-,437,12.61,3466,1896,2.68,204744,0,830,6947,5444,1702,4920,59,27644,310,62808,0.00,0.04,0.02,0.01,0.07,0.00,1.80,0.03,85.40,12.92,0.01,0.10,74.36,82,83,99.77,300,300,100.92,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6376.66,5262.25,0.26,150.92,0.00,0.00
5,Python 2.5.6,nbody.py 50000000,537.283874,1232,1693080773.173017,-,-,439,12.61,3478,1896,2.65,209998,0,984,7861,6043,2046,4863,43,28918,345,64241,0.00,0.06,0.02,0.01,0.06,0.00,1.90,0.03,85.28,12.96,0.01,0.10,74.32,81,81,99.75,300,300,100.93,99.79,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6419.97,5296.58,0.26,151.95,0.00,0.00
6,Python 2.5.6,nbody.py 50000000,536.107582,1640,1693081309.467799,-,-,439,12.64,3476,1896,2.66,221860,504,1443,12307,6804,1905,6081,62,31613,200,70409,0.00,0.05,0.03,0.01,0.08,0.00,2.08,0.01,85.07,12.90,0.01,0.12,74.33,74,74,99.62,300,300,100.95,99.79,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6408.15,5285.62,0.55,152.60,0.00,0.00
7,Python 2.5.6,nbody.py 50000000,540.200180,1203,1693081849.802162,-,-,447,13.11,3408,1896,2.63,247205,0,3640,50200,21860,6293,12738,94,35443,198,69907,0.00,0.11,0.07,0.03,0.14,0.00,2.27,0.01,84.24,13.22,0.02,0.16,73.49,84,85,99.72,300,300,103.89,99.79,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6453.06,5316.94,0.26,157.78,0.00,0.00
8,Python 2.5.6,nbody.py 50000000,535.306043,1195,1693082385.197542,-,-,436,12.61,3456,1896,2.68,203838,0,1222,6360,6176,2310,5369,39,27403,331,61587,0.00,0.06,0.02,0.01,0.07,0.00,1.80,0.07,85.34,12.95,0.01,0.11,74.32,84,85,99.78,300,300,100.94,99.78,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6396.57,5275.92,0.27,151.46,0.00,0.00
9,Python 2.5.6,nbody.py 50000000,539.468116,1299,1693082924.783883,-,-,434,12.61,3444,1896,2.67,211297,0,969,8857,7093,2211,5150,53,26963,283,64869,0.00,0.09,0.03,0.01,0.06,0.00,1.78,0.03,85.36,13.03,0.01,0.09,74.25,83,84,99.75,300,300,100.98,99.78,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6446.16,5316.47,0.27,152.60,0.00,0.00
10,Python 2.5.6,nbody.py 50000000,537.341726,1258,1693083462.239727,-,-,435,12.62,3445,1896,2.68,211939,0,1180,6215,6028,2426,5474,58,28682,392,71615,0.00,0.06,0.02,0.01,0.07,0.00,1.85,0.04,85.31,12.96,0.01,0.10,74.31,85,86,99.89,300,300,100.95,99.78,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6420.88,5297.10,0.26,152.01,0.00,0.00
