test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.5.10,binarytrees_compatible_all.py 21,212.470899,1255,1694177013.283387,-,-,484,13.53,3580,1896,2.51,179907,0,2768,36800,14605,7549,12789,98,23759,4872,76309,0.00,0.19,0.12,0.08,0.32,0.00,3.25,1.87,80.58,13.96,0.05,0.31,72.15,75,75,99.47,433,433,107.30,99.60,0.18,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3232.40,2685.85,0.28,154.54,0.00,0.00
2,Python 3.5.10,binarytrees_compatible_all.py 21,228.426215,1258,1694177241.762679,-,-,418,12.62,3310,1896,2.60,105321,0,68,4178,2165,1005,2254,4,13757,205,41742,0.00,0.04,0.02,0.01,0.07,0.00,2.09,0.06,85.06,12.79,0.01,0.12,74.46,76,77,99.41,433,433,100.71,99.79,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2729.08,2151.44,0.23,159.97,0.00,0.00
3,Python 3.5.10,binarytrees_compatible_all.py 21,228.286398,1254,1694177470.098839,-,-,419,12.67,3310,1896,2.59,106778,0,2020,4708,3068,1175,2755,6,13617,255,43844,0.00,0.06,0.02,0.01,0.08,0.00,2.07,0.08,84.97,13.07,0.01,0.14,74.12,74,75,99.38,450,450,101.48,99.79,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2727.45,2147.81,0.24,160.13,0.00,0.00
4,Python 3.5.10,binarytrees_compatible_all.py 21,231.301046,1283,1694177701.444831,-,-,417,12.64,3299,1896,2.59,102861,0,338,3970,2765,1027,2649,12,13862,248,44930,0.00,0.03,0.02,0.01,0.09,0.00,1.96,0.07,85.16,12.96,0.01,0.15,74.24,73,75,99.38,450,450,101.23,99.79,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2763.78,2176.25,0.24,161.77,0.00,0.00
5,Python 3.5.10,binarytrees_compatible_all.py 21,231.434454,1245,1694177932.938426,-,-,419,12.63,3317,1896,2.59,104146,0,49,4099,2343,1019,2160,6,13269,408,45590,0.00,0.04,0.02,0.01,0.07,0.00,1.96,0.12,85.11,12.99,0.01,0.13,74.24,74,74,99.47,450,450,101.20,99.79,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2764.95,2176.87,0.24,161.92,0.00,0.00
6,Python 3.5.10,binarytrees_compatible_all.py 21,232.569345,1206,1694178165.548809,-,-,419,12.63,3319,1896,2.56,104654,0,66,4027,2678,924,1985,8,12828,331,43978,0.00,0.04,0.02,0.01,0.06,0.00,1.88,0.10,85.24,12.98,0.01,0.11,74.27,75,75,99.47,450,450,101.19,99.79,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2778.72,2187.82,0.25,162.54,0.00,0.00
7,Python 3.5.10,binarytrees_compatible_all.py 21,229.273410,1261,1694178394.882477,-,-,417,12.61,3311,1896,2.59,105058,0,82,4163,2138,948,2285,5,13071,208,43416,0.00,0.02,0.01,0.01,0.07,0.00,2.02,0.06,85.17,12.82,0.01,0.12,74.45,76,76,99.41,433,433,100.75,99.79,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2739.33,2158.14,0.25,160.55,0.00,0.00
8,Python 3.5.10,binarytrees_compatible_all.py 21,229.997489,1284,1694178624.919411,-,-,417,12.64,3297,1896,2.60,104048,0,37,3297,2368,1047,2624,8,14069,312,44634,0.00,0.01,0.02,0.01,0.09,0.00,2.04,0.13,85.04,12.92,0.01,0.13,74.30,75,74,99.38,450,450,101.20,99.79,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2747.99,2164.87,0.25,161.01,0.00,0.00
9,Python 3.5.10,binarytrees_compatible_all.py 21,242.767796,1233,1694178867.750010,-,-,419,12.61,3323,1896,2.50,106933,0,43,3528,2197,891,2123,5,12786,181,40764,0.00,0.02,0.01,0.01,0.06,0.00,1.80,0.06,85.41,12.78,0.01,0.10,74.50,77,77,99.42,450,300,100.68,99.79,0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2900.63,2286.66,0.24,168.45,0.00,0.00
10,Python 3.5.10,binarytrees_compatible_all.py 21,229.655203,1208,1694179097.442465,-,-,418,12.64,3309,1896,2.59,103487,0,189,2825,2788,1711,2840,8,12778,191,39100,0.00,0.05,0.03,0.02,0.08,0.00,1.92,0.04,85.19,12.96,0.01,0.12,74.27,77,77,99.36,450,300,101.10,99.79,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2743.87,2161.38,0.24,160.61,0.00,0.00
