version,release_date,appplication,no_measurement,timestamp,pid,command,time,virt,res,shr,percent_cpu,percent_mem,nTH,P,TIME,SWAP,CODE,DATA,nMaj,nMin,nDRT,USED,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 43
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,0,1691140291,524588,python,0:00.10,95716.0,88660.0,3728.0,62.5,0.5,1.0,2.0,0:00,0.0,4.0,85176.0,1.0,22k,0.0,88660.0,303,2,285,16,0,17.8,8.9,0.0,72.6,0.7,0.0,0.0,0.0,15795.0 MiB,4045.8 MiB,2088.5 MiB,9660.7 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12909.0 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,1,1691140292,524588,python,0:01.28,95716.0,88660.0,3728.0,100.0,0.5,1.0,6.0,0:01,0.0,4.0,85176.0,1.0,22k,0.0,88660.0,303,2,285,16,0,12.3,0.8,0.0,86.9,0.0,0.0,0.0,0.0,15795.0 MiB,4047.0 MiB,2086.9 MiB,9661.0 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12910.3 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,2,1691140293,524588,python,0:02.44,95716.0,88660.0,3728.0,100.0,0.5,1.0,6.0,0:02,0.0,4.0,85176.0,1.0,22k,0.0,88660.0,303,2,285,16,0,12.5,0.0,0.0,87.5,0.0,0.0,0.0,0.0,15795.0 MiB,4061.1 MiB,2080.8 MiB,9653.2 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12924.3 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,3,1691140294,524588,python,0:03.62,95716.0,88660.0,3728.0,100.0,0.5,1.0,6.0,0:03,0.0,4.0,85176.0,1.0,22k,0.0,88660.0,303,2,285,16,0,13.8,0.8,0.0,85.4,0.0,0.0,0.0,0.0,15795.0 MiB,4060.3 MiB,2081.6 MiB,9653.0 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12923.6 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,4,1691140295,524588,python,0:04.79,95716.0,88660.0,3728.0,100.0,0.5,1.0,2.0,0:04,0.0,4.0,85176.0,1.0,22k,0.0,88660.0,303,2,285,16,0,12.3,1.5,0.0,86.2,0.0,0.0,0.0,0.0,15795.0 MiB,4060.3 MiB,2081.6 MiB,9653.1 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12923.6 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,5,1691140297,524588,python,0:05.96,95716.0,88660.0,3728.0,100.0,0.5,1.0,2.0,0:05,0.0,4.0,85176.0,1.0,22k,0.0,88660.0,303,2,285,16,0,13.6,3.0,0.0,81.8,1.5,0.0,0.0,0.0,15795.0 MiB,4059.8 MiB,2080.6 MiB,9654.6 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12924.4 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,6,1691140298,524588,python,0:07.13,95716.0,88660.0,3728.0,100.0,0.5,1.0,2.0,0:07,0.0,4.0,85176.0,1.0,22k,0.0,88660.0,303,2,285,16,0,12.4,0.8,0.0,86.8,0.0,0.0,0.0,0.0,15795.0 MiB,4059.1 MiB,2081.3 MiB,9654.6 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12924.0 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,7,1691140299,524588,python,0:08.30,95716.0,88660.0,3728.0,100.0,0.5,1.0,6.0,0:08,0.0,4.0,85176.0,1.0,22k,0.0,88660.0,303,2,285,16,0,13.1,0.8,0.0,86.2,0.0,0.0,0.0,0.0,15795.0 MiB,4059.1 MiB,2081.3 MiB,9654.6 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12924.0 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,8,1691140300,524588,python,0:09.47,95716.0,88660.0,3728.0,100.0,0.5,1.0,6.0,0:09,0.0,4.0,85176.0,1.0,22k,0.0,88660.0,303,2,285,16,0,12.4,0.0,0.0,87.6,0.0,0.0,0.0,0.0,15795.0 MiB,4057.6 MiB,2082.8 MiB,9654.6 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12922.5 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,9,1691140301,524588,python,0:10.64,95716.0,88660.0,3728.0,100.0,0.5,1.0,6.0,0:10,0.0,4.0,85176.0,1.0,22k,0.0,88660.0,303,2,285,16,0,13.2,0.8,0.0,86.0,0.0,0.0,0.0,0.0,15795.0 MiB,4057.9 MiB,2082.5 MiB,9654.6 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12922.7 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,10,1691140302,524588,python,0:11.81,95716.0,88660.0,3728.0,100.0,0.5,1.0,6.0,0:11,0.0,4.0,85176.0,1.0,22k,0.0,88660.0,303,2,285,16,0,12.3,1.5,0.0,86.2,0.0,0.0,0.0,0.0,15795.0 MiB,4057.9 MiB,2082.5 MiB,9654.6 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12922.8 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,11,1691140304,524588,python,0:12.98,95716.0,88660.0,3728.0,100.0,0.5,1.0,6.0,0:12,0.0,4.0,85176.0,1.0,22k,0.0,88660.0,303,2,285,16,0,12.3,0.8,0.0,86.9,0.0,0.0,0.0,0.0,15795.0 MiB,4057.9 MiB,2082.5 MiB,9654.6 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12922.8 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,12,1691140305,524588,python,0:14.15,95716.0,88660.0,3728.0,100.0,0.5,1.0,6.0,0:14,0.0,4.0,85176.0,1.0,22k,0.0,88660.0,303,2,285,16,0,13.0,0.8,0.0,86.3,0.0,0.0,0.0,0.0,15795.0 MiB,4057.9 MiB,2082.5 MiB,9654.6 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12922.8 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,13,1691140306,524588,python,0:15.32,95716.0,88660.0,3728.0,100.0,0.5,1.0,2.0,0:15,0.0,4.0,85176.0,1.0,22k,0.0,88660.0,303,2,285,16,0,12.3,0.8,0.0,86.9,0.0,0.0,0.0,0.0,15795.0 MiB,4057.6 MiB,2082.7 MiB,9654.6 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12922.5 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,14,1691140307,524588,python,0:16.50,71224.0,64084.0,3728.0,100.0,0.4,1.0,2.0,0:16,0.0,4.0,60684.0,1.0,24k,0.0,64084.0,303,2,285,16,0,13.7,0.8,0.0,84.7,0.8,0.0,0.0,0.0,15795.0 MiB,4082.2 MiB,2058.1 MiB,9654.6 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12947.1 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,15,1691140308,524588,python,0:17.67,71224.0,64084.0,3728.0,100.0,0.4,1.0,2.0,0:17,0.0,4.0,60684.0,1.0,24k,0.0,64084.0,304,2,286,16,0,13.8,0.8,0.0,85.4,0.0,0.0,0.0,0.0,15795.0 MiB,4082.2 MiB,2058.1 MiB,9654.7 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12947.1 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,16,1691140309,524588,python,0:18.84,71224.0,64084.0,3728.0,100.0,0.4,1.0,6.0,0:18,0.0,4.0,60684.0,1.0,24k,0.0,64084.0,304,2,286,16,0,12.6,1.5,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,4078.3 MiB,2061.6 MiB,9655.1 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12943.2 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,17,1691140311,524588,python,0:20.02,71224.0,64084.0,3728.0,100.0,0.4,1.0,6.0,0:20,0.0,4.0,60684.0,1.0,24k,0.0,64084.0,307,2,289,16,0,12.4,0.0,0.0,87.6,0.0,0.0,0.0,0.0,15795.0 MiB,4077.8 MiB,2062.1 MiB,9655.1 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12942.7 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,18,1691140312,524588,python,0:21.19,71224.0,64084.0,3728.0,100.0,0.4,1.0,6.0,0:21,0.0,4.0,60684.0,1.0,24k,0.0,64084.0,307,2,289,16,0,13.7,0.8,0.0,85.5,0.0,0.0,0.0,0.0,15795.0 MiB,4077.3 MiB,2062.7 MiB,9655.0 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12942.3 MiB,
