test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,Python 3.0.1,binarytrees_compatible_all.py 21,1.00,0.38,0.63,0.27,0.05,0.05,6.40,2.65,0.00,1.09,1.95,205659777514 ns,755020011473,3.672 GHz,1999771082054,2.65,205636.21 msec,1.000,754985308018,3.671 GHz,137,387854921728,4909495956,205636.68 msec,1.000,2026 C,419474763265,2074740774,0.49%,0,313138075030,121795,121795,0,5050774327,1896785099,37.554,635316661514,3494255861,0.55%,270147415,98479289,36.45%,63292283,635098398578,15228395,0.00%,3248054,1312577,40.41%,0,0
2,Python 3.0.1,binarytrees_compatible_all.py 21,1.00,0.38,0.63,0.27,0.05,0.05,6.40,2.64,0.01,0.99,1.74,228916480372 ns,756098725440,3.303 GHz,1998875646831,2.64,228898.62 msec,1.000,756117063194,3.303 GHz,33,433314867313,5485330510,228898.96 msec,1.000,1451 C,419434924220,2037425637,0.49%,0,313427614471,121780,121780,0,4930793506,1906633366,38.668,635401560669,3551741739,0.56%,262441500,97256307,37.06%,59035470,635114741894,15595708,0.00%,118477,1870819,1579.06%,0,0
3,Python 3.0.1,binarytrees_compatible_all.py 21,1.00,0.38,0.64,0.27,0.05,0.05,6.39,2.66,0.00,0.99,1.74,228195461403 ns,752524859446,3.298 GHz,1999191740909,2.66,228178.14 msec,1.000,752537490967,3.298 GHz,87,431937524208,5467908641,228178.44 msec,1.000,1449 C,419383980839,2084842942,0.50%,0,313277198878,121734,121734,0,5062535334,1897642171,37.484,635312713342,3537703794,0.56%,265481248,96589633,36.38%,58218268,635148680560,14873146,0.00%,167162,1549974,927.23%,0,0
4,Python 3.0.1,binarytrees_compatible_all.py 21,1.00,0.38,0.64,0.27,0.05,0.05,6.38,2.66,0.00,0.98,1.71,232338448898 ns,753109776656,3.242 GHz,1998066978520,2.65,232318.01 msec,1.000,753080595860,3.242 GHz,69,439731791556,5566593218,232318.42 msec,1.000,1466 C,419291477886,2054119530,0.49%,0,313218267450,121827,121827,0,5197347013,1910498736,36.759,635537553572,3566420315,0.56%,269490741,96941383,35.97%,63174865,635609026645,15165753,0.00%,473866,1342498,283.31%,0,0
5,Python 3.0.1,binarytrees_compatible_all.py 21,1.00,0.38,0.64,0.27,0.05,0.05,6.40,2.66,0.00,0.99,1.74,228192930472 ns,752286259105,3.297 GHz,1999093060493,2.66,228171.06 msec,1.000,752270631918,3.297 GHz,41,431936988143,5467893228,228171.48 msec,1.000,1433 C,419375547341,2055212328,0.49%,0,313305956443,121814,121814,0,4964303665,1874841090,37.766,635570279481,3518577807,0.55%,261168068,95302657,36.49%,63327368,635215976089,15148084,0.00%,143493,1559221,1086.62%,0,0
6,Python 3.0.1,binarytrees_compatible_all.py 21,1.00,0.38,0.64,0.27,0.05,0.05,6.39,2.65,0.00,0.99,1.74,228350409563 ns,753066545822,3.298 GHz,1999219234499,2.65,228332.81 msec,1.000,753106312538,3.298 GHz,56,432226131658,5471564001,228333.15 msec,1.000,1471 C,419471939851,2045728461,0.49%,0,313184528818,121778,121778,0,5199972165,1886043596,36.270,635538492366,3509064332,0.55%,276503824,97462908,35.25%,55337971,635201883204,14965555,0.00%,218664,2783641,1273.02%,0,0
7,Python 3.0.1,binarytrees_compatible_all.py 21,1.00,0.38,0.64,0.27,0.05,0.05,6.40,2.66,0.00,1.00,1.74,227851161651 ns,751401736188,3.298 GHz,1998647439050,2.66,227832.41 msec,1.000,751355765565,3.298 GHz,52,431287268448,5459668281,227832.74 msec,1.000,1470 C,419309153144,2057059799,0.49%,0,313259772963,121745,121745,0,5013373731,1903082579,37.960,635130196016,3549929589,0.56%,255571663,95208529,37.25%,56598010,635388105662,14969040,0.00%,117365,1330824,1133.92%,0,0
8,Python 3.0.1,binarytrees_compatible_all.py 21,1.00,0.38,0.63,0.27,0.05,0.05,6.39,2.64,0.00,0.99,1.74,229115915776 ns,756495975711,3.302 GHz,1998127364936,2.64,229098.74 msec,1.000,756455484498,3.302 GHz,37,433688330005,5490069101,229099.05 msec,1.000,1478 C,419251519168,2142086517,0.51%,0,313158434021,121811,121811,0,4894638449,1888903203,38.591,635132933898,3554468632,0.56%,259037820,101778215,39.29%,54491538,635597753888,15194825,0.00%,697219,1433780,205.64%,0,0
9,Python 3.0.1,binarytrees_compatible_all.py 21,1.00,0.38,0.64,0.27,0.05,0.05,6.40,2.66,0.00,0.97,1.74,228492365783 ns,752683019455,3.294 GHz,1999295147717,2.66,228472.97 msec,1.000,752661715035,3.294 GHz,57,432511056198,5475160193,228473.33 msec,1.000,1484 C,419343737787,2078968546,0.50%,0,313152000668,121728,121728,0,5024942438,1890782859,37.628,635619274044,3476272140,0.55%,253411909,95281567,37.60%,60584771,635439501131,15058049,0.00%,94254,1814643,1925.27%,0,0
10,Python 3.0.1,binarytrees_compatible_all.py 21,1.00,0.38,0.64,0.27,0.05,0.05,6.40,2.66,0.00,0.99,1.74,227873168972 ns,751549133551,3.298 GHz,1998709894079,2.66,227853.60 msec,1.000,751532509238,3.298 GHz,45,431329155281,5460224326,227853.97 msec,1.000,1486 C,419220739637,2063829534,0.49%,0,313250680619,121754,121754,0,4978100510,1874363069,37.652,635507308305,3522832356,0.55%,268168948,99141470,36.97%,71952189,635460657146,14776979,0.00%,212949,1774865,833.47%,0,0
