test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 2.7.18,binarytrees_compatible_all.py 21,181.029783,1289,1694157151.397162,-,-,441,12.64,3488,1896,2.58,80918,0,68,4732,1949,727,2351,2,9805,314,35247,0.00,0.03,0.02,0.01,0.10,0.00,1.83,0.14,85.20,12.98,0.02,0.16,74.20,71,72,99.87,450,450,101.15,99.75,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2333.36,1954.46,0.03,75.57,0.00,0.00
2,Python 2.7.18,binarytrees_compatible_all.py 21,186.604368,1259,1694157338.048506,-,-,428,12.63,3386,1896,2.58,83371,0,54,5269,2859,673,1658,2,9051,163,30790,0.00,0.09,0.02,0.01,0.07,0.00,1.74,0.06,85.34,13.06,0.01,0.11,74.18,75,76,99.97,450,300,101.11,99.77,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2229.24,1840.75,0.03,77.17,0.00,0.00
3,Python 2.7.18,binarytrees_compatible_all.py 21,190.027030,1182,1694157528.133540,-,-,426,12.61,3380,1896,2.54,85024,0,71,3985,2233,787,1944,8,9596,174,35259,0.00,0.02,0.02,0.01,0.08,0.00,1.77,0.08,85.39,12.83,0.01,0.11,74.44,76,76,99.84,450,300,100.75,99.77,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2270.26,1872.66,0.03,78.21,0.00,0.00
4,Python 2.7.18,binarytrees_compatible_all.py 21,186.301024,1264,1694157714.479363,-,-,427,12.62,3385,1896,2.59,80434,0,69,1488,2173,1268,2273,6,10381,225,31399,0.00,0.01,0.02,0.01,0.08,0.00,1.86,0.12,85.25,12.94,0.01,0.12,74.30,72,74,99.81,450,450,101.11,99.77,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2225.86,1835.32,0.03,76.99,0.00,0.00
5,Python 2.7.18,binarytrees_compatible_all.py 21,186.248647,1306,1694157900.785750,-,-,427,12.63,3384,1896,2.59,80572,0,40,1615,2651,1444,2789,10,11387,143,29852,0.00,0.03,0.02,0.02,0.09,0.00,1.98,0.06,85.14,12.99,0.02,0.15,74.22,74,74,99.82,433,433,101.16,99.77,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2225.36,1834.11,0.03,77.00,0.00,0.00
6,Python 2.7.18,binarytrees_compatible_all.py 21,185.832898,1256,1694158086.655650,-,-,427,12.62,3382,1896,2.60,79550,0,160,3837,2487,665,1483,8,9180,127,29044,0.00,0.05,0.03,0.01,0.06,0.00,1.72,0.07,85.41,12.97,0.01,0.10,74.30,77,77,99.87,450,450,101.05,99.77,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2220.19,1829.24,0.04,76.78,0.00,0.00
7,Python 2.7.18,binarytrees_compatible_all.py 21,188.824660,1241,1694158275.537568,-,-,427,12.63,3378,1896,2.56,83099,0,176,1890,2398,1624,2820,11,11813,188,33242,0.00,0.03,0.03,0.02,0.09,0.00,2.08,0.09,85.00,13.00,0.02,0.14,74.20,73,76,99.94,450,450,101.19,99.77,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2255.81,1854.85,0.03,77.94,0.00,0.00
8,Python 2.7.18,binarytrees_compatible_all.py 21,187.150066,1440,1694158462.725356,-,-,427,12.62,3381,1896,2.58,81071,0,55,3357,2153,779,2047,4,9241,100,30974,0.00,0.02,0.02,0.01,0.08,0.00,1.67,0.04,85.52,12.79,0.01,0.13,74.46,78,78,99.83,450,300,100.67,99.77,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2236.02,1838.12,0.04,77.35,0.00,0.00
9,Python 2.7.18,binarytrees_compatible_all.py 21,186.902305,1263,1694158649.686433,-,-,427,12.63,3377,1896,2.58,81740,0,274,5525,3206,734,1535,13,8548,152,30859,0.00,0.10,0.03,0.01,0.06,0.00,1.67,0.05,85.42,13.09,0.01,0.10,74.18,76,76,99.79,433,433,101.15,99.77,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2232.91,1834.47,0.03,77.31,0.00,0.00
10,Python 2.7.18,binarytrees_compatible_all.py 21,184.897363,1262,1694158834.624277,-,-,433,12.63,3427,1896,2.57,88709,0,86,1445,2889,1618,3096,4,11797,600,35359,0.00,0.03,0.03,0.02,0.11,0.00,2.06,0.25,84.85,13.01,0.02,0.17,74.17,89,89,99.81,450,450,101.17,99.74,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2300.31,1905.22,0.03,76.61,0.00,0.00
