test,release_date,path,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC_perf,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed_sec,cycles,freq_cycles_GHz,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,2011-05-26,binaryTrees_21_compatible_OOflag,2.5.6,binarytrees_compatible_all.py 21,0.99,0.37,0.66,0.21,0.07,0.06,6.88,2.74,0.0,1.3,2.03,168.907845353,646065914910,3.825,1770330433254,2.74,168894.49,1.0,646019473900,3.825,93,318301104351,4029359371,168894.72,1.0,1944.0,359942738620,1805201098,0.50%,0,276886488357,137978,137978,0,4920751844,1902036906,38.653,586477926505,3423701321,0.58%,276213338,102991821,37.29%,47402879,585555922104,15390231,0.00%,2576457,1357419,52.69%,0,0
2,2011-05-26,binaryTrees_21_compatible_OOflag,2.5.6,binarytrees_compatible_all.py 21,1.0,0.36,0.66,0.21,0.07,0.06,6.87,2.74,0.0,1.11,1.75,194.063654338,644275580953,3.32,1769710666821,2.75,194048.59,1.0,644296430859,3.32,40,367311736849,4649832971,194048.86,1.0,1074.0,360040663261,1817328094,0.50%,0,276863354486,137960,137960,0,4988500484,1863387118,37.354,586643417581,3334763664,0.57%,286954851,107122338,37.33%,52444875,585961033510,14980933,0.00%,489988,1247595,254.62%,0,0
3,2011-05-26,binaryTrees_21_compatible_OOflag,2.5.6,binarytrees_compatible_all.py 21,1.0,0.37,0.66,0.22,0.07,0.06,6.85,2.72,0.0,1.11,1.81,189.977396248,650138432096,3.422,1775831098116,2.73,189962.23,1.0,650155934422,3.423,56,358992499426,4544647519,189962.46,1.0,1460.0,360571590129,2104415419,0.58%,0,276043376629,137951,137951,0,5114297219,2009066778,39.283,584556343775,3403778782,0.58%,284722693,105582368,37.08%,45704544,587401188166,14232094,0.00%,2811567,1990313,70.79%,0,0
4,2011-05-26,binaryTrees_21_compatible_OOflag,2.5.6,binarytrees_compatible_all.py 21,1.0,0.36,0.67,0.21,0.07,0.06,6.89,2.76,0.0,1.11,1.74,194.579579133,641855943346,3.299,1769657411182,2.76,194565.56,1.0,641837285043,3.299,58,368291649469,4662216506,194565.79,1.0,1434.0,360033005799,1799309772,0.50%,0,276581376278,137968,137968,0,5044161174,1899060014,37.649,586056458679,3380021247,0.58%,276300781,103839606,37.58%,49506715,586293778225,14858232,0.00%,126767,1394368,1099.95%,0,0
5,2011-05-26,binaryTrees_21_compatible_OOflag,2.5.6,binarytrees_compatible_all.py 21,1.0,0.37,0.66,0.21,0.07,0.06,6.87,2.75,0.0,1.12,1.79,190.692796177,645973641988,3.388,1775022646711,2.75,190678.58,1.0,645955777551,3.388,54,360347285037,4561680167,190678.83,1.0,1467.0,360166874925,1886795503,0.52%,0,275784324782,138039,138039,0,5078848214,1929277743,37.987,585839705647,3400608488,0.58%,276877896,100484184,36.29%,53886709,586140491526,14332640,0.00%,1178436,2038055,172.95%,0,0
6,2011-05-26,binaryTrees_21_compatible_OOflag,2.5.6,binarytrees_compatible_all.py 21,1.0,0.36,0.66,0.21,0.07,0.06,6.88,2.76,0.0,1.08,1.71,198.468022962,642233327255,3.236,1769674706204,2.75,198452.53,1.0,642185985789,3.236,36,375616776062,4754941368,198452.83,1.0,1482.0,359807665130,1797714963,0.50%,0,276618215697,137985,137985,0,4944949034,1908955486,38.604,586642153182,3358402199,0.57%,272229628,106020863,38.95%,52012048,586140183980,14855385,0.00%,425762,1735324,407.58%,0,0
7,2011-05-26,binaryTrees_21_compatible_OOflag,2.5.6,binarytrees_compatible_all.py 21,1.0,0.36,0.67,0.21,0.07,0.05,6.9,2.76,0.0,1.11,1.75,193.042122025,641198135646,3.322,1769657880077,2.76,193025.06,1.0,641171123628,3.322,38,365361758358,4625149083,193025.38,1.0,1480.0,360075567161,1809339153,0.50%,0,276591647395,137986,137986,0,4985013328,1894454739,38.003,586282109028,3343626890,0.57%,270109894,101889257,37.72%,44306045,586371256443,14618731,0.00%,68527,1217173,1776.19%,0,0
8,2011-05-26,binaryTrees_21_compatible_OOflag,2.5.6,binarytrees_compatible_all.py 21,1.0,0.36,0.66,0.22,0.07,0.06,6.87,2.73,0.0,1.11,1.75,195.824813278,647130208052,3.305,1767821772807,2.73,195809.87,1.0,647121486809,3.305,35,370641430476,4691958038,195810.19,1.0,1454.0,360030789189,1929355474,0.54%,0,276534552006,137942,137942,0,4863288516,1917950627,39.437,585250031381,3393903347,0.58%,278102204,103827449,37.33%,54517506,588158366242,14169951,0.00%,420842,1594118,378.79%,0,0
9,2011-05-26,binaryTrees_21_compatible_OOflag,2.5.6,binarytrees_compatible_all.py 21,1.0,0.37,0.66,0.22,0.07,0.06,6.86,2.72,0.0,1.11,1.77,194.449851668,649973198346,3.343,1769400454535,2.72,194430.37,1.0,649975356084,3.343,87,367801853950,4656070031,194430.71,1.0,1458.0,359877778218,2103150076,0.58%,0,276552827904,137980,137980,0,4860106538,1858808702,38.246,588056520145,3297567463,0.56%,259699014,86286344,33.23%,51395590,587866315957,14498294,0.00%,2334297,1664298,71.30%,0,0
10,2011-05-26,binaryTrees_21_compatible_OOflag,2.5.6,binarytrees_compatible_all.py 21,1.0,0.36,0.66,0.21,0.07,0.05,6.89,2.76,0.0,1.1,1.74,194.808691707,642239617441,3.297,1768061746771,2.75,194782.92,1.0,642212951155,3.297,41,368706711547,4667459859,194783.34,1.0,1441.0,359868734881,1795179698,0.50%,0,277165023432,137985,137985,0,4804299644,1849214867,38.491,586745333541,3318976243,0.57%,272491611,105698537,38.79%,53024374,585708109721,15156082,0.00%,416128,1764740,424.09%,0,0
