version,release_date,appplication,no_measurement,timestamp,pid,command,time,virt,res,shr,percent_cpu,percent_mem,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 33
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,0,1690890790,284118,python,0:00.10,95716.0,88716.0,3780.0,62.5,0.5,283,2,280,1,0,19.7,10.6,0.0,69.7,0.0,0.0,0.0,0.0,15795.0 MiB,6077.7 MiB,1661.8 MiB,8055.5 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13428.9 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,1,1690890792,284118,python,0:01.28,95716.0,88716.0,3780.0,100.0,0.5,283,2,280,1,0,14.1,0.8,0.0,85.2,0.0,0.0,0.0,0.0,15795.0 MiB,6077.0 MiB,1662.2 MiB,8055.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13428.3 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,2,1690890793,284118,python,0:02.45,95716.0,88716.0,3780.0,100.0,0.5,283,2,280,1,0,12.8,0.0,0.0,87.2,0.0,0.0,0.0,0.0,15795.0 MiB,6078.4 MiB,1668.8 MiB,8047.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13429.8 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,3,1690890794,284118,python,0:03.62,95716.0,88716.0,3780.0,93.8,0.5,283,2,280,1,0,12.8,0.0,0.0,87.2,0.0,0.0,0.0,0.0,15795.0 MiB,6077.4 MiB,1669.8 MiB,8047.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13428.8 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,4,1690890795,284118,python,0:04.80,95716.0,88716.0,3780.0,100.0,0.5,283,2,280,1,0,13.3,0.8,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,6077.2 MiB,1670.0 MiB,8047.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13428.6 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,5,1690890796,284118,python,0:05.97,95716.0,88716.0,3780.0,100.0,0.5,283,2,280,1,0,13.4,0.0,0.0,85.8,0.8,0.0,0.0,0.0,15795.0 MiB,6077.2 MiB,1670.0 MiB,8047.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13428.6 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,6,1690890797,284118,python,0:07.15,95716.0,88716.0,3780.0,100.0,0.5,283,2,280,1,0,12.8,0.8,0.0,86.4,0.0,0.0,0.0,0.0,15795.0 MiB,6077.2 MiB,1670.0 MiB,8047.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13428.6 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,7,1690890799,284118,python,0:08.32,95716.0,88716.0,3780.0,100.0,0.5,283,2,280,1,0,12.7,0.8,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,6077.2 MiB,1670.0 MiB,8047.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13428.6 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,8,1690890800,284118,python,0:09.49,95716.0,88716.0,3780.0,100.0,0.5,283,2,280,1,0,12.8,0.0,0.0,87.2,0.0,0.0,0.0,0.0,15795.0 MiB,6077.0 MiB,1670.2 MiB,8047.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13428.3 MiB,
2.5.6,2011-05-26,binarytrees_compatible_all.py 21,9,1690890801,284118,python,0:10.67,95716.0,88716.0,3780.0,100.0,0.5,283,2,280,1,0,12.4,0.8,0.0,86.8,0.0,0.0,0.0,0.0,15795.0 MiB,6076.7 MiB,1670.5 MiB,8047.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,13428.1 MiB,
