test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 2.5.6,binarytrees_compatible_all.py 21,162.005029,1155,1693150186.742342,-,-,505,12.61,4010,1896,2.71,117605,0,489,5370,2679,1035,3149,30,13961,2074,58484,0.00,0.06,0.04,0.01,0.15,0.00,2.67,1.09,83.29,13.21,0.03,0.24,73.92,93,93,99.76,300,300,100.91,99.40,0.23,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2981.85,2632.17,0.24,70.18,0.00,0.00
2,Python 2.5.6,binarytrees_compatible_all.py 21,180.468803,4610,1693150367.249491,-,-,451,12.62,3576,1896,2.72,93580,0,648,5669,2692,948,2517,54,12591,784,36863,0.00,0.04,0.04,0.01,0.10,0.00,2.29,0.28,84.56,13.05,0.02,0.16,74.15,75,75,99.72,300,300,101.06,99.66,0.21,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2555.14,2166.01,0.25,75.89,0.00,0.00
3,Python 2.5.6,binarytrees_compatible_all.py 21,191.284946,1253,1693150558.602519,-,-,425,12.64,3366,1896,2.73,80267,0,361,6303,2992,987,2749,33,12172,181,25501,0.00,0.06,0.03,0.01,0.11,0.00,2.19,0.04,84.90,12.96,0.02,0.18,74.20,75,75,99.65,300,300,101.13,99.77,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2285.47,1879.72,0.21,78.97,0.00,0.00
4,Python 2.5.6,binarytrees_compatible_all.py 21,190.959458,2242,1693150749.598833,-,-,426,12.63,3371,1896,2.73,77909,0,636,4959,3206,741,1862,48,10735,142,24450,0.00,0.06,0.03,0.01,0.07,0.00,1.96,0.02,85.18,12.99,0.01,0.13,74.24,75,75,99.65,300,300,101.12,99.77,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2281.49,1874.15,0.22,78.79,0.00,0.00
5,Python 2.5.6,binarytrees_compatible_all.py 21,195.052770,1201,1693150944.724505,-,-,425,12.63,3365,1896,2.68,79800,0,288,5121,3055,724,2304,21,12328,144,25618,0.00,0.05,0.03,0.01,0.09,0.00,2.17,0.03,84.96,12.93,0.01,0.16,74.27,75,77,99.82,300,300,101.03,99.77,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2330.54,1915.46,0.22,80.00,0.00,0.00
6,Python 2.5.6,binarytrees_compatible_all.py 21,195.218984,1249,1693151139.980254,-,-,425,12.63,3364,1896,2.68,82141,0,552,5655,2930,779,2338,35,11638,68,26681,0.00,0.06,0.03,0.01,0.09,0.00,2.04,0.01,85.10,12.83,0.01,0.16,74.37,78,78,99.69,300,300,100.73,99.77,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2332.31,1914.78,0.22,80.20,0.00,0.00
7,Python 2.5.6,binarytrees_compatible_all.py 21,191.901318,1856,1693151331.942422,-,-,424,12.63,3355,1896,2.73,79302,0,166,2683,3497,1823,2980,31,12131,128,24596,0.00,0.04,0.04,0.02,0.10,0.00,2.14,0.02,84.97,12.98,0.02,0.15,74.23,74,77,99.72,300,300,101.14,99.77,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2292.90,1882.35,0.22,79.10,0.00,0.00
8,Python 2.5.6,binarytrees_compatible_all.py 21,193.846878,1276,1693151525.824619,-,-,425,12.64,3367,1896,2.69,80811,0,474,2877,3341,1531,2760,28,11847,172,26206,0.00,0.05,0.04,0.02,0.09,0.00,2.07,0.04,85.03,12.99,0.02,0.14,74.22,76,76,99.68,300,300,101.13,99.77,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2316.04,1901.16,0.21,79.69,0.00,0.00
9,Python 2.5.6,binarytrees_compatible_all.py 21,191.611091,1234,1693151717.501242,-,-,425,12.64,3362,1896,2.72,81401,0,303,3038,3534,1684,3285,23,13635,152,26728,0.00,0.04,0.04,0.02,0.11,0.00,2.33,0.05,84.73,13.01,0.02,0.16,74.17,77,77,99.67,300,300,101.22,99.77,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2289.55,1878.45,0.21,79.16,0.00,0.00
10,Python 2.5.6,binarytrees_compatible_all.py 21,191.957348,1316,1693151909.494087,-,-,425,12.64,3359,1896,2.72,80396,0,401,3673,2978,1409,2724,34,12472,145,26366,0.00,0.06,0.03,0.02,0.09,0.00,2.21,0.03,84.89,12.98,0.02,0.13,74.23,77,78,99.85,300,300,101.13,99.77,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2293.47,1881.62,0.22,79.11,0.00,0.00
