test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,Python 2.5.6,binarytrees.py 21,55772312,0.98,1.26,0.22,0.30,0.20,,,,,,,55772312 ns,149091041,2.646 GHz,<not,(0.00%),56.32 msec,1.010,<not,(0.00%) ,39,<not,<not,56.38 msec,1.011,2122 C,<not,<not,(0.00%),<not,<not,8316,8316,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
2,Python 2.5.6,binarytrees.py 21,55691858,0.99,1.29,0.23,0.29,0.09,0.16,,,,,,55691858 ns,62993470,1.120 GHz,<not,(0.00%),56.22 msec,1.009,<not,(0.00%) ,35,<not,<not,56.27 msec,1.010,2061 C,<not,<not,(0.00%),<not,<not,8261,8261,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
3,Python 2.5.6,binarytrees.py 21,55934805,0.98,1.25,0.23,0.29,0.06,,,,,,,55934805 ns,154184252,2.729 GHz,<not,(0.00%),56.46 msec,1.009,<not,(0.00%) ,39,<not,<not,56.52 msec,1.010,2029 C,<not,<not,(0.00%),<not,<not,8277,8277,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
4,Python 2.5.6,binarytrees.py 21,55210429,0.99,1.22,0.22,0.31,0.06,0.44,,,,,,55210429 ns,114810143,2.056 GHz,<not,(0.00%),55.82 msec,1.011,<not,(0.00%) ,39,<not,<not,55.87 msec,1.012,2015 C,<not,<not,(0.00%),<not,<not,8270,8270,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
5,Python 2.5.6,binarytrees.py 21,56063135,0.99,1.26,0.24,0.29,0.06,0.47,,,,,,56063135 ns,93878608,1.657 GHz,<not,(0.00%),56.64 msec,1.010,<not,(0.00%) ,32,<not,<not,56.70 msec,1.011,2031 C,<not,<not,(0.00%),<not,<not,8283,8283,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
6,Python 2.5.6,binarytrees.py 21,55999977,0.99,1.23,0.24,0.30,0.05,,,,,,,55999977 ns,144508784,2.563 GHz,<not,(0.00%),56.36 msec,1.006,<not,(0.00%) ,40,<not,<not,56.42 msec,1.007,2003 C,<not,<not,(0.00%),<not,<not,8298,8298,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
7,Python 2.5.6,binarytrees.py 21,56442412,0.99,1.26,0.23,0.29,0.06,,,,,,,56442412 ns,154747449,2.737 GHz,<not,(0.00%),56.51 msec,1.001,<not,(0.00%) ,41,<not,<not,56.57 msec,1.002,2009 C,<not,<not,(0.00%),<not,<not,8307,8307,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
8,Python 2.5.6,binarytrees.py 21,55120134,0.97,1.21,0.24,0.30,0.06,0.35,,,,,,55120134 ns,60825050,1.094 GHz,<not,(0.00%),55.58 msec,1.008,<not,(0.00%) ,32,<not,<not,55.63 msec,1.009,1997 C,<not,<not,(0.00%),<not,<not,8272,8272,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
9,Python 2.5.6,binarytrees.py 21,56779725,0.98,1.23,0.22,0.29,0.09,0.44,,,,,,56779725 ns,87855096,1.535 GHz,<not,(0.00%),57.22 msec,1.008,<not,(0.00%) ,32,<not,<not,57.28 msec,1.009,1965 C,<not,<not,(0.00%),<not,<not,8290,8290,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
10,Python 2.5.6,binarytrees.py 21,55891142,0.98,1.30,0.22,0.29,0.07,0.38,4.28,0.89,0.82,,,55891142 ns,114136029,2.021 GHz,<not,(0.00%),56.44 msec,1.010,<not,(0.00%) ,31,<not,<not,56.49 msec,1.011,1938 C,<not,<not,(0.00%),<not,<not,8265,8265,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
