test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,Python 3.10.11,binarytrees.py 21,1.00,0.74,0.34,0.18,0.02,0.47,3.10,1.34,0.01,5.32,1.35,98790769140 ns,1464636676339,2.546 GHz,1969963280395,1.35,575281.75 msec,5.823,1464009444846,2.545 GHz,66,1085366836763,13738692159,575284.12 msec,5.823,2305 C,389441882764,2051290529,0.53%,0,319998005791,2027956,2027956,0,5160181533,1922801984,37.262,611475083405,8178254488,1.34%,289655872,106133606,36.64%,218889889,611342756061,11382745,0.00%,11412197,51642311,452.52%,0,173
2,Python 3.10.11,binarytrees.py 21,1.00,0.74,0.34,0.18,0.02,0.47,3.10,1.34,0.01,4.52,1.03,122295025802 ns,1469533058558,1.940 GHz,1974680268130,1.34,757408.64 msec,6.193,1469668897511,1.940 GHz,51,1430435514473,18110053351,757412.85 msec,6.193,1763 C,391733753664,2031467466,0.52%,0,320020285754,2023847,2023847,0,5196471963,1904343761,36.647,611472522024,8740811371,1.43%,287672632,102957136,35.79%,281674504,611129258692,12555441,0.00%,9737691,195215832,2004.74%,0,246
3,Python 3.10.11,binarytrees.py 21,1.00,0.74,0.34,0.18,0.02,0.47,3.11,1.35,0.01,4.21,1.03,122041681493 ns,1463373598646,1.952 GHz,1969335565842,1.35,749828.69 msec,6.144,1463428384481,1.952 GHz,69,1415999402986,17927120054,749832.73 msec,6.144,1739 C,389524325805,2077857861,0.53%,0,319754771794,2027926,2027926,0,5200640471,1898395315,36.503,611349467968,7995338227,1.31%,289585976,100825193,34.82%,251596455,611019085724,12717509,0.00%,9571838,52151720,544.85%,0,201
4,Python 3.10.11,binarytrees.py 21,1.00,0.74,0.34,0.18,0.02,0.47,3.10,1.34,0.01,4.38,1.03,121918510432 ns,1465525305494,1.949 GHz,1969670947801,1.34,751963.50 msec,6.168,1465716385029,1.949 GHz,64,1420307492958,17981644577,751967.55 msec,6.168,1717 C,389646122333,2026016563,0.52%,0,320391559731,2023949,2023949,0,5205868204,1889508810,36.296,611758624525,8336408083,1.36%,295625939,104621148,35.39%,273108463,610891287428,12048648,0.00%,11222676,91097275,811.73%,0,201
5,Python 3.10.11,binarytrees.py 21,1.00,0.74,0.34,0.18,0.02,0.47,3.10,1.34,0.01,4.38,1.03,122531752154 ns,1469942926566,1.951 GHz,1970518817895,1.34,753382.67 msec,6.148,1469766401337,1.951 GHz,65,1422757421751,18010320134,753386.72 msec,6.149,1713 C,391309180061,2217540425,0.57%,0,321053371154,2027965,2027965,0,5230042976,1898760017,36.305,612050059664,8335074681,1.36%,300848199,110958860,36.88%,266597393,611288818730,12872114,0.00%,18894442,52640911,278.61%,0,214
6,Python 3.10.11,binarytrees.py 21,1.00,0.74,0.34,0.18,0.02,0.47,3.11,1.34,0.01,4.38,1.03,122522155889 ns,1467387840986,1.943 GHz,1972162191941,1.34,755152.55 msec,6.163,1467239118024,1.943 GHz,54,1426044194121,18049721558,755157.32 msec,6.163,1806 C,390906672977,2110975081,0.54%,0,319853295001,2018417,2018417,0,5513406646,1908190208,34.610,611536413563,8395102922,1.37%,315166282,103647813,32.89%,255915418,611516514073,13068569,0.00%,14556599,52600513,361.35%,0,231
7,Python 3.10.11,binarytrees.py 21,1.00,0.74,0.34,0.18,0.02,0.47,3.11,1.35,0.01,4.23,1.03,122037993535 ns,1461121276509,1.949 GHz,1970759179448,1.35,749545.57 msec,6.142,1461075112991,1.949 GHz,84,1415222026401,17914958807,749549.99 msec,6.142,1704 C,390342867496,2076391969,0.53%,0,319784206044,2027934,2027934,0,5209318969,1917153067,36.802,611378376340,8055074091,1.32%,299063804,106230439,35.52%,238688744,611523582542,11909677,0.00%,12701945,110153856,867.22%,0,212
8,Python 3.10.11,binarytrees.py 21,1.00,0.74,0.34,0.18,0.02,0.47,3.10,1.34,0.01,4.26,1.03,122216684689 ns,1466852814718,1.950 GHz,1970325833308,1.34,752214.73 msec,6.155,1466821441177,1.950 GHz,75,1420315226610,17981847972,752218.66 msec,6.155,1739 C,390523489431,2156184706,0.55%,0,320046685000,2023932,2023932,0,5406406850,1903408527,35.207,612018001329,8110174231,1.33%,299427760,100247204,33.48%,253228303,611259202208,11509534,0.00%,29016394,55713207,192.01%,0,201
9,Python 3.10.11,binarytrees.py 21,1.00,0.74,0.34,0.18,0.02,0.47,3.11,1.34,0.01,4.06,1.03,122378918063 ns,1466706477154,1.951 GHz,1973612914120,1.35,751770.62 msec,6.143,1466916079999,1.951 GHz,41,1419665716792,17971142616,751774.58 msec,6.143,1826 C,391434938073,2085149222,0.53%,0,319901026527,2027980,2027980,0,5051202325,1941993218,38.446,611583251034,7746151982,1.27%,276536169,102228008,36.97%,237312556,611260382974,12986788,0.00%,10956655,50528072,461.16%,0,212
10,Python 3.10.11,binarytrees.py 21,1.00,0.74,0.34,0.18,0.02,0.47,3.11,1.35,0.01,4.32,1.03,122510766957 ns,1464175257588,1.944 GHz,1973782308316,1.35,753180.26 msec,6.148,1464360617693,1.944 GHz,77,1422107141208,18004574177,753184.34 msec,6.148,1713 C,391704799351,2073831724,0.53%,0,320101412094,2027951,2027951,0,5031282777,1930401517,38.368,611601288685,8265877053,1.35%,282777277,104844757,37.08%,260808235,611070896515,11690685,0.00%,13447299,74465308,553.76%,0,214
