test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.10.11,binarytrees.py 21,99.193249,1262,1694296413.892348,-,-,1857,72.54,2561,1896,1.34,177787,0,100,4742,1683,272,764,0,3604,20,5119,0.00,0.05,0.02,0.01,0.06,0.00,1.25,0.01,25.83,4.96,0.01,0.07,22.43,71,73,99.23,450,300,308.45,99.69,0.66,0.65,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1901.74,1683.88,0.50,51.12,0.00,0.00
2,Python 3.10.11,binarytrees.py 21,127.372150,1259,1694296541.309908,-,-,1518,77.76,1952,1896,1.33,239371,0,2256,4289,2204,581,1239,8,4676,94,6484,0.00,0.03,0.02,0.01,0.07,0.00,1.25,0.04,20.64,4.17,0.01,0.06,18.00,71,71,99.60,450,300,326.60,99.78,0.35,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1521.43,1241.58,0.36,66.78,0.00,0.00
3,Python 3.10.11,binarytrees.py 21,121.668174,1210,1694296663.014466,-,-,1509,76.81,1965,1896,1.35,205925,0,55,3380,2079,585,646,5,3690,45,5806,0.00,0.02,0.02,0.01,0.04,0.00,1.07,0.01,21.83,4.12,0.01,0.06,19.00,70,71,99.57,450,300,322.67,99.79,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1453.68,1193.91,0.36,57.60,0.00,0.00
4,Python 3.10.11,binarytrees.py 21,121.377741,1235,1694296784.462377,-,-,1513,77.04,1964,1896,1.34,205506,0,20,3730,1753,401,652,0,3596,27,5449,0.00,0.02,0.02,0.01,0.04,0.00,1.07,0.01,21.61,4.15,0.01,0.05,18.76,74,76,99.57,450,300,323.74,99.79,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1449.82,1191.18,0.35,57.37,0.00,0.00
5,Python 3.10.11,binarytrees.py 21,121.504845,1142,1694296906.003334,-,-,1514,77.18,1962,1896,1.34,206091,0,24,3744,1848,370,670,0,3554,12,5300,0.00,0.03,0.02,0.01,0.04,0.00,1.02,0.00,21.51,4.08,0.01,0.06,18.67,69,70,99.56,450,300,324.06,99.79,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1451.57,1192.24,0.36,57.46,0.00,0.00
6,Python 3.10.11,binarytrees.py 21,121.447094,1207,1694297027.481446,-,-,1513,77.03,1964,1896,1.34,205828,0,28,1075,2071,1307,1526,0,3308,39,6111,0.00,0.02,0.03,0.02,0.06,0.00,0.93,0.03,21.70,4.31,0.02,0.06,18.58,71,72,99.57,450,300,324.18,99.79,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1451.02,1192.18,0.35,57.26,0.00,0.00
7,Python 3.10.11,binarytrees.py 21,121.643117,1174,1694297149.192920,-,-,1514,77.08,1964,1896,1.34,205909,0,26,3711,1987,430,686,1,3317,9,5348,0.00,0.05,0.02,0.01,0.04,0.00,0.99,0.01,21.62,4.12,0.01,0.06,18.74,71,71,99.57,450,300,323.52,99.79,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1453.12,1193.53,0.37,57.46,0.00,0.00
8,Python 3.10.11,binarytrees.py 21,122.028134,1171,1694297271.256995,-,-,1509,77.08,1958,1896,1.34,206675,0,31,2890,1890,509,798,0,3802,34,5577,0.00,0.03,0.02,0.01,0.04,0.00,1.09,0.01,21.54,4.11,0.01,0.05,18.75,70,70,99.59,450,300,323.63,99.79,0.37,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1457.81,1197.01,0.35,57.82,0.00,0.00
9,Python 3.10.11,binarytrees.py 21,121.962123,1272,1694297393.250368,-,-,1509,76.83,1964,1896,1.34,205881,0,45,1146,1902,1157,1435,2,3608,27,5994,0.00,0.01,0.02,0.02,0.06,0.00,1.00,0.01,21.85,4.14,0.02,0.07,18.94,71,72,99.57,450,300,322.79,99.79,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1457.28,1196.19,0.35,57.51,0.00,0.00
10,Python 3.10.11,binarytrees.py 21,121.944061,1482,1694297515.259918,-,-,1508,76.84,1962,1896,1.34,205450,0,23,3274,1829,420,681,0,3513,31,5199,0.00,0.02,0.02,0.01,0.04,0.00,1.02,0.01,21.87,4.16,0.01,0.05,18.94,76,78,99.57,450,300,323.01,99.79,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1456.76,1195.85,0.35,57.64,0.00,0.00
