test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,Python 3.7.16,binarytrees.py 21,1.00,0.73,0.34,0.17,0.02,0.47,3.17,1.37,0.01,5.05,1.29,102459241412 ns,1460766231683,2.444 GHz,2000920117417,1.37,597804.72 msec,5.835,1460797375242,2.444 GHz,71,1127960884694,14280401426,597807.62 msec,5.835,2236 C,382675198929,2134384911,0.56%,0,330280882410,3534959,3534959,0,6509748974,2518376858,38.686,644216984265,8064270823,1.25%,363675249,134575565,37.00%,546884937,644389654283,16660794,0.00%,7002510,251513952,3591.77%,0,192
2,Python 3.7.16,binarytrees.py 21,1.00,0.73,0.34,0.17,0.02,0.47,3.17,1.37,0.01,4.12,1.00,126508621086 ns,1474744478974,1.885 GHz,2022977729682,1.37,782465.86 msec,6.185,1474734533554,1.885 GHz,78,1477416282000,18704712510,782470.74 msec,6.185,1687 C,387599142356,2164738201,0.56%,0,330383700591,3535259,3535259,0,6726825359,2620186498,38.951,647549701534,8187645497,1.26%,372649518,132161114,35.47%,521150750,647629746858,15408670,0.00%,3343342,249389491,7459.29%,0,275
3,Python 3.7.16,binarytrees.py 21,1.00,0.73,0.34,0.17,0.02,0.47,3.18,1.37,0.01,4.14,1.00,124602606813 ns,1452125078002,1.887 GHz,1991938675162,1.37,769515.40 msec,6.176,1452131144264,1.887 GHz,64,1452959169994,18392610179,769520.07 msec,6.176,1703 C,380440983623,2162647647,0.57%,0,330344033708,3535310,3535310,0,6919860619,2643958865,38.208,641778230044,8110158450,1.26%,384383478,139508301,36.29%,548445766,640965839234,16328537,0.00%,2077335,249717187,12021.04%,0,199
4,Python 3.7.16,binarytrees.py 21,1.00,0.73,0.34,0.17,0.02,0.47,3.17,1.37,0.01,4.01,1.00,125712315945 ns,1463005847271,1.884 GHz,2001024590544,1.37,776441.85 msec,6.176,1463073270801,1.884 GHz,50,1465998020234,18560111063,776446.42 msec,6.176,1800 C,382793252205,2167279443,0.57%,0,330637926007,3534850,3534850,0,6810493751,2580856968,37.895,644556071354,7826831852,1.21%,374125279,142741093,38.15%,512852903,644250744717,16249710,0.00%,3996770,251716562,6298.00%,0,220
5,Python 3.7.16,binarytrees.py 21,1.00,0.73,0.34,0.17,0.02,0.47,3.17,1.37,0.01,4.03,1.00,125459555394 ns,1463165178249,1.886 GHz,2002018622778,1.37,775609.79 msec,6.182,1463145358979,1.886 GHz,64,1464379257797,18537053449,775614.28 msec,6.182,1727 C,382730423255,2138640505,0.56%,0,330534904124,3534888,3534888,0,6747900394,2544016467,37.701,644417156672,7882491132,1.22%,381909904,138830137,36.35%,563072528,644235013471,15553103,0.00%,7197615,249210676,3462.41%,0,199
6,Python 3.7.16,binarytrees.py 21,1.00,0.73,0.34,0.17,0.02,0.47,3.20,1.38,0.01,3.90,1.00,132119799056 ns,1467478780625,1.887 GHz,2022908154914,1.38,777774.00 msec,5.887,1467297843675,1.887 GHz,773,1468222374483,18588413805,777790.61 msec,5.887,1711 C,387817957546,2193602027,0.57%,0,330576015145,3534845,3534845,0,7052121910,2816205634,39.934,647828704934,8048545234,1.24%,410931654,154375503,37.57%,677084725,647579347406,18351841,0.00%,7615655,253858138,3333.37%,0,788
7,Python 3.7.16,binarytrees.py 21,1.00,0.73,0.34,0.17,0.02,0.47,3.18,1.37,0.01,3.98,1.00,125555036145 ns,1460734221244,1.885 GHz,2000198678448,1.37,774913.54 msec,6.172,1460560292622,1.885 GHz,68,1463261314694,18523247208,774918.15 msec,6.172,1693 C,382506192901,2251209391,0.59%,0,330576311944,3534842,3534842,0,7025772866,2569291104,36.570,644806708442,7796792566,1.21%,398226602,133853347,33.61%,563530235,644431163800,15792284,0.00%,17772806,252593723,1421.24%,0,237
8,Python 3.7.16,binarytrees.py 21,1.00,0.73,0.34,0.17,0.02,0.47,3.18,1.37,0.01,4.05,1.00,125448775725 ns,1459410916677,1.890 GHz,2002625514926,1.37,771969.33 msec,6.154,1459475378222,1.891 GHz,60,1457779556358,18453548551,771974.21 msec,6.154,1809 C,382777154470,2212829613,0.58%,0,330465269728,3535271,3535271,0,6681640109,2611086079,39.079,644530893801,7950041708,1.23%,369893083,136572101,36.92%,540918012,643846537484,15720232,0.00%,6687096,257096547,3844.67%,0,217
9,Python 3.7.16,binarytrees.py 21,1.00,0.73,0.34,0.17,0.02,0.47,3.18,1.37,0.01,4.00,1.00,127277040939 ns,1478933170181,1.887 GHz,2021391963466,1.37,783776.83 msec,6.158,1478738409474,1.887 GHz,74,1479936850253,18734238972,783781.69 msec,6.158,1714 C,387441868676,2362951597,0.61%,0,330473915005,3534827,3534827,0,6787128790,2564524566,37.785,648301324103,7934153463,1.22%,378448058,135829983,35.89%,519069459,648004216007,15827862,0.00%,3934953,252159720,6408.20%,0,307
10,Python 3.7.16,binarytrees.py 21,1.00,0.73,0.34,0.17,0.02,0.47,3.17,1.36,0.01,3.95,1.00,125844761054 ns,1465540874738,1.890 GHz,2000895474682,1.37,775487.32 msec,6.162,1465603034770,1.890 GHz,51,1463899741486,18533738615,775491.71 msec,6.162,1804 C,382747422519,2352201641,0.61%,0,330626437274,3534769,3534769,0,6925864482,2559510822,36.956,644804027856,7767163605,1.20%,379542976,132919784,35.02%,506926993,644252293085,17275121,0.00%,12833157,260412093,2029.21%,0,228
