version,release_date,path,appplication,no_measurement,timestamp,pid,command,time,virt,res,shr,percent_cpu,percent_mem,nTH,P,TIME,SWAP,CODE,DATA,nMaj,nMin,nDRT,USED,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 43
3.6.15,2021-09-04,binaryTrees_21_original_OOflag,binarytrees.py 21,0,1692346868,31564,python,0:00.12,63356928,56332288,6426624,75.0,0.3,1,4,0:00,0,0,50081792,0,13312,0,56332288,280,2,276,2,0,17.8,7.8,0.0,74.4,0.0,0.0,0.0,0.0,15795.0 MiB,9403.9 MiB,1515.3 MiB,4875.8 MiB,4096.0 MiB,4095.7 MiB,0.2 MiB,13575.8 MiB,
3.6.15,2021-09-04,binaryTrees_21_original_OOflag,binarytrees.py 21,1,1692346869,31564,python,0:01.28,684462080,677294080,6426624,100.0,4.1,1,0,0:01,0,0,671186944,0,164864,0,677294080,280,2,276,2,0,11.5,2.3,0.0,85.5,0.0,0.0,0.8,0.0,15795.0 MiB,8813.2 MiB,2105.6 MiB,4876.2 MiB,4096.0 MiB,4095.7 MiB,0.2 MiB,12985.2 MiB,
3.6.15,2021-09-04,binaryTrees_21_original_OOflag,binarytrees.py 21,2,1692346871,31564,python,0:02.47,843321344,836251648,6426624,100.0,5.0,1,4,0:02,0,0,830046208,0,203776,0,836251648,280,2,276,2,0,13.3,0.7,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,8665.1 MiB,2261.7 MiB,4868.2 MiB,4096.0 MiB,4095.7 MiB,0.2 MiB,12837.1 MiB,
3.6.15,2021-09-04,binaryTrees_21_original_OOflag,binarytrees.py 21,3,1692346872,31564,python,0:03.64,342102016,334815232,6426624,100.0,2.0,1,0,0:03,0,0,328826880,0,282624,0,334815232,281,2,277,2,0,10.9,2.3,0.0,86.8,0.0,0.0,0.0,0.0,15795.0 MiB,9153.8 MiB,1773.0 MiB,4868.2 MiB,4096.0 MiB,4095.7 MiB,0.2 MiB,13325.8 MiB,
3.6.15,2021-09-04,binaryTrees_21_original_OOflag,binarytrees.py 21,4,1692346873,31564,python,0:04.40,583020544,424824832,6434816,0.0,2.6,3,3,0:04,0,0,435789824,0,306176,0,424824832,289,9,278,2,0,97.8,2.2,0.0,0.0,0.0,0.0,0.0,0.0,15795.0 MiB,8938.3 MiB,1980.7 MiB,4876.0 MiB,4096.0 MiB,4095.7 MiB,0.2 MiB,13110.2 MiB,
3.6.15,2021-09-04,binaryTrees_21_original_OOflag,binarytrees.py 21,5,1692346874,31564,python,0:04.40,583020544,424824832,6434816,0.0,2.6,3,3,0:04,0,0,435789824,0,306176,0,424824832,289,9,278,2,0,97.8,2.2,0.0,0.0,0.0,0.0,0.0,0.0,15795.0 MiB,8922.6 MiB,1996.1 MiB,4876.2 MiB,4096.0 MiB,4095.7 MiB,0.2 MiB,13094.6 MiB,
3.6.15,2021-09-04,binaryTrees_21_original_OOflag,binarytrees.py 21,6,1692346876,31564,python,0:04.40,583020544,424824832,6434816,0.0,2.6,3,3,0:04,0,0,435789824,0,306176,0,424824832,289,9,278,2,0,97.1,2.9,0.0,0.0,0.0,0.0,0.0,0.0,15795.0 MiB,8925.3 MiB,2001.5 MiB,4868.2 MiB,4096.0 MiB,4095.7 MiB,0.2 MiB,13097.3 MiB,
3.6.15,2021-09-04,binaryTrees_21_original_OOflag,binarytrees.py 21,7,1692346877,31564,python,0:04.40,583020544,424824832,6434816,0.0,2.6,3,3,0:04,0,0,435789824,0,306176,0,424824832,289,9,278,2,0,98.6,1.4,0.0,0.0,0.0,0.0,0.0,0.0,15795.0 MiB,8948.2 MiB,1978.6 MiB,4868.2 MiB,4096.0 MiB,4095.7 MiB,0.2 MiB,13120.1 MiB,
3.6.15,2021-09-04,binaryTrees_21_original_OOflag,binarytrees.py 21,8,1692346878,31564,python,0:04.40,583020544,424824832,6434816,0.0,2.6,3,3,0:04,0,0,435789824,0,306176,0,424824832,289,9,278,2,0,96.4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,15795.0 MiB,8914.7 MiB,2012.1 MiB,4868.2 MiB,4096.0 MiB,4095.7 MiB,0.2 MiB,13086.6 MiB,
3.6.15,2021-09-04,binaryTrees_21_original_OOflag,binarytrees.py 21,9,1692346879,31564,python,0:04.40,583020544,424824832,6434816,0.0,2.6,3,3,0:04,0,0,435789824,0,306176,0,424824832,289,9,278,2,0,96.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,15795.0 MiB,8916.9 MiB,2009.8 MiB,4868.2 MiB,4096.0 MiB,4095.7 MiB,0.2 MiB,13088.9 MiB,
3.6.15,2021-09-04,binaryTrees_21_original_OOflag,binarytrees.py 21,10,1692346881,31564,python,0:04.40,583020544,424824832,6434816,0.0,2.6,3,3,0:04,0,0,435789824,0,306176,0,424824832,289,9,278,2,0,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15795.0 MiB,8930.0 MiB,1996.7 MiB,4868.2 MiB,4096.0 MiB,4095.7 MiB,0.2 MiB,13102.0 MiB,
3.6.15,2021-09-04,binaryTrees_21_original_OOflag,binarytrees.py 21,11,1692346882,31564,python,0:04.40,583020544,424824832,6434816,0.0,2.6,3,3,0:04,0,0,435789824,0,306176,0,424824832,289,9,278,2,0,97.9,2.1,0.0,0.0,0.0,0.0,0.0,0.0,15795.0 MiB,8945.3 MiB,1981.5 MiB,4868.2 MiB,4096.0 MiB,4095.7 MiB,0.2 MiB,13117.3 MiB,
3.6.15,2021-09-04,binaryTrees_21_original_OOflag,binarytrees.py 21,12,1692346883,31564,python,0:04.40,583020544,424824832,6434816,0.0,2.6,3,3,0:04,0,0,435789824,0,306176,0,424824832,289,9,278,2,0,97.1,2.9,0.0,0.0,0.0,0.0,0.0,0.0,15795.0 MiB,8944.0 MiB,1982.8 MiB,4868.2 MiB,4096.0 MiB,4095.7 MiB,0.2 MiB,13115.9 MiB,
3.6.15,2021-09-04,binaryTrees_21_original_OOflag,binarytrees.py 21,13,1692346884,31564,python,0:04.40,583020544,424824832,6434816,0.0,2.6,3,3,0:04,0,0,435789824,0,306176,0,424824832,289,9,278,2,0,97.9,2.1,0.0,0.0,0.0,0.0,0.0,0.0,15795.0 MiB,8912.5 MiB,2014.3 MiB,4868.3 MiB,4096.0 MiB,4095.7 MiB,0.2 MiB,13084.5 MiB,
3.6.15,2021-09-04,binaryTrees_21_original_OOflag,binarytrees.py 21,14,1692346886,31564,python,0:04.40,583020544,424824832,6434816,0.0,2.6,3,3,0:04,0,0,435789824,0,306176,0,424824832,289,9,278,2,0,97.9,2.1,0.0,0.0,0.0,0.0,0.0,0.0,15795.0 MiB,8932.2 MiB,1994.5 MiB,4868.3 MiB,4096.0 MiB,4095.7 MiB,0.2 MiB,13104.2 MiB,
3.6.15,2021-09-04,binaryTrees_21_original_OOflag,binarytrees.py 21,15,1692346887,31564,python,0:04.40,583020544,424824832,6434816,0.0,2.6,3,3,0:04,0,0,435789824,0,306176,0,424824832,289,9,278,2,0,98.6,1.4,0.0,0.0,0.0,0.0,0.0,0.0,15795.0 MiB,8942.7 MiB,1984.0 MiB,4868.3 MiB,4096.0 MiB,4095.7 MiB,0.2 MiB,13114.7 MiB,
3.6.15,2021-09-04,binaryTrees_21_original_OOflag,binarytrees.py 21,16,1692346888,31564,python,0:04.40,583020544,424824832,6434816,0.0,2.6,3,3,0:04,0,0,435789824,0,306176,0,424824832,289,9,278,2,0,95.8,4.2,0.0,0.0,0.0,0.0,0.0,0.0,15795.0 MiB,8943.7 MiB,1983.1 MiB,4868.3 MiB,4096.0 MiB,4095.7 MiB,0.2 MiB,13115.7 MiB,
3.6.15,2021-09-04,binaryTrees_21_original_OOflag,binarytrees.py 21,17,1692346889,31564,python,0:04.40,583020544,424824832,6434816,0.0,2.6,3,3,0:04,0,0,435789824,0,306176,0,424824832,289,9,278,2,0,97.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,15795.0 MiB,8932.0 MiB,1993.0 MiB,4870.0 MiB,4096.0 MiB,4095.7 MiB,0.2 MiB,13105.7 MiB,
3.6.15,2021-09-04,binaryTrees_21_original_OOflag,binarytrees.py 21,18,1692346891,31564,python,0:04.40,583020544,424824832,6434816,0.0,2.6,3,3,0:04,0,0,435789824,0,306176,0,424824832,289,9,278,2,0,99.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,15795.0 MiB,8940.2 MiB,1984.8 MiB,4870.0 MiB,4096.0 MiB,4095.7 MiB,0.2 MiB,13113.9 MiB,
