test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.5.10,binarytrees.py 21,0.062007,1169,1693178723.101987,-,-,1893,49.70,3808,1896,0.60,854,0,22,3786,910,72,49,0,19,0,0,0.07,27.11,10.92,0.98,6.07,0.00,5.82,0.00,0.00,40.34,0.38,5.60,3.97,64,64,77.41,300,300,277.78,99.38,21.57,21.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.94,1.69,0.01,0.12,0.00,0.00
2,Python 3.5.10,binarytrees.py 21,0.058754,1073,1693178723.196583,-,-,1647,43.17,3813,1897,0.68,621,0,5,2213,1203,218,115,0,10,0,0,0.02,21.66,16.19,5.63,10.52,0.00,3.33,0.00,0.00,47.06,0.87,5.93,2.97,67,67,86.80,300,300,257.44,99.31,11.30,11.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,1.54,0.01,0.10,0.00,0.00
3,Python 3.5.10,binarytrees.py 21,0.058286,1136,1693178723.286835,-,-,1634,42.87,3808,1897,0.70,640,0,15,2325,961,139,123,0,12,0,0,0.04,27.45,12.96,3.69,9.10,0.00,4.27,0.00,0.00,50.18,1.13,4.23,1.59,69,70,90.93,300,300,252.33,99.16,8.04,7.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,1.56,0.01,0.10,0.00,0.00
4,Python 3.5.10,binarytrees.py 21,0.058006,1075,1693178723.378935,-,-,1665,43.55,3817,1899,0.70,613,0,13,2052,1287,158,68,0,16,0,0,0.04,18.42,17.84,5.54,9.62,0.00,5.49,0.00,0.00,42.28,3.38,7.41,3.39,69,69,86.20,300,300,255.11,99.17,12.88,12.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,1.54,0.01,0.10,0.00,0.00
5,Python 3.5.10,binarytrees.py 21,0.052195,1229,1693178723.460699,-,-,898,23.51,3818,1896,0.83,392,0,1,321,792,503,296,0,19,0,0,0.02,8.79,19.93,18.47,20.75,0.00,8.37,0.00,0.00,49.52,9.71,11.33,5.93,64,66,90.05,300,300,163.77,97.41,8.60,8.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.96,0.00,0.06,0.00,0.00
6,Python 3.5.10,binarytrees.py 21,0.051381,1073,1693178723.540829,-,-,921,24.18,3808,1897,0.82,405,0,5,350,852,472,255,0,36,0,0,0.02,9.10,23.20,17.52,16.83,0.00,9.38,0.00,0.00,53.26,7.27,8.52,6.78,66,66,85.63,300,300,168.77,98.97,13.53,13.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.14,0.96,0.01,0.06,0.00,0.00
7,Python 3.5.10,binarytrees.py 21,0.051146,1075,1693178723.621307,-,-,944,24.55,3842,1898,0.82,394,0,1,378,920,442,257,0,16,0,0,0.01,9.89,23.97,13.96,17.32,0.00,10.26,0.00,0.00,53.59,4.32,9.32,8.22,64,68,86.03,300,300,171.79,97.95,14.69,14.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.99,0.01,0.06,0.00,0.00
8,Python 3.5.10,binarytrees.py 21,0.051520,1179,1693178723.701817,-,-,919,24.08,3814,1896,0.82,405,0,2,393,894,421,260,0,16,0,0,0.00,10.10,23.08,13.60,18.36,0.00,10.85,0.00,0.00,53.17,5.31,8.34,9.10,65,67,83.46,300,300,167.64,98.53,14.16,13.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,0.97,0.01,0.06,0.00,0.00
9,Python 3.5.10,binarytrees.py 21,0.051436,1135,1693178723.782509,-,-,919,24.05,3819,1896,0.83,402,0,1,347,885,466,311,0,19,0,0,0.00,8.27,21.55,16.04,22.95,0.00,7.22,0.00,0.00,49.82,7.53,14.80,3.80,65,66,85.54,300,300,169.86,98.18,13.81,13.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.19,0.98,0.01,0.06,0.00,0.00
10,Python 3.5.10,binarytrees.py 21,0.052289,1138,1693178723.864398,-,-,911,23.92,3811,1896,0.82,393,0,1,294,929,502,259,0,27,0,0,0.00,7.17,23.32,19.09,17.03,0.00,9.47,0.00,0.00,50.04,10.59,8.27,7.17,66,67,86.06,300,300,164.14,98.08,13.49,12.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,0.96,0.01,0.06,0.00,0.00
