python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
Python 2.5.6,binarytrees.py 21,0.0422663,1068.4,1686570508.995146,0.00,0.00,765.50,19.46,3968.30,1898.50,0.91,321.10,0.00,2.80,483.30,169.20,82.90,164.30,0.00,68.50,0.00,1.30,0.01,6.40,4.71,6.66,24.65,0.00,37.06,0.00,0.52,32.33,14.15,24.89,9.17,60.50,60.80,70.38,300.00,300.00,140.54,94.20,28.18,26.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.71,0.01,0.05,0.00,0.00
Python 2.7.18,binarytrees.py 21,0.0458384,1080.7,1686570509.878267,0.00,0.00,762.80,20.75,3886.00,1898.40,0.94,332.00,0.00,2.90,433.90,192.10,95.40,162.20,0.00,75.80,0.00,0.90,0.01,7.14,5.04,6.17,21.32,0.00,38.85,0.00,0.23,32.38,13.76,21.88,11.24,64.10,64.50,77.03,300.00,300.00,142.34,94.71,21.11,19.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.77,0.01,0.05,0.00,0.00
Python 3.0.1,binarytrees.py 21,0.0555641,1126.8,1686570510.842959,0.00,0.00,763.30,26.05,3485.50,1896.20,0.95,390.70,0.00,4.40,283.80,288.40,153.30,206.50,0.20,74.70,0.00,5.20,0.02,5.17,6.58,6.50,20.57,0.01,33.20,0.00,1.35,31.05,11.49,19.05,12.36,67.50,68.00,82.66,300.00,300.00,164.51,95.17,16.30,15.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.06,0.87,0.01,0.05,0.00,0.00
Python 3.4.10,binarytrees.py 21,0.0617378,1124.5,1686570512.031304,0.00,0.00,685.20,23.57,3612.30,1932.30,0.98,736.30,0.00,1.50,416.10,151.80,79.70,193.50,0.00,93.00,0.00,1.70,0.01,6.14,3.13,5.59,23.22,0.00,38.48,0.00,0.69,29.46,13.18,20.59,13.20,68.40,68.80,82.50,300.00,300.00,154.11,95.19,18.10,16.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.88,0.01,0.06,0.00,0.00
Python 3.5.10,binarytrees.py 21,0.0509084,1333.2,1686570513.038285,0.00,0.00,738.60,20.72,3772.50,1915.60,0.98,338.70,0.00,1.80,236.40,282.40,151.60,201.10,0.00,80.10,0.00,0.70,0.01,5.77,7.33,7.29,22.78,0.00,35.43,0.00,0.58,34.43,11.09,20.65,13.11,68.00,69.70,87.21,300.00,300.00,145.71,95.11,12.45,11.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,0.85,0.01,0.05,0.00,0.00
Python 2.5.6,binarytrees.py 21,0.0427704,1080.9,1686570734.127430,0.00,0.00,818.75,21.00,3938.05,1897.40,0.89,281.15,0.00,3.10,411.10,319.25,165.15,184.50,0.05,58.05,0.00,0.65,0.01,6.84,8.69,9.05,22.64,0.00,31.09,0.00,0.26,36.74,13.28,20.88,8.11,60.05,60.45,73.13,300.00,300.00,150.25,95.10,25.55,23.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.75,0.01,0.05,0.00,0.00
Python 2.7.18,binarytrees.py 21,0.0481298,1334.7,1686570855.144493,0.00,0.00,1072.10,28.53,3859.45,1892.50,0.86,373.05,0.00,7.10,897.40,506.55,185.60,171.00,0.00,45.90,0.00,0.45,0.02,11.78,11.27,8.14,17.32,0.00,22.46,0.00,0.12,40.28,9.89,14.74,6.56,63.60,64.45,79.45,300.00,300.00,182.26,96.33,18.68,17.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.17,0.99,0.01,0.06,0.00,0.00
Python 3.0.1,binarytrees.py 21,0.0546631,1323.7,1686570976.166784,0.00,0.00,1007.35,29.43,3660.10,1895.20,0.87,395.80,0.00,6.50,922.45,593.10,219.05,194.80,0.10,50.05,0.00,2.60,0.02,11.56,11.57,7.64,17.82,0.01,21.05,0.00,0.67,39.70,8.44,14.36,8.08,65.20,66.00,82.21,300.00,300.00,185.82,96.81,16.89,16.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.22,1.03,0.01,0.07,0.00,0.00
Python 3.4.10,binarytrees.py 21,0.0581394,1131.1,1686571097.227206,0.00,0.00,953.45,27.78,3723.60,1913.75,0.87,619.00,0.00,4.05,894.85,528.75,182.40,196.00,0.00,60.65,0.00,1.15,0.02,10.78,9.92,7.82,19.68,0.00,24.00,0.00,0.43,38.28,9.54,15.69,8.71,65.65,66.10,81.84,300.00,300.00,178.69,96.51,17.86,16.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,1.03,0.01,0.07,0.00,0.00
Python 3.5.10,binarytrees.py 21,0.0540609,1220.35,1686571218.413713,0.00,0.00,1061.10,28.95,3752.40,1911.00,0.85,403.50,0.00,6.80,1135.80,651.75,208.15,174.85,0.00,49.95,0.00,0.35,0.03,12.99,12.10,7.82,17.08,0.00,21.10,0.00,0.29,41.31,7.40,13.69,8.66,65.75,67.15,86.08,300.00,300.00,186.26,97.15,13.54,12.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.29,1.09,0.01,0.07,0.00,0.00
