test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.12.0b1,fibonacci.py 100000,0.297324,1842,1686762435.182113,-,-,500,14.01,3574,1894,1.77,624,0,1,46,85,55,294,0,292,3,94,0.00,0.18,0.72,0.60,6.96,0.00,30.07,0.19,47.10,17.05,2.55,8.30,58.10,77,77,92.49,300,300,110.44,97.38,7.06,7.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.43,3.53,0.02,0.26,0.00,0.00
2,Python 3.12.0b1,fibonacci.py 100000,0.306637,1532,1686762435.533680,-,-,1126,31.67,3558,1895,1.24,6014,0,19,1904,700,248,290,3,315,1,99,0.01,6.18,3.60,1.20,4.28,0.09,29.42,0.12,23.18,25.24,0.59,3.49,39.01,77,78,93.60,300,300,185.95,98.82,5.89,5.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.68,5.67,0.02,0.41,0.00,0.00
3,Python 3.12.0b1,fibonacci.py 100000,0.298141,1550,1686762435.873301,-,-,735,20.75,3544,1896,1.41,1161,0,20,965,900,489,636,0,332,2,98,0.02,2.67,5.39,4.33,9.99,0.00,31.82,0.00,24.61,26.49,3.48,6.34,42.95,77,77,93.92,300,300,144.03,97.72,5.57,5.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.45,4.44,0.01,0.32,0.00,0.00
4,Python 3.12.0b1,fibonacci.py 100000,0.280351,1550,1686762436.195548,-,-,501,13.78,3635,1895,1.84,518,0,0,9,34,70,191,0,282,1,70,0.00,0.14,0.29,1.11,5.02,0.00,33.05,0.39,46.08,15.82,3.20,5.98,61.22,75,76,96.66,300,300,109.62,98.94,3.03,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.21,3.50,0.01,0.22,0.00,0.00
5,Python 3.12.0b1,fibonacci.py 100000,0.288136,2452,1686762436.523948,-,-,613,17.49,3514,1891,1.56,848,0,4,1872,835,241,321,0,236,0,78,0.00,5.76,3.70,2.01,5.03,0.00,25.31,0.00,40.39,23.74,1.51,3.73,53.53,76,76,96.48,300,300,126.83,98.62,2.95,2.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.72,3.88,0.01,0.27,0.00,0.00
6,Python 3.12.0b1,fibonacci.py 100000,0.290586,1500,1686762436.855242,-,-,685,19.67,3483,1896,1.46,847,0,6,1610,867,286,160,0,169,0,100,0.00,6.68,3.35,1.34,2.79,0.00,22.36,0.00,43.77,23.55,0.68,1.87,54.24,76,76,97.39,300,300,136.60,99.10,2.34,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.93,4.07,0.00,0.29,0.00,0.00
7,Python 3.12.0b1,fibonacci.py 100000,0.284137,2211,1686762437.180616,-,-,557,15.41,3620,1894,1.72,611,0,3,444,183,122,213,0,203,1,110,0.00,2.00,1.90,1.20,4.73,0.00,27.48,0.24,46.75,20.06,2.52,4.24,57.77,75,77,96.78,300,300,117.49,98.54,2.65,2.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,3.77,0.01,0.24,0.00,0.00
8,Python 3.12.0b1,fibonacci.py 100000,0.285135,2342,1686762437.504676,-,-,618,17.43,3550,1894,1.56,854,0,22,1827,925,208,274,1,297,1,105,0.02,6.73,5.15,1.42,4.77,0.01,27.78,0.70,35.74,27.43,1.30,3.21,50.63,74,76,96.45,300,300,127.84,98.42,3.09,3.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.85,3.95,0.01,0.28,0.00,0.00
9,Python 3.12.0b1,fibonacci.py 100000,0.290853,1509,1686762437.834449,-,-,673,18.89,3561,1895,1.49,930,0,14,778,605,388,692,0,208,1,64,0.01,3.09,3.60,4.33,12.26,0.00,20.97,0.00,36.52,24.26,4.22,7.61,45.02,75,77,96.96,300,300,135.30,98.21,2.93,2.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.01,4.15,0.00,0.27,0.00,0.00
10,Python 3.12.0b1,fibonacci.py 100000,0.291528,2654,1686762438.167389,-,-,658,18.24,3614,1892,1.54,879,0,36,429,612,547,713,0,257,0,100,0.02,1.66,3.56,5.32,10.70,0.00,26.07,0.00,33.83,23.83,6.06,6.32,45.55,73,77,96.73,300,300,132.11,97.45,2.83,2.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.03,4.17,0.01,0.27,0.00,0.00
