test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.7.16,fibonacci.py 100000,0.280516,1288,1686825900.184644,-,-,569,14.55,3913,1895,1.70,726,0,0,108,98,90,312,0,338,2,122,0.00,0.78,0.57,1.12,7.66,0.00,35.15,0.01,39.96,17.96,2.66,8.75,56.09,68,68,91.26,300,300,112.62,96.82,8.40,8.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.04,3.99,0.03,0.32,0.00,0.00
2,Python 3.7.16,fibonacci.py 100000,0.282063,1310,1686825900.509846,-,-,698,18.99,3674,1896,1.50,975,0,70,2519,680,194,187,1,228,2,77,0.04,6.23,2.34,1.84,3.14,0.00,30.22,0.12,37.10,22.09,1.24,1.85,55.83,68,68,97.14,300,300,130.91,99.22,2.71,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.21,4.15,0.01,0.33,0.00,0.00
3,Python 3.7.16,fibonacci.py 100000,0.318867,2306,1686825900.866716,-,-,754,26.86,2813,1892,1.40,1333,0,11,1099,953,657,990,1,392,3,66,0.01,5.39,4.63,5.90,13.86,0.00,30.09,0.39,12.56,28.40,5.63,7.19,31.93,69,69,93.77,300,300,168.86,98.45,5.58,5.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.49,4.41,0.02,0.39,0.00,0.00
4,Python 3.7.16,fibonacci.py 100000,0.280135,1371,1686825901.185077,-,-,577,15.43,3741,1896,1.71,795,0,11,167,126,99,338,1,543,0,75,0.01,1.34,1.63,1.64,8.51,0.02,52.98,0.00,18.27,20.71,3.82,9.29,50.76,67,68,97.10,300,300,120.97,98.53,2.58,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.78,3.83,0.01,0.30,0.00,0.00
5,Python 3.7.16,fibonacci.py 100000,0.311036,1239,1686825901.535835,-,-,656,23.05,2847,1896,1.45,1093,0,13,953,1465,651,632,0,378,3,173,0.01,2.83,6.62,4.17,10.32,0.00,26.46,0.29,26.22,25.55,2.14,8.80,40.45,71,71,95.81,300,300,150.35,98.76,3.89,3.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.93,4.03,0.01,0.36,0.00,0.00
6,Python 3.7.16,fibonacci.py 100000,0.292437,1332,1686825901.872556,-,-,720,20.55,3504,1896,1.42,993,0,5,1703,749,345,240,0,376,1,173,0.00,6.65,2.87,1.59,5.05,0.00,31.13,0.04,31.89,24.60,1.08,5.95,47.82,69,70,95.41,300,300,143.66,98.38,4.29,4.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.10,4.18,0.01,0.37,0.00,0.00
7,Python 3.7.16,fibonacci.py 100000,0.287728,4708,1686825902.200528,-,-,534,14.62,3683,1879,1.75,660,0,5,54,46,72,321,0,373,0,65,0.00,0.33,0.45,0.90,9.06,0.00,35.42,0.00,38.33,16.14,2.52,9.76,56.95,70,70,94.88,300,300,111.90,98.67,3.90,3.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.40,3.58,0.01,0.30,0.00,0.00
8,Python 3.7.16,fibonacci.py 100000,0.311815,1404,1686825902.548765,-,-,661,24.16,2735,1896,1.48,1062,0,10,1120,1507,796,669,0,305,1,98,0.01,2.90,7.69,5.75,7.42,0.00,23.73,0.50,27.83,26.75,3.26,5.17,40.65,66,68,95.89,300,300,155.09,99.09,3.92,3.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.92,4.00,0.01,0.35,0.00,0.00
9,Python 3.7.16,fibonacci.py 100000,0.351333,1597,1686825902.940429,-,-,738,31.27,2361,1895,1.38,1858,0,324,1600,886,681,905,0,270,0,102,0.05,4.22,4.57,5.51,10.52,0.00,22.79,0.00,20.93,25.42,4.23,6.60,32.48,66,67,96.49,300,300,181.46,98.58,3.21,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.24,4.24,0.01,0.41,0.00,0.00
10,Python 3.7.16,fibonacci.py 100000,0.282370,6620,1686825903.255956,-,-,527,14.14,3760,1878,1.80,583,0,0,49,47,82,217,0,260,1,64,0.00,0.55,0.34,0.90,5.47,0.00,31.49,0.77,45.43,15.84,2.82,8.09,59.10,66,66,93.49,300,300,108.09,98.16,4.29,4.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.39,3.59,0.01,0.29,0.00,0.00
