test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.10.11,fibonacci.py 4300,0.071307,1271,1686762548.193093,-,-,1292,41.10,3143,1896,0.69,620,0,2,1870,1104,221,139,0,22,0,0,0.01,21.47,16.66,4.76,7.63,0.00,8.69,0.00,0.00,46.71,0.95,5.93,5.31,70,70,74.33,300,300,244.04,99.25,24.12,23.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,1.08,0.02,0.12,0.00,0.00
2,Python 3.10.11,fibonacci.py 4300,0.067429,1480,1686762548.307227,-,-,557,19.89,2800,1895,0.92,375,0,3,320,189,145,209,0,105,0,0,0.01,5.49,7.21,5.50,19.12,0.00,42.91,0.00,0.00,30.98,7.47,17.87,23.78,66,67,88.98,300,300,140.90,98.91,10.51,10.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.48,0.01,0.05,0.00,0.00
3,Python 3.10.11,fibonacci.py 4300,0.066222,1343,1686762548.413654,-,-,595,21.09,2819,1899,0.96,382,0,0,439,267,114,319,0,106,0,1,0.00,6.94,8.75,5.80,28.20,0.00,29.23,0.00,0.31,36.33,8.43,24.71,9.45,69,69,93.62,300,300,155.29,99.22,5.83,5.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.52,0.00,0.06,0.00,0.00
4,Python 3.10.11,fibonacci.py 4300,0.056671,1133,1686762548.507346,-,-,847,24.81,3409,1898,0.86,412,0,18,1053,431,120,201,0,37,0,0,0.05,17.69,12.15,5.52,20.01,0.00,20.18,0.00,0.00,46.32,4.19,12.59,12.09,72,72,82.93,300,300,167.45,99.34,16.34,16.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.80,0.01,0.06,0.00,0.00
5,Python 3.10.11,fibonacci.py 4300,0.055204,1244,1686762548.595685,-,-,485,14.26,3400,1897,1.05,277,0,0,10,43,50,229,0,106,1,3,0.00,0.84,2.22,2.93,32.68,0.00,46.30,0.01,0.87,22.89,11.40,34.47,16.98,69,71,88.76,300,300,114.00,98.29,11.07,11.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.53,0.01,0.04,0.00,0.00
6,Python 3.10.11,fibonacci.py 4300,0.096155,1620,1686762548.747570,-,-,308,16.69,1841,1904,1.03,407,0,1,43,36,25,197,0,233,0,19,0.00,1.31,0.61,0.97,17.98,0.00,61.22,0.00,1.68,22.11,1.49,22.20,37.51,61,62,92.56,300,300,131.99,99.56,7.16,7.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.27,0.01,0.05,0.00,0.00
7,Python 3.10.11,fibonacci.py 4300,0.063525,1421,1686762548.853490,-,-,409,14.10,2900,1896,1.13,280,0,0,15,30,47,182,0,155,0,12,0.00,2.17,0.78,3.14,19.83,0.00,53.42,0.00,6.65,23.14,13.18,26.18,23.40,65,66,88.15,300,300,114.41,98.55,10.84,10.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.42,0.01,0.04,0.00,0.00
8,Python 3.10.11,fibonacci.py 4300,0.056267,1289,1686762548.945846,-,-,470,14.20,3309,1895,1.06,282,0,0,13,48,57,173,0,148,0,0,0.00,1.34,1.86,4.05,23.31,0.00,55.25,0.00,0.00,23.65,11.38,26.42,24.34,69,70,87.08,300,300,113.96,98.18,12.22,12.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.50,0.01,0.04,0.00,0.00
9,Python 3.10.11,fibonacci.py 4300,0.058331,1317,1686762549.042303,-,-,450,14.06,3200,1896,1.06,289,0,1,14,32,62,216,0,122,0,3,0.01,0.65,1.03,5.67,22.75,0.00,54.23,0.00,1.70,21.59,14.24,27.79,22.33,68,69,82.29,300,300,113.82,98.50,15.24,15.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.48,0.01,0.04,0.00,0.00
10,Python 3.10.11,fibonacci.py 4300,0.061000,1202,1686762549.144008,-,-,858,26.67,3214,1898,0.80,405,0,9,776,587,192,309,0,44,0,0,0.05,12.53,12.37,6.95,28.36,0.00,13.50,0.00,0.00,42.49,4.09,18.26,8.49,72,72,85.25,300,300,178.17,99.45,15.33,15.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.77,0.01,0.07,0.00,0.00
