test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.5.10,fibonacci_oldVersions.py 506999,5.597797,1179,1686840844.329334,-,-,442,13.25,3338,1896,2.22,4729,0,183,3107,1655,287,274,2,1364,13,1277,0.01,0.52,0.26,0.09,0.29,0.00,9.45,0.24,75.89,13.69,0.09,0.29,72.67,79,80,98.56,300,300,103.87,99.69,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.33,49.91,0.03,5.26,0.00,0.00
2,Python 3.5.10,fibonacci_oldVersions.py 506999,5.539122,1151,1686840849.906212,-,-,445,13.21,3370,1896,2.23,4395,0,12,3100,1495,161,167,6,1407,8,1222,0.00,0.50,0.27,0.05,0.24,0.03,10.14,0.10,75.46,13.73,0.03,0.24,72.79,80,82,98.63,300,300,103.87,99.79,0.92,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.62,50.59,0.03,5.21,0.00,0.00
3,Python 3.5.10,fibonacci_oldVersions.py 506999,5.513444,1209,1686840855.453258,-,-,445,13.17,3381,1896,2.24,4138,0,20,3501,1315,116,136,3,1258,24,1191,0.00,0.52,0.22,0.06,0.20,0.00,9.04,0.48,76.31,13.90,0.05,0.22,72.66,79,80,98.61,300,300,103.97,99.79,0.91,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.53,50.57,0.03,5.20,0.00,0.00
4,Python 3.5.10,fibonacci_oldVersions.py 506999,5.555118,1223,1686840861.043583,-,-,444,13.16,3376,1896,2.22,4267,0,27,3565,1384,131,167,2,1490,14,1096,0.00,0.43,0.23,0.03,0.19,0.01,10.46,0.12,75.35,13.80,0.03,0.26,72.76,77,80,98.52,300,300,104.16,99.79,0.98,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.95,50.78,0.03,5.21,0.00,0.00
5,Python 3.5.10,fibonacci_oldVersions.py 506999,5.526351,1208,1686840866.602902,-,-,448,13.27,3379,1896,2.22,4490,0,60,1425,1549,934,782,1,1302,13,1247,0.00,0.16,0.42,0.37,0.57,0.00,8.31,0.32,76.57,13.90,0.24,0.40,72.19,78,78,98.65,300,300,104.50,99.78,0.98,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.58,50.68,0.03,5.19,0.00,0.00
6,Python 3.5.10,fibonacci_oldVersions.py 506999,5.520692,1184,1686840872.157197,-,-,447,13.26,3374,1896,2.23,4359,0,93,1625,1532,981,796,2,1248,10,1186,0.00,0.29,0.39,0.39,0.57,0.01,8.29,0.15,76.65,14.14,0.20,0.41,71.99,78,80,98.57,300,300,104.75,99.78,0.95,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.62,50.85,0.03,5.18,0.00,0.00
7,Python 3.5.10,fibonacci_oldVersions.py 506999,5.545137,1219,1686840877.736586,-,-,444,13.14,3376,1896,2.23,4168,0,148,3486,1338,129,97,3,1118,15,1186,0.00,0.50,0.16,0.05,0.17,0.01,8.12,0.15,77.69,13.64,0.03,0.21,72.99,80,80,98.64,300,300,103.82,99.79,0.90,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.79,50.56,0.03,5.22,0.00,0.00
8,Python 3.5.10,fibonacci_oldVersions.py 506999,5.949905,1182,1686840883.720874,-,-,511,16.47,3105,1896,2.13,10096,32,2076,4858,2783,525,1559,37,3596,80,2219,0.01,0.93,0.83,0.29,1.66,0.04,18.16,0.51,61.13,17.35,0.25,1.64,64.28,79,79,98.74,300,300,126.56,99.78,0.86,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.31,52.32,0.03,5.79,0.00,0.00
9,Python 3.5.10,fibonacci_oldVersions.py 506999,5.493102,1191,1686840889.248551,-,-,445,13.11,3394,1896,2.24,3971,0,23,3622,1378,151,116,1,1108,2,968,0.00,0.52,0.18,0.04,0.18,0.00,7.81,0.03,78.11,13.57,0.03,0.23,73.06,78,78,98.52,300,300,103.64,99.79,1.06,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.37,50.53,0.04,5.18,0.00,0.00
10,Python 3.5.10,fibonacci_oldVersions.py 506999,5.525980,1193,1686840894.807930,-,-,444,13.14,3382,1896,2.23,4201,0,124,3688,1347,137,109,0,1121,8,1145,0.00,0.62,0.19,0.04,0.25,0.00,8.07,0.20,77.48,13.71,0.02,0.36,72.76,80,80,98.57,300,300,103.78,99.79,0.96,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.66,50.46,0.03,5.20,0.00,0.00
