version,release_date,path,appplication,no_measurement,timestamp,pid,command,time,virt,res,shr,percent_cpu,percent_mem,nTH,P,TIME,SWAP,CODE,DATA,nMaj,nMin,nDRT,USED,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 43
2.5.6,2011-05-26,fibonacci_507000,fibonacci_oldVersions.py 507000,0,1691152076,584365,python,0:00.12,201506816,194076672,3719168,75.0,1.2,1.0,6.0,0:00,0,0,190738432,0.0,46k,0.0,194076672,301,2,283,16,0,12.0,9.8,0.0,77.4,0.8,0.0,0.0,0.0,15795.0 MiB,3770.1 MiB,2170.5 MiB,9854.4 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,12827.0 MiB,
2.5.6,2011-05-26,fibonacci_507000,fibonacci_oldVersions.py 507000,1,1691152077,584365,python,0:01.29,2152898560,2147483648,3719168,93.8,13.0,1.0,6.0,0:01,0,0,2142130176,0.0,512k,0.0,2147483648,301,2,283,16,0,10.7,3.1,0.0,86.3,0.0,0.0,0.0,0.0,15795.0 MiB,1905.9 MiB,4033.8 MiB,9855.2 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,10963.4 MiB,
2.5.6,2011-05-26,fibonacci_507000,fibonacci_oldVersions.py 507000,2,1691152078,584365,python,0:02.47,4124958720,4080218931,3719168,100.0,24.9,1.0,6.0,0:02,0,0,4114190336,0.0,982k,0.0,4080218931,301,2,283,16,0,9.2,6.9,0.0,83.8,0.0,0.0,0.0,0.0,15795.0 MiB,577.9 MiB,5870.7 MiB,9346.4 MiB,4096.0 MiB,4092.2 MiB,3.8 MiB,9134.6 MiB,
2.5.6,2011-05-26,fibonacci_507000,fibonacci_oldVersions.py 507000,3,1691152079,584365,python,0:03.65,6047637504,6012954214,3719168,100.0,36.5,1.0,6.0,0:03,0,0,6036869120,0.0,1.4m,0.0,6012954214,301,2,283,16,0,11.5,17.7,0.0,70.0,0.8,0.0,0.0,0.0,15795.0 MiB,140.9 MiB,7738.8 MiB,7915.3 MiB,4096.0 MiB,4017.0 MiB,79.0 MiB,7329.9 MiB,
2.5.6,2011-05-26,fibonacci_507000,fibonacci_oldVersions.py 507000,4,1691152081,584365,python,0:04.82,8009703424,8053063680,3719168,93.8,48.3,1.0,2.0,0:04,0,0,7998935040,0.0,1.9m,0.0,8053063680,301,2,283,16,0,9.2,8.4,0.0,82.4,0.0,0.0,0.0,0.0,15795.0 MiB,206.4 MiB,9615.1 MiB,5973.5 MiB,4096.0 MiB,3972.0 MiB,124.0 MiB,5499.1 MiB,
2.5.6,2011-05-26,fibonacci_507000,fibonacci_oldVersions.py 507000,5,1691152082,584365,python,0:05.99,9974054912,9985798963,3411968,93.8,60.2,1.0,2.0,0:05,0,0,9963286528,0.0,2.3m,0.0,9985798963,301,3,282,16,0,7.7,11.5,0.0,80.8,0.0,0.0,0.0,0.0,15795.0 MiB,159.3 MiB,11487.0 MiB,4148.6 MiB,4096.0 MiB,3963.2 MiB,132.8 MiB,3609.0 MiB,
2.5.6,2011-05-26,fibonacci_507000,fibonacci_oldVersions.py 507000,6,1691152083,584365,python,0:07.18,11918534246,11918534246,3264512,100.0,71.7,1.0,2.0,0:07,0,0,11918534246,0.0,2.8m,0.0,11918534246,301,2,283,16,0,9.8,9.0,0.0,81.2,0.0,0.0,0.0,0.0,15795.0 MiB,203.1 MiB,13268.9 MiB,2323.0 MiB,4096.0 MiB,3889.5 MiB,206.5 MiB,1840.3 MiB,
2.7.18,2020-04-20,fibonacci_507000,fibonacci_oldVersions.py 507000,0,1691152204,584636,python,0:00.10,260947968,253112320,3985408,58.8,1.5,1.0,3.0,0:00,0,4096,249769984,13.0,61k,0.0,253112320,300,2,282,16,0,15.2,10.6,0.0,73.5,0.8,0.0,0.0,0.0,15795.0 MiB,11326.1 MiB,2164.8 MiB,2304.1 MiB,4096.0 MiB,3879.2 MiB,216.8 MiB,12953.2 MiB,
2.7.18,2020-04-20,fibonacci_507000,fibonacci_oldVersions.py 507000,1,1691152205,584636,python,0:01.27,3455053824,3435973836,3985408,93.8,20.8,1.0,3.0,0:01,0,4096,3443875840,13.0,822k,0.0,3435973836,300,2,282,16,0,6.9,6.9,0.0,86.2,0.0,0.0,0.0,0.0,15795.0 MiB,8291.0 MiB,5207.4 MiB,2296.6 MiB,4096.0 MiB,3879.2 MiB,216.8 MiB,9918.3 MiB,
2.7.18,2020-04-20,fibonacci_507000,fibonacci_oldVersions.py 507000,2,1691152207,584636,python,0:02.44,6770794496,6764573491,3985408,93.8,40.8,1.0,3.0,0:02,0,4096,6759616512,13.0,1.6m,0.0,6764573491,300,2,282,16,0,6.2,8.5,0.0,85.4,0.0,0.0,0.0,0.0,15795.0 MiB,5122.1 MiB,8376.4 MiB,2296.5 MiB,4096.0 MiB,3879.2 MiB,216.8 MiB,6749.4 MiB,
