version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
Python 2.5.6,fibonacci_oldVersions.py 600000,0.99,,,,,,,,,,2.12,10999036788 ns,43421222602,4.010 GHz,<not,(0.00%),10827.27 msec,0.984,43338058372,4.003 GHz,77,20232090932,<not,10827.50 msec,0.984,2214 C,<not,<not,(0.00%),<not,<not,3841359,3841184,174,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),325,31
Python 2.7.18,fibonacci_oldVersions.py 600000,0.99,,,,,,,,,,2.13,7624625931 ns,29214893901,3.950 GHz,<not,(0.00%),7395.88 msec,0.970,29312910169,3.963 GHz,126,13749613701,<not,7396.09 msec,0.970,2252 C,<not,<not,(0.00%),<not,<not,3850548,3850362,185,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),373,152
Python 3.0.1,fibonacci_oldVersions.py 600000,0.99,,,,,,,,,,2.14,9759211171 ns,37982033277,3.978 GHz,<not,(0.00%),9547.11 msec,0.978,37738949974,3.953 GHz,121,17636921967,<not,9547.43 msec,0.978,2203 C,<not,<not,(0.00%),<not,<not,3864577,3864418,158,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),322,38
Python 3.4.10,fibonacci_oldVersions.py 600000,0.99,,,,,,,,,,2.14,7339399080 ns,28465237854,3.973 GHz,<not,(0.00%),7164.75 msec,0.976,28597816535,3.991 GHz,110,13315579583,<not,7165.01 msec,0.976,2221 C,<not,<not,(0.00%),<not,<not,3863706,3863651,55,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),174,73
Python 3.5.10,fibonacci_oldVersions.py 600000,0.99,,,,,,,,,,2.11,10446779067 ns,29906354309,3.907 GHz,<not,(0.00%),7654.21 msec,0.733,30195198235,3.945 GHz,126,14291405517,<not,7654.57 msec,0.733,2107 C,<not,<not,(0.00%),<not,<not,3858274,3857962,311,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),521,109
Python 3.6.15,fibonacci_oldVersions.py 600000,0.99,,,,,,,,,,2.13,9750930880 ns,29646267257,3.954 GHz,<not,(0.00%),7498.33 msec,0.769,29704158766,3.961 GHz,154,13957857293,<not,7498.64 msec,0.769,2217 C,<not,<not,(0.00%),<not,<not,3865697,3865365,331,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),566,91
Python 3.7.16,fibonacci_oldVersions.py 600000,0.99,,,,,,,,,,2.02,8765275414 ns,30607335631,3.856 GHz,<not,(0.00%),7936.56 msec,0.905,30830694655,3.885 GHz,141,14729226120,<not,7936.94 msec,0.905,2232 C,<not,<not,(0.00%),<not,<not,3852616,3852249,366,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),541,227
Python 3.8.16,fibonacci_oldVersions.py 600000,0.99,,,,,,,,,,2.12,7279907328 ns,28332215477,3.982 GHz,<not,(0.00%),7114.20 msec,0.977,28198028456,3.964 GHz,135,13196731259,<not,7114.52 msec,0.977,2240 C,<not,<not,(0.00%),<not,<not,3861396,3861280,115,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),261,264
Python 3.9.16,fibonacci_oldVersions.py 600000,0.99,,,,,,,,,,2.06,9714560043 ns,32296308037,3.945 GHz,<not,(0.00%),8186.01 msec,0.843,32164745814,3.929 GHz,333,15315555178,<not,8186.63 msec,0.843,2228 C,<not,<not,(0.00%),<not,<not,3857529,3856260,1268,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),2028,363
Python 3.10.11,fibonacci_oldVersions.py 600000,0.99,,,,,,,,,,2.13,7658267785 ns,29219959708,3.974 GHz,<not,(0.00%),7351.92 msec,0.960,29398048469,3.999 GHz,102,13696584666,<not,7352.43 msec,0.960,2099 C,<not,<not,(0.00%),<not,<not,3843788,3843682,105,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),234,54
