test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.11.3,fibonacci_oldVersions.py 600000,8.626419,3062,1690404013.015221,-,-,1086,27.91,3890,1896,1.24,215351,0,50801,36659,14575,4343,16891,217,12817,0,0,0.50,2.20,2.18,1.28,9.98,0.09,56.14,0.00,0.00,19.32,0.86,6.38,45.52,68,68,98.66,300,300,168.05,97.93,1.26,1.21,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,202.20,178.22,0.07,6.40,0.00,0.00
2,Python 3.11.3,fibonacci_oldVersions.py 600000,8.834948,1836,1690404022.010305,-,-,886,22.63,3916,1896,1.30,137545,0,27332,30241,12510,4504,19130,275,14109,0,0,0.39,2.52,2.20,1.20,10.16,0.15,60.91,0.00,0.00,20.06,0.76,6.86,49.69,77,77,98.76,300,300,147.44,97.02,1.12,1.06,0.06,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,191.17,166.10,0.06,6.01,0.00,0.00
3,Python 3.11.3,fibonacci_oldVersions.py 600000,8.838324,3111,1690404031.003316,-,-,787,20.35,3866,1896,1.38,119926,0,27421,28315,15519,5653,19822,213,14540,0,0,0.40,2.54,2.49,1.64,11.50,0.08,61.10,0.00,0.00,21.60,1.53,8.37,48.15,76,76,98.79,300,300,138.68,94.07,1.01,0.98,0.28,2.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.67,160.26,0.06,6.14,0.00,0.00
4,Python 3.11.3,fibonacci_oldVersions.py 600000,8.806948,1899,1690404039.998435,-,-,718,18.29,3923,1896,1.42,99257,0,10816,17069,12196,7350,16978,192,17962,0,0,0.20,1.74,2.33,2.30,10.33,0.37,64.36,0.00,0.00,21.02,1.88,7.72,51.09,82,83,98.68,300,300,130.32,96.42,1.15,1.10,0.07,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180.20,154.60,0.07,5.80,0.00,0.00
5,Python 3.11.3,fibonacci_oldVersions.py 600000,8.806256,3763,1690404048.955866,-,-,786,20.75,3787,1896,1.36,98145,0,10690,15793,10421,3931,16420,506,17622,0,0,0.17,1.40,1.94,1.26,9.75,2.22,62.39,0.00,0.00,18.78,0.86,7.20,52.40,78,78,98.67,300,300,135.57,90.40,1.15,1.10,0.39,6.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.76,152.94,0.07,5.73,0.00,0.00
6,Python 3.11.3,fibonacci_oldVersions.py 600000,7.419955,1691,1690404056.605433,-,-,715,18.15,3937,1896,1.52,82509,0,14755,16288,10246,5389,19005,167,17305,0,0,0.25,1.91,2.05,2.00,13.37,0.07,62.14,0.00,0.00,21.74,1.69,10.07,48.35,86,87,98.44,300,300,133.12,97.40,1.37,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.26,135.86,0.07,5.25,0.00,0.00
7,Python 3.11.3,fibonacci_oldVersions.py 600000,10.398165,2002,1690404067.148340,-,-,776,20.99,3697,1896,1.33,106957,0,16210,24274,22847,7978,21381,224,19104,0,0,0.27,1.85,3.37,2.02,10.01,0.11,61.43,0.00,0.00,21.05,2.10,6.47,49.40,80,80,99.11,300,300,136.50,86.72,0.81,0.77,0.89,9.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,199.53,169.82,0.06,6.26,0.00,0.00
8,Python 3.11.3,fibonacci_oldVersions.py 600000,9.835473,1855,1690404077.197528,-,-,916,25.51,3590,1896,1.27,149943,0,29761,31276,33687,8729,22521,361,15689,0,0,0.57,2.64,4.69,2.33,11.45,0.08,53.05,0.00,0.00,24.08,2.07,7.68,40.66,85,85,98.83,300,300,158.02,93.75,1.05,1.00,0.31,3.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,214.70,185.13,0.07,6.92,0.00,0.00
9,Python 3.11.3,fibonacci_oldVersions.py 600000,8.619091,1702,1690404085.971973,-,-,785,20.85,3767,1896,1.36,85018,0,7820,13357,9047,3441,18649,161,18260,0,0,0.15,1.53,1.76,1.21,10.98,0.22,63.17,0.00,0.00,19.80,0.93,7.63,50.79,82,83,98.75,300,300,138.64,95.63,1.18,1.14,0.13,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170.63,145.94,0.07,5.69,0.00,0.00
10,Python 3.11.3,fibonacci_oldVersions.py 600000,11.460128,1700,1690404097.602476,-,-,735,25.90,2836,1896,1.30,107998,0,12012,20199,17766,4647,19440,161,18482,0,0,0.19,1.37,2.24,1.14,9.04,0.17,60.12,0.00,0.00,18.62,0.78,5.94,48.77,76,77,98.90,300,300,158.72,92.25,1.02,1.00,0.54,5.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158.45,124.96,0.07,6.81,0.00,0.00
