test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.10.11,fibonacci_oldVersions.py 600000,8.867179,1847,1690403545.988931,-,-,1041,26.71,3897,1896,1.26,162366,0,32333,32983,13896,3899,17475,164,13487,0,0,0.36,2.03,1.98,1.10,10.09,0.09,57.77,0.00,0.00,18.92,0.79,6.58,47.00,77,77,98.53,300,300,162.89,97.46,1.40,1.32,0.04,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,202.48,178.00,0.07,6.36,0.00,0.00
2,Python 3.10.11,fibonacci_oldVersions.py 600000,7.899879,2827,1690403554.045669,-,-,828,21.84,3793,1896,1.37,97486,0,14204,23213,7671,3285,15955,86,13180,0,0,0.20,1.92,1.49,1.14,10.73,0.04,62.51,0.00,0.00,19.36,0.80,8.30,49.71,75,75,98.39,300,300,144.90,97.44,1.44,1.39,0.04,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,165.91,143.33,0.07,5.53,0.00,0.00
3,Python 3.10.11,fibonacci_oldVersions.py 600000,7.717505,2002,1690403561.955399,-,-,807,20.51,3936,1896,1.41,87447,0,9658,17991,10515,3672,16761,63,12744,0,0,0.16,2.16,2.27,1.31,11.21,0.05,62.19,0.00,0.00,20.57,0.95,8.16,49.81,83,83,98.66,300,300,140.45,97.80,1.18,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,169.10,145.40,0.06,5.57,0.00,0.00
4,Python 3.10.11,fibonacci_oldVersions.py 600000,8.907949,1649,1690403571.015495,-,-,812,21.30,3810,1896,1.35,82935,0,6565,14455,11082,3097,16715,77,14659,0,0,0.11,1.39,1.98,1.09,10.61,0.09,63.24,0.00,0.00,18.32,0.97,8.14,51.27,85,85,98.79,300,300,138.16,92.98,1.09,1.05,0.39,4.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.61,157.56,0.07,5.82,0.00,0.00
5,Python 3.10.11,fibonacci_oldVersions.py 600000,8.400901,2053,1690403579.568946,-,-,582,14.78,3936,1896,1.51,65482,0,8345,14048,11147,5369,14764,808,16248,0,0,0.18,1.95,4.00,2.45,10.85,4.05,61.66,0.00,0.00,21.76,2.67,9.27,51.52,82,82,98.66,300,300,108.03,84.38,1.16,1.10,0.33,6.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.47,126.49,0.06,5.44,0.00,0.00
6,Python 3.10.11,fibonacci_oldVersions.py 600000,7.466329,2017,1690403587.210781,-,-,708,17.91,3956,1896,1.50,74220,0,11677,22566,19979,7193,20971,183,13707,0,0,0.26,2.44,3.97,2.55,13.98,0.03,58.73,0.00,0.00,25.37,3.01,10.00,43.71,87,87,98.21,300,300,131.70,97.28,1.59,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158.46,136.18,0.08,5.29,0.00,0.00
7,Python 3.10.11,fibonacci_oldVersions.py 600000,7.659846,3036,1690403595.018752,-,-,696,18.06,3854,1896,1.49,80509,0,11013,18931,16605,5414,19685,161,16301,0,0,0.23,1.98,3.18,1.94,12.58,0.05,61.92,0.00,0.00,24.11,1.96,8.54,47.33,78,78,99.17,300,300,131.29,97.08,0.78,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.90,128.75,0.04,5.29,0.00,0.00
8,Python 3.10.11,fibonacci_oldVersions.py 600000,9.985384,1613,1690403605.179051,-,-,977,26.96,3623,1896,1.24,145643,0,13213,19712,20235,4951,17047,152,16059,0,0,0.25,1.91,2.89,1.34,8.70,0.05,57.84,0.00,0.00,19.30,1.03,6.35,46.36,86,86,98.77,300,300,160.16,93.80,1.10,1.05,0.34,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,218.17,188.34,0.08,7.12,0.00,0.00
9,Python 3.10.11,fibonacci_oldVersions.py 600000,9.611007,2992,1690403614.941996,-,-,863,23.52,3669,1896,1.30,117373,0,11633,19856,20552,7682,18820,422,17555,0,0,0.20,2.22,3.38,2.24,9.55,1.39,57.46,0.00,0.00,21.83,1.58,6.14,46.93,78,78,98.89,300,300,150.43,92.97,1.01,0.98,0.31,3.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,197.81,169.30,0.07,6.58,0.00,0.00
10,Python 3.10.11,fibonacci_oldVersions.py 600000,12.180570,1952,1690403627.302184,-,-,708,24.62,2877,1896,1.33,111600,0,11581,20588,13860,4452,21730,96,20188,0,0,0.14,1.39,1.85,1.13,9.70,0.04,61.25,0.00,0.00,19.28,1.07,6.39,48.64,74,75,98.90,300,300,155.61,96.40,1.02,1.00,0.21,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166.05,130.30,0.07,7.12,0.00,0.00
