version,release_date,path,appplication,no_measurement,timestamp,pid,command,time,virt,res,shr,percent_cpu,percent_mem,nTH,P,TIME,SWAP,CODE,DATA,nMaj,nMin,nDRT,USED,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 43
2.5.6,2011-05-26,fibonacci_600000_2,fibonacci_oldVersions.py 600000,0,1691308287,671032,python,0:00.12,208023552,200605696,3702784,70.6,1.2,1.0,2.0,0:00,0,0,197255168,17,48k,0.0,200605696,299,2,281,16,0,13.6,10.0,0.0,73.6,2.9,0.0,0.0,0.0,15795.0 MiB,14766.1 MiB,686.2 MiB,342.8 MiB,4096.0 MiB,2181.6 MiB,1914.4 MiB,14738.6 MiB,
2.5.6,2011-05-26,fibonacci_600000_2,fibonacci_oldVersions.py 600000,1,1691308289,671032,python,0:01.30,2188193792,2147483648,3702784,100.0,13.2,1.0,2.0,0:01,0,0,2177425408,17,520k,0.0,2147483648,299,2,281,16,0,9.8,6.0,0.0,83.5,0.8,0.0,0.0,0.0,15795.0 MiB,12873.1 MiB,2577.7 MiB,344.2 MiB,4096.0 MiB,2182.3 MiB,1913.7 MiB,12847.5 MiB,
2.5.6,2011-05-26,fibonacci_600000_2,fibonacci_oldVersions.py 600000,2,1691308290,671032,python,0:02.47,4182396928,4187593113,3702784,93.8,25.2,1.0,2.0,0:02,0,0,4171628544,17,996k,0.0,4187593113,299,2,281,16,0,10.2,3.9,0.0,85.2,0.8,0.0,0.0,0.0,15795.0 MiB,10966.4 MiB,4486.9 MiB,341.7 MiB,4096.0 MiB,2182.6 MiB,1913.4 MiB,10940.8 MiB,
2.5.6,2011-05-26,fibonacci_600000_2,fibonacci_oldVersions.py 600000,3,1691308291,671032,python,0:03.64,6189142016,6227702579,3702784,93.8,37.3,1.0,2.0,0:03,0,0,6178373632,17,1.4m,0.0,6227702579,299,2,281,16,0,10.0,4.6,0.0,83.8,1.5,0.0,0.0,0.0,15795.0 MiB,9048.1 MiB,6405.2 MiB,341.7 MiB,4096.0 MiB,2182.8 MiB,1913.2 MiB,9022.5 MiB,
2.5.6,2011-05-26,fibonacci_600000_2,fibonacci_oldVersions.py 600000,4,1691308292,671032,python,0:04.81,8199774208,8160437862,3702784,93.8,49.5,1.0,2.0,0:04,0,0,8189005824,17,1.9m,0.0,8160437862,299,2,281,16,0,10.7,5.3,0.0,83.2,0.8,0.0,0.0,0.0,15795.0 MiB,7127.1 MiB,8326.0 MiB,341.9 MiB,4096.0 MiB,2183.1 MiB,1912.9 MiB,7101.7 MiB,
2.5.6,2011-05-26,fibonacci_600000_2,fibonacci_oldVersions.py 600000,5,1691308293,671032,python,0:05.98,10212651008,10200547328,3702784,93.8,61.6,1.0,2.0,0:05,0,0,10201882624,17,2.4m,0.0,10200547328,299,2,281,16,0,8.5,5.4,0.0,85.3,0.8,0.0,0.0,0.0,15795.0 MiB,5202.6 MiB,10250.4 MiB,341.9 MiB,4096.0 MiB,2183.3 MiB,1912.7 MiB,5177.2 MiB,
2.5.6,2011-05-26,fibonacci_600000_2,fibonacci_oldVersions.py 600000,6,1691308294,671032,python,0:07.15,12240656793,12240656793,3702784,93.8,73.8,1.0,2.0,0:07,0,0,12240656793,17,2.8m,0.0,12240656793,299,2,281,16,0,8.3,7.5,0.0,82.7,1.5,0.0,0.0,0.0,15795.0 MiB,3276.7 MiB,12176.4 MiB,341.9 MiB,4096.0 MiB,2184.1 MiB,1911.9 MiB,3251.3 MiB,
2.5.6,2011-05-26,fibonacci_600000_2,fibonacci_oldVersions.py 600000,7,1691308296,671032,python,0:08.33,14280766259,14280766259,3702784,100.0,86.0,1.0,6.0,0:08,0,0,14280766259,17,3.3m,0.0,14280766259,299,2,281,16,0,9.2,6.1,0.0,84.7,0.0,0.0,0.0,0.0,15795.0 MiB,1345.6 MiB,14107.5 MiB,341.9 MiB,4096.0 MiB,2184.6 MiB,1911.4 MiB,1320.2 MiB,
2.5.6,2011-05-26,fibonacci_600000_2,fibonacci_oldVersions.py 600000,8,1691308297,671032,python,0:09.59,15676630630,15676630630,1675264,77.8,94.8,1.0,2.0,0:09,0,0,15676630630,17,3.7m,0.0,15676630630,299,3,280,16,0,1.9,32.7,0.0,63.5,1.9,0.0,0.0,0.0,15795.0 MiB,134.7 MiB,15463.5 MiB,196.8 MiB,4096.0 MiB,2175.3 MiB,1920.7 MiB,26.8 MiB,
2.5.6,2011-05-26,fibonacci_600000_2,fibonacci_oldVersions.py 600000,9,1691308298,671032,python,0:10.76,16642998272,15354508083,876544,70.6,92.9,1.0,5.0,0:10,1181116006,0,16642998272,21,3.9m,0.0,16642998272,299,6,277,16,0,7.4,44.4,0.0,43.7,4.4,0.0,0.0,0.0,15795.0 MiB,145.0 MiB,15464.0 MiB,185.9 MiB,4096.0 MiB,991.4 MiB,3104.6 MiB,40.6 MiB,
