test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.12.0b1,fibonacci_oldVersions.py 600000,17.297766,1752,1691314215.712282,-,-,632,16.16,3912,1896,1.26,999620,0,435734,273961,106083,8354,16629,3699,30142,8006,121979,2.37,5.28,8.17,0.91,2.17,0.19,8.78,0.66,57.83,36.88,3.96,1.31,41.69,70,70,98.90,300,300,110.15,72.03,1.04,0.89,0.55,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,291.58,240.16,0.12,10.20,0.00,0.00
2,Python 3.12.0b1,fibonacci_oldVersions.py 600000,15.953565,1666,1691314231.817067,-,-,704,18.03,3908,1896,1.27,1246664,0,524554,346550,88225,7650,14184,2967,24397,6545,101887,2.65,5.67,7.11,0.88,2.02,0.17,9.59,0.54,56.17,34.48,3.36,1.26,42.88,81,81,98.94,300,300,120.37,76.49,0.98,0.85,0.62,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,294.31,246.39,0.10,9.78,0.00,0.00
3,Python 3.12.0b1,fibonacci_oldVersions.py 600000,17.005318,1341,1691314249.003855,-,-,631,16.11,3915,1896,1.28,1091381,0,444280,289857,99790,8424,15253,3847,28305,9016,112599,2.34,5.24,7.93,0.91,2.02,0.21,7.68,0.75,59.29,36.04,3.14,1.22,43.48,82,82,98.89,300,300,109.89,72.50,1.03,0.85,0.93,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.91,249.63,0.12,9.97,0.00,0.00
4,Python 3.12.0b1,fibonacci_oldVersions.py 600000,15.939938,1552,1691314265.074405,-,-,685,17.55,3902,1896,1.27,1058176,0,452065,291644,100793,9968,18292,3333,26545,7771,104036,2.57,4.64,8.23,1.07,2.55,0.16,9.50,0.50,55.95,35.75,3.34,1.21,42.14,82,82,98.83,300,300,118.66,76.02,1.06,0.90,0.32,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,297.04,248.60,0.12,9.75,0.00,0.00
5,Python 3.12.0b1,fibonacci_oldVersions.py 600000,17.204347,1460,1691314282.409983,-,-,600,15.42,3888,1896,1.30,942305,0,384193,253999,104709,8704,18234,3472,31466,8324,119849,2.24,5.02,8.01,0.94,2.61,0.19,10.47,2.48,54.97,36.47,4.23,1.51,42.37,80,82,98.73,300,300,107.07,72.21,1.19,0.97,0.77,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,296.15,243.75,0.14,10.12,0.00,0.00
6,Python 3.12.0b1,fibonacci_oldVersions.py 600000,19.922021,1549,1691314302.464546,-,-,731,27.83,2626,1896,1.59,1335661,0,320846,490092,90165,16725,36047,3679,42843,5346,78719,1.89,9.36,5.38,1.25,3.81,0.13,11.00,0.42,41.28,35.05,1.82,1.73,33.57,73,73,98.90,300,300,182.36,99.18,1.03,1.03,0.02,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,236.52,177.12,0.11,11.46,0.00,0.00
7,Python 3.12.0b1,fibonacci_oldVersions.py 600000,20.434333,2165,1691314323.077347,-,-,599,21.30,2810,1896,1.36,1372700,0,386404,439941,104761,11688,21472,2932,31124,5561,118032,2.12,5.61,7.04,0.96,2.31,0.14,7.88,0.41,54.73,34.57,1.93,1.05,41.14,71,71,98.78,300,300,138.75,81.20,1.11,1.02,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,244.03,182.51,0.14,11.47,0.00,0.00
8,Python 3.12.0b1,fibonacci_oldVersions.py 600000,18.269210,1852,1691314341.515381,-,-,575,20.23,2843,1896,1.31,1369988,0,304132,313296,89202,8934,15180,3215,26132,6766,102972,1.93,4.44,6.63,0.88,1.81,0.17,9.10,0.57,56.48,31.59,3.48,1.09,43.61,71,72,99.06,300,300,130.91,78.64,0.91,0.81,0.62,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,217.92,163.61,0.11,10.79,0.00,0.00
9,Python 3.12.0b1,fibonacci_oldVersions.py 600000,18.640763,1588,1691314360.310722,-,-,604,21.63,2793,1896,1.28,1501955,0,363375,433314,91383,7076,12482,2198,21002,5147,119331,2.17,5.94,6.47,0.61,1.44,0.10,6.92,0.44,56.83,32.33,2.30,0.81,42.92,72,72,99.22,300,300,139.53,81.45,0.70,0.68,0.21,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,222.24,166.76,0.08,10.89,0.00,0.00
10,Python 3.12.0b1,fibonacci_oldVersions.py 600000,21.171239,1871,1691314381.637795,-,-,785,31.15,2522,1896,1.57,1374221,0,336574,502744,101966,18552,39268,4717,43220,6285,77544,1.87,9.50,5.77,1.37,4.29,0.16,10.56,0.52,37.14,35.54,1.63,1.76,29.92,70,70,98.71,300,300,196.77,99.50,1.21,1.21,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.91,187.40,0.14,11.96,0.00,0.00
