test,python_version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.9.16,nbody.py 50000,0.512105,1380,1686119557.394659,-,-,684,17.13,3993,1895,1.40,2590,0,57,3808,961,122,937,0,826,0,0,0.02,3.46,1.48,0.46,18.81,0.00,58.45,0.00,0.00,18.86,0.20,13.74,50.06,73,76,95.10,450,300,122.96,98.07,4.40,4.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.64,8.49,0.03,0.28,0.00,0.00
2,Python 3.9.16,nbody.py 50000,0.508830,1076,1686119557.960193,-,-,671,16.72,3995,1905,1.45,2606,0,34,3575,1076,168,971,0,805,0,0,0.01,3.24,1.72,0.52,19.05,0.00,58.97,0.00,0.00,19.06,0.22,13.56,50.44,76,78,97.28,450,300,121.78,98.11,2.81,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.69,8.54,0.02,0.26,0.00,0.00
3,Python 3.9.16,nbody.py 50000,0.512611,1457,1686119558.523093,-,-,662,16.52,4000,1901,1.43,2602,0,18,3203,1106,172,971,0,827,0,0,0.01,3.19,1.48,0.86,19.21,0.00,58.80,0.00,0.00,18.89,0.60,13.30,50.69,76,76,97.34,450,300,122.06,98.52,3.18,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.75,8.54,0.02,0.26,0.00,0.00
4,Python 3.9.16,nbody.py 50000,0.517651,1159,1686119559.105622,-,-,700,17.54,3991,1897,1.36,2718,0,19,3764,1138,148,1020,0,877,0,0,0.01,3.74,1.27,0.94,19.45,0.00,56.90,0.00,0.00,19.18,0.50,15.06,47.72,78,78,95.43,450,300,124.24,98.07,4.37,4.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.08,8.85,0.03,0.28,0.00,0.00
5,Python 3.9.16,nbody.py 50000,0.511168,1408,1686119559.667933,-,-,676,16.90,3998,1896,1.42,2556,0,26,3915,975,120,916,0,826,0,0,0.01,3.80,1.16,0.31,18.79,0.00,58.86,0.00,0.00,18.77,0.17,13.33,50.83,77,79,95.66,450,300,122.19,98.03,3.75,3.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.81,8.62,0.02,0.28,0.00,0.00
6,Python 3.9.16,nbody.py 50000,0.507593,1406,1686119560.219856,-,-,672,16.81,3995,1897,1.44,2586,0,19,3722,1146,126,950,0,805,0,0,0.01,3.85,1.66,0.42,19.21,0.00,57.93,0.00,0.00,19.86,0.19,13.71,49.44,76,76,96.14,450,300,122.99,98.18,3.71,3.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.69,8.49,0.02,0.27,0.00,0.00
7,Python 3.9.16,nbody.py 50000,0.508317,1081,1686119560.772421,-,-,649,16.18,4009,1896,1.48,2485,0,19,2418,1204,205,1004,0,834,0,0,0.01,2.43,1.87,0.75,20.70,0.00,57.86,0.00,0.00,18.88,0.46,15.37,49.11,80,82,95.02,450,300,119.72,97.92,4.52,4.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.75,8.53,0.03,0.27,0.00,0.00
8,Python 3.9.16,nbody.py 50000,0.565747,1566,1686119561.367037,-,-,682,24.89,2742,1896,1.36,3414,0,48,1730,1674,1049,1511,0,750,0,0,0.01,1.55,3.69,4.12,19.14,0.00,46.29,0.00,0.00,21.43,2.56,12.30,38.83,77,79,95.63,450,300,153.07,97.81,3.99,3.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.36,9.03,0.02,0.29,0.00,0.00
9,Python 3.9.16,nbody.py 50000,0.508871,1054,1686119561.909109,-,-,678,16.95,3998,1896,1.43,2596,0,26,3490,1062,139,914,0,861,0,0,0.01,3.54,1.24,0.48,18.19,0.00,59.42,0.00,0.00,19.29,0.18,13.60,49.97,79,81,95.51,450,300,123.05,98.04,4.18,4.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.82,8.67,0.02,0.27,0.00,0.00
10,Python 3.9.16,nbody.py 50000,0.582411,1062,1686119562.520754,-,-,640,26.49,2417,1896,1.39,3332,0,24,1598,1985,991,1399,0,731,0,0,0.01,2.13,3.84,3.33,18.02,0.00,45.94,0.00,0.00,20.52,2.54,11.35,39.11,81,81,95.98,450,300,157.90,98.00,3.65,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.28,8.84,0.02,0.29,0.00,0.00
