version,release_date,appplication,no_measurement,timestamp,pid,command,virt,res,shr,percent_cpu,percent_mem,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 32
2.5.6,2011-05-26,nbody.py 5000000,0,1689774900,107771,python3,20432.0,9552.0,5980.0,68.8,0.1,327,2,320,5,0,22.4,7.5,0.0,70.1,0.0,0.0,0.0,0.0,15795.0 MiB,6567.2 MiB,3308.2 MiB,5919.5 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11515.3 MiB,
2.5.6,2011-05-26,nbody.py 5000000,1,1689774901,107771,python3,20432.0,9552.0,5980.0,93.8,0.1,327,2,320,5,0,12.5,0.8,0.0,86.7,0.0,0.0,0.0,0.0,15795.0 MiB,6566.3 MiB,3309.0 MiB,5919.7 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11514.4 MiB,
2.5.6,2011-05-26,nbody.py 5000000,2,1689774902,107771,python3,20432.0,9552.0,5980.0,100.0,0.1,327,2,320,5,0,14.0,0.8,0.0,85.3,0.0,0.0,0.0,0.0,15795.0 MiB,6572.7 MiB,3310.4 MiB,5911.9 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11520.9 MiB,
2.5.6,2011-05-26,nbody.py 5000000,3,1689774904,107771,python3,20432.0,9552.0,5980.0,100.0,0.1,327,2,320,5,0,12.5,1.6,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,6572.2 MiB,3310.9 MiB,5911.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11520.5 MiB,
2.5.6,2011-05-26,nbody.py 5000000,4,1689774905,107771,python3,20432.0,9552.0,5980.0,100.0,0.1,327,2,320,5,0,13.8,0.8,0.0,85.4,0.0,0.0,0.0,0.0,15795.0 MiB,6572.5 MiB,3310.7 MiB,5911.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11520.8 MiB,
2.5.6,2011-05-26,nbody.py 5000000,5,1689774906,107771,python3,20432.0,9552.0,5980.0,93.8,0.1,327,2,320,5,0,13.2,0.8,0.0,86.0,0.0,0.0,0.0,0.0,15795.0 MiB,6572.0 MiB,3311.2 MiB,5911.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11520.3 MiB,
2.5.6,2011-05-26,nbody.py 5000000,6,1689774907,107771,python3,20432.0,9552.0,5980.0,93.8,0.1,327,2,320,5,0,13.2,0.8,0.0,86.0,0.0,0.0,0.0,0.0,15795.0 MiB,6572.0 MiB,3311.2 MiB,5911.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11520.3 MiB,
2.5.6,2011-05-26,nbody.py 5000000,7,1689774908,107771,python3,20432.0,9552.0,5980.0,100.0,0.1,327,2,320,5,0,12.5,0.8,0.0,86.7,0.0,0.0,0.0,0.0,15795.0 MiB,6572.7 MiB,3310.5 MiB,5911.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11521.0 MiB,
2.5.6,2011-05-26,nbody.py 5000000,8,1689774909,107771,python3,20432.0,9552.0,5980.0,100.0,0.1,327,2,320,5,0,12.5,0.8,0.0,86.7,0.0,0.0,0.0,0.0,15795.0 MiB,6571.8 MiB,3311.4 MiB,5911.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11520.0 MiB,
2.5.6,2011-05-26,nbody.py 5000000,9,1689774911,107771,python3,20432.0,9552.0,5980.0,100.0,0.1,327,2,320,5,0,12.4,0.8,0.0,86.8,0.0,0.0,0.0,0.0,15795.0 MiB,6571.3 MiB,3311.9 MiB,5911.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11519.6 MiB,
