test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.0.1,nbody.py 50000000,561.711527,1334,1694339505.690227,-,-,451,12.62,3570,1896,2.48,308744,0,413,46542,5853,2592,6894,41,34032,1976,103590,0.00,0.13,0.02,0.01,0.08,0.00,1.92,0.17,85.00,13.11,0.02,0.13,74.12,81,81,99.71,450,300,100.85,99.75,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7187.61,6013.65,0.96,159.59,0.00,0.00
2,Python 3.0.1,nbody.py 50000000,565.402417,1287,1694340071.211189,-,-,448,13.09,3425,1896,2.51,252794,0,3325,32698,16997,7928,14353,72,34981,433,82821,0.00,0.10,0.06,0.03,0.14,0.00,2.10,0.03,84.42,13.32,0.03,0.13,73.43,80,80,99.82,450,300,104.07,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6756.24,5573.23,0.28,162.72,0.00,0.00
3,Python 3.0.1,nbody.py 50000000,572.900244,1274,1694340644.224232,-,-,439,12.60,3480,1896,2.49,219855,0,95,1965,3935,2839,5510,24,27735,401,77777,0.00,0.02,0.01,0.01,0.07,0.00,1.64,0.04,85.58,12.89,0.01,0.12,74.39,80,81,99.99,450,300,100.90,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6845.67,5654.10,0.28,160.35,0.00,0.00
4,Python 3.0.1,nbody.py 50000000,571.450199,1313,1694341215.790654,-,-,439,12.61,3481,1896,2.50,222120,0,281,3757,4804,2481,5437,16,28314,339,75652,0.00,0.03,0.02,0.01,0.07,0.00,1.68,0.04,85.52,12.93,0.01,0.11,74.35,78,81,99.98,450,300,100.96,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6828.54,5641.30,0.28,160.02,0.00,0.00
5,Python 3.0.1,nbody.py 50000000,572.964875,1179,1694341788.859556,-,-,439,12.61,3480,1896,2.49,222325,0,155,5395,4527,1625,5060,29,28375,412,77325,0.00,0.03,0.02,0.01,0.06,0.00,1.65,0.06,85.55,12.91,0.01,0.07,74.40,81,81,99.81,450,300,100.94,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6846.37,5654.91,0.27,160.42,0.00,0.00
6,Python 3.0.1,nbody.py 50000000,567.434923,1231,1694342356.413969,-,-,439,12.61,3480,1896,2.51,221883,0,252,6326,4725,1549,4695,6,26984,419,76717,0.00,0.04,0.02,0.01,0.06,0.00,1.62,0.04,85.59,12.93,0.01,0.08,74.38,82,82,99.80,450,300,100.93,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6780.41,5601.64,0.27,158.89,0.00,0.00
7,Python 3.0.1,nbody.py 50000000,580.849486,1323,1694342937.370680,-,-,439,12.61,3485,1896,2.45,227737,0,120,4717,3966,2505,5202,13,25725,175,74258,0.00,0.04,0.02,0.01,0.06,0.00,1.55,0.02,85.67,12.72,0.01,0.08,74.58,79,79,99.89,450,300,100.41,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6940.75,5735.39,0.28,162.56,0.00,0.00
8,Python 3.0.1,nbody.py 50000000,576.862977,1199,1694343514.351125,-,-,448,13.08,3428,1896,2.46,254653,0,2485,30637,14992,7497,15817,52,37207,427,74936,0.00,0.09,0.06,0.03,0.16,0.00,2.11,0.02,84.43,13.31,0.03,0.15,73.44,78,78,99.80,450,300,104.05,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6893.05,5694.87,0.27,166.02,0.00,0.00
9,Python 3.0.1,nbody.py 50000000,579.928848,1305,1694344094.385528,-,-,439,12.61,3481,1896,2.46,226914,0,173,3902,4870,3124,6065,21,29041,422,76691,0.00,0.03,0.02,0.01,0.07,0.00,1.71,0.04,85.47,12.93,0.01,0.11,74.33,82,82,99.82,450,300,100.98,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6929.74,5729.07,0.27,162.41,0.00,0.00
10,Python 3.0.1,nbody.py 50000000,574.094569,1326,1694344668.596970,-,-,440,12.62,3483,1896,2.48,228281,0,304,6325,4033,2653,5338,18,26036,181,76845,0.00,0.04,0.02,0.01,0.06,0.00,1.58,0.01,85.63,12.73,0.01,0.08,74.56,80,80,99.86,450,300,100.48,99.79,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6860.13,5668.39,0.27,160.77,0.00,0.00
