test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,Python 3.11.3,nbody.py 50000000,1.00,0.35,0.74,0.08,0.08,0.10,7.75,2.85,0.00,0.02,2.03,244552546709 ns,939836400510,3.843 GHz,2676673065814,2.85,244536.52 msec,1.000,939848756400,3.843 GHz,110,462120710803,5849953620,244536.79 msec,1.000,1970 C,442706111734,1714211298,0.39%,0,514357170888,8880,8880,0,38631407,838531,2.171,1035819558615,72382726,0.01%,3186504,49410,1.55%,48137168,1036139754085,23614,0.00%,2674329,594813,22.24%,0,0
2,Python 3.11.3,nbody.py 50000000,1.00,0.37,0.71,0.09,0.10,0.11,7.61,2.72,0.00,0.02,1.84,282916558791 ns,983152763610,3.475 GHz,2677043039120,2.72,282894.24 msec,1.000,983171611765,3.475 GHz,64,535251238044,6775814294,282894.59 msec,1.000,1415 C,442953758864,2263560298,0.51%,0,514477042578,8908,8908,0,55518358,8265883,14.889,1036452505041,90600936,0.01%,4393782,826301,18.81%,61744169,1035804393662,24414,0.00%,4225403,56411790,1335.06%,0,0
3,Python 3.11.3,nbody.py 50000000,1.00,0.38,0.69,0.07,0.10,0.13,7.50,2.67,0.00,0.03,1.89,280261527490 ns,1003336035029,3.580 GHz,2675888810418,2.67,280240.11 msec,1.000,1003325581792,3.580 GHz,96,529568027856,6703623244,280240.47 msec,1.000,1220 C,442528148375,1713362125,0.39%,0,514385358857,8903,8903,0,57732168,1399938,2.425,1036132795319,149687370,0.01%,4420176,182785,4.14%,60440610,1035968522063,47256902,0.00%,4283888,12513377,292.10%,0,0
4,Python 3.11.3,nbody.py 50000000,1.00,0.35,0.74,0.08,0.08,0.10,7.72,2.83,0.00,0.03,1.86,269307277225 ns,946694072764,3.516 GHz,2676536273254,2.83,269287.50 msec,1.000,946668095968,3.515 GHz,54,509411969527,6448572569,269287.82 msec,1.000,1090 C,442677195664,1900765867,0.43%,0,514257187781,8947,8947,0,49258203,3452514,7.009,1035847120718,121965821,0.01%,3936152,265363,6.74%,58385825,1035861017829,24279027,0.00%,2583922,6482352,250.87%,0,0
5,Python 3.11.3,nbody.py 50000000,1.00,0.36,0.71,0.09,0.10,0.10,7.67,2.74,0.00,0.04,1.86,276731440712 ns,975555489513,3.526 GHz,2676238593801,2.74,276708.99 msec,1.000,975550575182,3.526 GHz,60,523192666880,6622839068,276709.40 msec,1.000,1375 C,442820787082,2644305028,0.60%,0,514264945423,8886,8886,0,61705378,1481768,2.401,1036043583607,168441017,0.02%,4973095,74030,1.49%,93012670,1036094376821,42084587,0.00%,4228888,42877437,1013.92%,0,0
6,Python 3.11.3,nbody.py 50000000,1.00,0.35,0.74,0.08,0.08,0.10,7.76,2.86,0.00,0.02,1.86,266339564019 ns,936997998530,3.518 GHz,2677248641284,2.86,266322.16 msec,1.000,937020491090,3.518 GHz,70,504201679962,6382670070,266322.47 msec,1.000,1450 C,442929526736,1770145499,0.40%,0,514362465946,8903,8903,0,45353382,1130870,2.493,1035989075493,63218776,0.01%,3222641,71518,2.22%,53713042,1035982185707,18994692,0.00%,739569,41992487,5677.97%,0,0
7,Python 3.11.3,nbody.py 50000000,1.00,0.35,0.73,0.08,0.08,0.11,7.72,2.82,0.00,0.03,1.87,268273463478 ns,947913149739,3.534 GHz,2675197031429,2.82,268255.51 msec,1.000,947909565176,3.534 GHz,76,507713322507,6427094395,268255.83 msec,1.000,1428 C,442449917006,1788139077,0.40%,0,514236755561,8853,8853,0,42776118,5382386,12.583,1036104803609,110239579,0.01%,3710081,604676,16.30%,52833073,1036037179800,52267,0.00%,1371234,39999465,2917.04%,0,0
8,Python 3.11.3,nbody.py 50000000,1.00,0.36,0.73,0.09,0.08,0.09,7.70,2.81,0.00,0.01,1.88,267371994448 ns,951172835062,3.558 GHz,2676370571483,2.81,267353.65 msec,1.000,951153129212,3.558 GHz,19,505932844737,6404577624,267353.96 msec,1.000,1431 C,442797394704,2312535876,0.52%,0,514296538128,8901,8901,0,32701556,451454,1.381,1036008282873,56872011,0.01%,2730937,127765,4.68%,46916029,1035944690245,19054665,0.00%,18167568,493583952,2716.84%,0,0
9,Python 3.11.3,nbody.py 50000000,1.00,0.36,0.72,0.09,0.09,0.09,7.60,2.76,0.00,0.02,1.87,274082798616 ns,969917885915,3.539 GHz,2677225016174,2.76,274063.93 msec,1.000,969876693584,3.539 GHz,44,518866219732,6568274389,274064.27 msec,1.000,1417 C,442759089909,2945956689,0.67%,0,514227253257,8893,8893,0,36291119,414235,1.141,1035829525618,77526489,0.01%,3385983,32789,0.97%,44967636,1035692324825,44259171,0.00%,72953355,461830696,633.05%,0,0
10,Python 3.11.3,nbody.py 50000000,1.00,0.35,0.74,0.08,0.08,0.10,7.74,2.85,0.00,0.02,1.88,264529056313 ns,939138683072,3.550 GHz,2676009511240,2.85,264509.26 msec,1.000,939087760950,3.550 GHz,52,500524828534,6336064314,264509.55 msec,1.000,1465 C,442619285828,2035355362,0.46%,0,514306340623,8881,8881,0,32108861,647517,2.017,1035972619735,65995162,0.01%,2472607,33610,1.36%,43444804,1035780777915,9459523,0.00%,49487336,171637616,346.83%,0,0
