test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,Python 3.11.3,nbody.py 50000000,267.784405,1220,1693131261.483512,-,-,443,12.61,3513,1896,2.83,108645,0,396,7044,3378,860,2182,36,14178,162,38358,0.00,0.07,0.02,0.01,0.06,0.00,1.88,0.03,85.30,12.99,0.01,0.09,74.30,81,81,99.69,300,300,100.97,99.76,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3361.30,2802.35,0.24,75.27,0.00,0.00
2,Python 3.11.3,nbody.py 50000000,272.965364,1289,1693131534.494529,-,-,434,12.62,3441,1896,2.83,112169,0,487,5518,3743,1126,3277,43,15733,210,38129,0.00,0.04,0.03,0.01,0.09,0.00,1.93,0.04,85.21,12.94,0.01,0.15,74.28,80,81,99.77,300,300,101.01,99.78,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3261.27,2688.87,0.24,76.77,0.00,0.00
3,Python 3.11.3,nbody.py 50000000,293.880158,1256,1693131828.429677,-,-,452,13.54,3342,1896,2.60,144412,0,2606,36034,16865,6035,11767,123,24213,196,41826,0.00,0.17,0.09,0.05,0.21,0.00,2.64,0.02,83.25,13.74,0.03,0.21,72.48,81,82,99.80,300,300,107.12,99.78,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3511.55,2892.62,0.25,87.02,0.00,0.00
4,Python 3.11.3,nbody.py 50000000,290.183572,1217,1693132118.658208,-,-,434,12.61,3442,1896,2.67,122976,0,2705,6018,3683,928,2961,46,17158,96,38200,0.00,0.03,0.03,0.01,0.08,0.00,2.13,0.01,85.07,12.88,0.01,0.11,74.39,81,82,99.65,300,300,100.79,99.78,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3467.23,2859.05,0.25,81.73,0.00,0.00
5,Python 3.11.3,nbody.py 50000000,276.003969,1248,1693132394.723883,-,-,434,12.59,3448,1896,2.80,114471,0,458,5797,3080,862,2859,43,15650,104,35758,0.00,0.04,0.02,0.01,0.08,0.00,2.02,0.01,85.20,12.80,0.01,0.10,74.50,81,82,99.65,300,300,100.47,99.79,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3297.70,2719.72,0.24,77.60,0.00,0.00
6,Python 3.11.3,nbody.py 50000000,293.054429,1222,1693132687.817772,-,-,438,12.58,3482,1896,2.61,121759,0,474,5844,3511,917,2786,52,16543,118,38978,0.00,0.03,0.02,0.01,0.07,0.00,2.04,0.02,85.19,12.82,0.01,0.10,74.49,81,83,99.65,300,300,100.55,99.79,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3501.64,2887.24,0.24,82.36,0.00,0.00
7,Python 3.11.3,nbody.py 50000000,276.567395,1230,1693132964.454836,-,-,434,12.61,3444,1896,2.79,111717,0,739,5085,3465,941,2877,31,16394,253,36420,0.00,0.03,0.04,0.01,0.08,0.00,2.08,0.03,85.10,12.90,0.01,0.11,74.37,81,81,99.68,300,300,100.91,99.78,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3304.51,2725.47,0.24,77.71,0.00,0.00
8,Python 3.11.3,nbody.py 50000000,273.291914,1220,1693133237.783840,-,-,434,12.60,3446,1896,2.83,114329,0,625,5828,3557,898,2665,39,15562,138,39333,0.00,0.04,0.02,0.01,0.07,0.00,2.00,0.03,85.20,12.86,0.01,0.11,74.42,81,81,99.64,300,300,100.64,99.78,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3265.31,2692.79,0.25,76.87,0.00,0.00
9,Python 3.11.3,nbody.py 50000000,277.509663,1204,1693133515.350357,-,-,433,12.57,3447,1896,2.79,113473,0,600,2639,3589,1732,3327,61,14972,103,36002,0.00,0.02,0.02,0.02,0.08,0.00,1.93,0.02,85.31,12.86,0.01,0.13,74.43,82,82,99.65,300,300,100.63,99.79,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3315.84,2734.15,0.24,77.96,0.00,0.00
10,Python 3.11.3,nbody.py 50000000,272.386740,1257,1693133787.779370,-,-,434,12.62,3441,1896,2.83,111093,0,1351,5156,3815,1049,3183,40,15965,240,39132,0.00,0.04,0.03,0.01,0.09,0.00,1.97,0.05,85.17,12.95,0.01,0.12,74.29,81,82,99.71,300,300,101.02,99.78,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3254.56,2683.73,0.24,76.62,0.00,0.00
